X,Y,I,Ierr
0.0,170.0,2.880698113207547e-13,2.7265678092634938e-14
0.0,175.0,2.6403207547169815e-13,2.7013258614529202e-14
0.0,180.0,4.1017037037037035e-13,1.5925130341885296e-13
0.0,185.0,1.2557320754716979e-12,2.150917990581507e-14
0.0,190.0,4.689505769230769e-12,4.2917785507523745e-14
0.0,195.0,4.228038461538462e-13,2.2025762551528862e-14
0.0,200.0,3.151173076923077e-13,2.5236563227204886e-14
0.0,205.0,2.7019245283018865e-13,2.3954145259551627e-14
0.0,210.0,2.4827843137254903e-13,3.762485783296959e-14
5.0,210.0,2.6339215686274513e-13,2.4594187446066532e-14
5.0,205.0,2.9891764705882353e-13,2.4223167535317505e-14
5.0,200.0,3.6342156862745103e-13,2.4403787183794994e-14
5.0,195.0,7.310729411764705e-12,2.8010099739699475e-13
5.0,190.0,4.589311960784314e-11,3.4333246907540664e-13
5.0,185.0,3.194512156862745e-11,3.057413781598882e-13
5.0,180.0,7.878e-13,3.0884078009709206e-14
5.0,175.0,9.31064705882353e-13,3.058614208524169e-14
5.0,170.0,1.3931576923076924e-12,2.5757921456349683e-14
10.0,170.0,1.2541588235294117e-12,2.1167883335147763e-14
10.0,175.0,8.773235294117647e-13,2.8279886764030557e-14
10.0,180.0,9.167411764705883e-13,2.654599542540683e-14
10.0,185.0,5.140712549019608e-11,2.8694046854270124e-13
10.0,190.0,5.2704623529411763e-11,2.2094963545376353e-13
10.0,195.0,3.5860115384615377e-12,3.286606881630156e-13
10.0,200.0,3.7506199999999996e-13,2.7519715768881046e-14
10.0,205.0,3.4526600000000007e-13,2.827525851340709e-14
10.0,210.0,3.0854705882352943e-13,3.365531949878306e-14
15.0,210.0,3.0774313725490195e-13,2.86162387390341e-14
15.0,205.0,3.5364901960784315e-13,2.317842448881997e-14
15.0,200.0,3.95770588235294e-13,2.258036014681479e-14
15.0,195.0,3.5079568627450976e-12,1.4142935083083756e-13
15.0,190.0,5.159174117647059e-11,2.6336921908112243e-13
15.0,185.0,5.189255686274509e-11,3.179492216548768e-13
15.0,180.0,1.0787666666666666e-12,2.5276336811618467e-14
15.0,175.0,8.86592156862745e-13,2.24438457710572e-14
15.0,170.0,1.1819196078431372e-12,2.8918465636132445e-14
20.0,170.0,1.3970640000000002e-12,2.5411279070522984e-14
20.0,175.0,1.2746647058823528e-12,3.1198917926996364e-14
20.0,180.0,1.1343509803921568e-12,2.1537858802209877e-14
20.0,185.0,5.2451680000000004e-12,2.5191629835324277e-13
20.0,190.0,1.81218e-12,3.195108761842077e-14
20.0,195.0,9.522360000000001e-13,2.2619900618702985e-14
20.0,200.0,4.653632653061224e-13,2.4978134878145665e-14
20.0,205.0,4.0138571428571423e-13,2.330234287949325e-14
20.0,210.0,3.7405102040816335e-13,2.744194705450837e-14
