X,Y,I,Ierr
10.0,175.0,2.664645740740741e-13,5.833694558980269e-15
10.0,176.0,2.6771864150943396e-13,1.087123916509484e-14
10.0,177.0,2.4494035849056603e-13,1.8067964341273265e-14
10.0,178.0,2.5952459615384615e-13,8.896079843779973e-15
10.0,179.0,2.5641411538461534e-13,7.490490275249644e-15
10.0,180.0,2.52603862745098e-13,7.341239639989235e-15
10.0,181.0,2.4763759615384615e-13,7.235021179756398e-15
10.0,182.0,2.3509645098039214e-13,9.361874109163843e-15
10.0,183.0,2.4882757692307696e-13,1.4462067252146955e-14
10.0,184.0,2.550694509803921e-13,9.091854711264053e-15
10.0,185.0,2.820002884615384e-13,1.1426484312495817e-14
10.0,186.0,2.8842308e-13,8.977853219651123e-15
10.0,187.0,2.825758823529412e-13,5.479508016583807e-15
10.0,188.0,2.686178269230769e-13,9.000627009614288e-15
10.0,189.0,2.698129807692308e-13,7.942880664446002e-15
10.0,190.0,2.6406868000000004e-13,6.177147848125382e-15
10.0,191.0,2.620555882352941e-13,6.9460821237346125e-15
10.0,192.0,2.7326411764705885e-13,5.821173817505379e-15
10.0,193.0,2.846583725490196e-13,8.514527783207425e-15
10.0,194.0,2.7632569230769224e-13,9.083914997100991e-15
10.0,195.0,2.60901137254902e-13,1.1562371942726343e-14
11.0,195.0,3.004416666666667e-13,2.1318612751161525e-14
11.0,194.0,3.0135660784313724e-13,6.528226684953165e-15
11.0,193.0,2.768198823529412e-13,1.5541330207341007e-14
11.0,192.0,2.8134517647058824e-13,1.0922000568569781e-14
11.0,191.0,2.9153827450980385e-13,1.1848953939232618e-14
11.0,190.0,3.3186482352941173e-13,1.4054878623656662e-14
11.0,189.0,3.1815411538461544e-13,1.2063712465415645e-14
11.0,188.0,3.378040192307693e-13,1.0838626207104042e-14
11.0,187.0,3.250902156862745e-13,7.207099425562965e-15
11.0,186.0,3.136037692307693e-13,5.8248604724635776e-15
11.0,185.0,2.8540555769230774e-13,8.131973992574151e-15
11.0,184.0,2.6405692156862746e-13,7.191132221097e-15
11.0,183.0,2.4143315686274506e-13,8.57579757766245e-15
11.0,182.0,2.7180649019607845e-13,1.2873886839938865e-14
11.0,181.0,2.627633e-13,4.227739770846828e-15
11.0,180.0,2.6278051923076926e-13,1.0576145527136464e-14
11.0,179.0,2.8246264705882353e-13,1.177331707439564e-14
11.0,178.0,2.7597619607843136e-13,6.870547062785131e-15
11.0,177.0,2.645037254901961e-13,1.275210446619699e-14
11.0,176.0,2.631976e-13,7.951629372650614e-15
11.0,175.0,2.8220774509803917e-13,5.985650074751939e-15
12.0,175.0,2.898310392156862e-13,1.9337226129686206e-14
12.0,176.0,2.7261725999999997e-13,2.178218402255385e-14
12.0,177.0,2.5968563999999995e-13,1.1307520684500203e-14
12.0,178.0,2.565536e-13,1.3580338833769945e-14
12.0,179.0,3.0771279591836735e-13,6.215083518507545e-15
12.0,180.0,3.8226618e-13,8.822052136980376e-15
12.0,181.0,3.838906799999999e-13,9.688001941453149e-15
12.0,182.0,4.0625358e-13,9.208967223505576e-15
12.0,183.0,3.961507346938775e-13,1.2826583248378031e-14
12.0,184.0,4.2393916326530613e-13,7.124948290100762e-15
12.0,185.0,3.9503716e-13,7.719143165818339e-15
12.0,186.0,4.145003469387755e-13,8.849852791467997e-15
12.0,187.0,4.069232244897959e-13,1.2158474899771753e-14
12.0,188.0,4.597291020408163e-13,1.1813618340530136e-14
12.0,189.0,4.190696530612245e-13,1.1619153825228727e-14
12.0,190.0,4.1930358333333327e-13,1.3041306788165654e-14
12.0,191.0,2.44881875e-13,8.150572343464087e-15
12.0,192.0,2.611743125e-13,7.723087716807985e-15
12.0,193.0,2.5780858333333336e-13,1.4295753489284467e-14
12.0,194.0,2.7376672340425534e-13,1.862216560834887e-14
12.0,195.0,2.6684406249999997e-13,1.3187239097586996e-14
13.0,195.0,2.830618541666667e-13,9.698834985857798e-15
13.0,194.0,3.0486761702127656e-13,1.7479338769266248e-14
13.0,193.0,2.654697083333333e-13,1.5242296208465348e-14
13.0,192.0,2.694098510638298e-13,7.453412278603625e-15
13.0,191.0,2.744435531914894e-13,8.657059696432514e-15
13.0,190.0,5.811460851063829e-13,1.913114622010099e-14
13.0,189.0,6.783164255319148e-13,6.405596554824378e-15
13.0,188.0,7.119010000000001e-13,1.3557950656349211e-14
13.0,187.0,6.904593404255319e-13,8.420155005084069e-15
13.0,186.0,7.321841956521739e-13,9.806842894054987e-15
13.0,185.0,6.709058695652172e-13,1.1675195953310773e-14
13.0,184.0,6.725754042553192e-13,8.913393671967558e-15
13.0,183.0,6.58745829787234e-13,8.637209595005148e-15
13.0,182.0,6.688137826086957e-13,1.1335267377435715e-14
13.0,181.0,6.155524130434783e-13,7.041625289711138e-15
13.0,180.0,6.411920425531913e-13,9.01846890094644e-15
13.0,179.0,4.2713550000000006e-13,1.0256218702625589e-14
13.0,178.0,3.0727119148936173e-13,1.3172239173188142e-14
13.0,177.0,2.717811304347826e-13,1.43188493231652e-14
13.0,176.0,2.685307608695652e-13,2.2133697982925e-14
13.0,175.0,2.96771347826087e-13,1.091115069892581e-14
14.0,175.0,2.878811086956522e-13,8.401959707292571e-15
14.0,176.0,3.115999787234043e-13,1.1227116631201932e-14
14.0,177.0,2.9925221276595743e-13,9.667139331174846e-15
