X,Y,I,Ierr
0.0,0.0,8.405875e-13,3.055987718807129e-14
0.0,1.0,8.579639999999999e-13,2.420636081694232e-14
0.0,2.0,8.89408e-13,2.847803251630981e-14
0.0,3.0,8.957280000000001e-13,3.8555918041203485e-14
0.0,4.0,8.97992e-13,2.6324709609034618e-14
0.0,5.0,8.728208333333333e-13,3.2713427151128977e-14
0.0,6.0,9.02556e-13,3.332680698776887e-14
0.0,7.0,8.563639999999999e-13,2.2964770932887614e-14
0.0,8.0,8.59764e-13,2.982681853634409e-14
0.0,9.0,8.523760000000001e-13,2.8780900333380817e-14
0.0,10.0,8.45048e-13,3.261193793689666e-14
0.0,11.0,8.562279999999999e-13,3.198076321790961e-14
0.0,12.0,8.577250000000001e-13,2.5536987064517482e-14
0.0,13.0,8.463560000000002e-13,3.085466681071113e-14
0.0,14.0,8.527250000000001e-13,3.0054329277715275e-14
0.0,15.0,8.17316e-13,2.130522339709208e-14
0.0,16.0,8.172519999999999e-13,3.0425477744811186e-14
0.0,17.0,7.163999999999999e-13,2.2741659502399488e-14
0.0,18.0,7.351399999999999e-13,2.1119185590358353e-14
0.0,19.0,7.118041666666666e-13,2.6212504636252447e-14
0.0,20.0,6.705079999999999e-13,3.1277518060101885e-14
1.0,20.0,7.209319999999999e-13,3.73064146762993e-14
1.0,19.0,7.42752e-13,2.3844917613613174e-14
1.0,18.0,7.4104e-13,2.2705153600008952e-14
1.0,17.0,7.7104e-13,2.5540884871123777e-14
1.0,16.0,8.919800000000001e-13,3.369656362301652e-14
1.0,15.0,9.33944e-13,3.4345702263893225e-14
1.0,14.0,9.191399999999999e-13,2.8533895633088725e-14
1.0,13.0,9.15146153846154e-13,2.7802050709770294e-14
1.0,12.0,9.08304e-13,2.298964079754182e-14
1.0,11.0,9.386e-13,2.306540266286285e-14
1.0,10.0,9.034416666666666e-13,2.817260662219398e-14
1.0,9.0,9.183375e-13,2.80176999487229e-14
1.0,8.0,9.151600000000001e-13,3.662061714389859e-14
1.0,7.0,8.940239999999999e-13,2.1592429784533262e-14
