X,Y,I,Ierr
5.0,184.8,3.788939666666667e-13,1.8770687650883676e-15
5.1,184.8,3.7949936666666665e-13,1.2359067022425878e-15
5.2,184.8,3.6818730000000003e-13,1.1368263791264598e-15
5.3,184.8,3.5157349152542374e-13,1.0321782394789864e-15
5.4,184.8,3.6734108620689663e-13,6.979062735336485e-16
5.5,184.8,3.649540172413793e-13,1.0356177639874821e-15
5.6,184.8,3.561010172413794e-13,1.0450490244152473e-15
5.7,184.8,3.326778793103448e-13,1.6086942770760566e-15
5.8,184.8,3.616359642857143e-13,1.1282561053515017e-15
5.9,184.8,3.467045438596491e-13,1.5916011116278607e-15
6.0,184.8,3.3447821052631574e-13,1.2856757281740631e-15
6.1,184.8,3.689114107142857e-13,9.420404105247954e-16
6.2,184.8,3.53078649122807e-13,1.0620149111880959e-15
6.3,184.8,3.8036038596491225e-13,1.0462000941349222e-15
6.4,184.8,3.6405757894736837e-13,1.124527994946003e-15
6.5,184.8,3.710779285714286e-13,9.970286649389343e-16
6.6,184.8,3.4916591228070175e-13,2.1286229627682578e-15
6.7,184.8,3.5887035087719294e-13,1.0128659795125015e-15
6.8,184.8,3.497130877192982e-13,1.0422553221397313e-15
6.9,184.8,3.677022678571429e-13,2.3178744129737235e-15
7.0,184.8,3.6818647368421056e-13,1.8912064504354963e-15
7.1,184.8,3.3592471929824565e-13,1.3945244407958027e-15
7.2,184.8,3.36163649122807e-13,1.4698443512991437e-15
7.3,184.8,3.02348e-13,1.3981068347236627e-15
7.4,184.8,3.5421462499999996e-13,8.176568842327611e-16
7.5,184.8,3.794262456140351e-13,1.2999740090876025e-15
7.6,184.8,3.6844984210526315e-13,1.2401535553085838e-15
7.7,184.8,3.825592321428571e-13,7.226584989583627e-16
7.8,184.8,3.795071964285715e-13,1.4678443016078123e-15
7.9,184.8,3.675159122807017e-13,8.278493759598616e-16
8.0,184.8,3.588305178571429e-13,1.7152780663845194e-15
8.1,184.8,3.4198821428571423e-13,1.3095828182978925e-15
8.2,184.8,3.6739971428571423e-13,1.3143749697260197e-15
8.3,184.8,3.61942125e-13,7.578422637485541e-16
8.4,184.8,3.7778141071428567e-13,1.4583796179970689e-15
8.5,184.8,4.024774909090909e-13,1.660141794974148e-15
8.6,184.8,3.8631079629629624e-13,9.646136714974558e-16
8.7,184.8,3.9133560000000006e-13,1.136151391262524e-15
8.8,184.8,3.640096111111111e-13,1.2024788358910478e-15
8.9,184.8,4.0742220370370367e-13,1.9230822853572566e-15
9.0,184.8,4.021004999999999e-13,3.3665702190224776e-15
9.1,184.8,3.777719433962264e-13,1.8156724914579614e-15
9.2,184.8,3.732547115384615e-13,1.42630296092506e-15
9.3,184.8,3.330154038461538e-13,1.0746487558346103e-15
9.4,184.8,3.386012884615384e-13,1.2323511907526644e-15
9.5,184.8,3.4399134615384613e-13,8.918522610477352e-16
9.6,184.8,3.6992025490196086e-13,1.4046446453307645e-15
9.7,184.8,3.6294032e-13,2.2178627511079212e-15
9.8,184.8,3.5203292156862746e-13,1.920084255777194e-15
9.9,184.8,3.8967990000000005e-13,1.3330209742535941e-15
10.0,184.8,3.7762332e-13,1.3853366526415159e-15
10.1,184.8,3.7789184e-13,2.560960604360793e-15
10.2,184.8,3.5655736734693875e-13,1.0443933075408977e-15
10.3,184.8,3.760956734693877e-13,1.4128511593548789e-15
10.4,184.8,3.7097618367346937e-13,1.936526102113736e-15
10.5,184.8,3.9221963265306125e-13,2.1597922140586274e-15
10.6,184.8,3.982335102040816e-13,1.835296909619172e-15
10.7,184.8,4.1648683673469387e-13,1.2799822778822287e-15
10.8,184.8,4.027332857142857e-13,1.0101543648866861e-15
10.9,184.8,3.84182918367347e-13,9.736992441747099e-16
11.0,184.8,3.833244897959184e-13,1.3528701983301045e-15
11.1,184.8,4.0016548979591837e-13,1.1084434482956318e-15
11.2,184.8,3.996226326530613e-13,4.988145118973233e-16
11.3,184.8,4.494626530612245e-13,8.507000045561224e-16
11.4,184.8,4.65126e-13,1.0906411495938979e-15
11.5,184.8,5.297586734693878e-13,1.8621065931058e-15
11.6,184.8,5.454699166666667e-13,6.32324185622675e-16
11.7,184.8,6.004242291666667e-13,1.432759311911004e-15
11.8,184.8,6.252064693877551e-13,1.5595164889751216e-15
11.9,184.8,6.711184897959183e-13,1.33411379990205e-15
12.0,184.8,7.085848571428573e-13,1.0179325025552714e-15
12.1,184.8,7.674529374999999e-13,1.2572830048052394e-15
12.2,184.8,8.470347291666667e-13,2.3065969184909618e-15
12.3,184.8,8.950142916666666e-13,2.944947936243704e-15
12.4,184.8,9.477660625e-13,8.3382183775881e-16
12.5,184.8,9.836552653061223e-13,8.77352776741907e-16
