X,Y,I,Ierr
9.0,170.0,4.409494714285714e-13,2.6101617036248864e-15
9.0,170.1,4.985402142857143e-13,1.0279027604079238e-15
9.0,170.2,4.3814239436619716e-13,2.49516485368912e-15
9.0,170.3,4.111365285714286e-13,1.6897049127380776e-15
9.0,170.4,4.197879857142857e-13,1.6801981088845222e-15
9.0,170.5,4.959335857142858e-13,1.5476854845144336e-15
9.0,170.6,4.71617642857143e-13,3.1155529019601862e-15
9.0,170.7,4.555559e-13,1.904818158459206e-15
9.0,170.8,4.666644571428573e-13,1.8297510390131437e-15
9.0,170.9,4.657100724637681e-13,1.4162109577017435e-15
9.0,171.0,4.611322173913044e-13,1.8839010828624523e-15
9.0,171.1,5.090231617647059e-13,1.7840256749351966e-15
9.0,171.2,4.726833970588235e-13,1.894197566378875e-15
9.0,171.3,4.958210441176469e-13,2.2565047337662375e-15
9.0,171.4,4.701898823529411e-13,1.338486078720263e-15
9.0,171.5,4.727334411764706e-13,3.204984053071433e-15
9.0,171.6,4.654032686567163e-13,2.7352256600258814e-15
9.0,171.7,4.848930454545455e-13,1.4158773659937623e-15
9.0,171.8,4.996772272727273e-13,1.308255265133323e-15
9.0,171.9,4.787721212121211e-13,8.820857975452357e-16
9.0,172.0,4.3532335384615384e-13,2.3747132800264743e-15
9.0,172.1,4.3792118461538467e-13,2.805144895023999e-15
9.0,172.2,5.045838437500001e-13,3.772442498165119e-15
9.0,172.3,5.059707499999999e-13,1.7852950536846673e-15
9.0,172.4,4.9541490625e-13,2.001690611717618e-15
9.0,172.5,4.91287734375e-13,2.010098720300232e-15
9.0,172.6,5.317143593750001e-13,1.1939724732090159e-15
9.0,172.7,5.138596e-13,2.5008665605175324e-15
9.0,172.8,4.574965468749999e-13,2.280427005006076e-15
9.0,172.9,4.777743593750001e-13,3.5453527922572117e-15
9.0,173.0,5.72131234375e-13,1.1989660018144497e-15
9.0,173.1,6.2647153125e-13,4.235250634149857e-15
9.0,173.2,6.718954461538462e-13,2.1132217478897507e-15
9.0,173.3,7.932264000000001e-13,3.5133889046965716e-15
9.0,173.4,8.4388946875e-13,3.0315080321046834e-15
9.0,173.5,9.876852857142856e-13,1.5852076981973296e-15
9.0,173.6,1.1210425e-12,2.199658431847289e-15
9.0,173.7,1.2432741269841268e-12,1.3338178944694783e-15
9.0,173.8,1.3434959375000002e-12,2.6970138083370723e-15
9.0,173.9,1.41850875e-12,1.6400438926219512e-15
9.0,174.0,1.4681429508196723e-12,1.7895704496356704e-15
9.0,174.1,1.52104734375e-12,2.9279702487304346e-15
9.0,174.2,1.5827239682539683e-12,1.351952602624118e-15
9.0,174.3,1.601493015873016e-12,2.5339421000957124e-15
9.0,174.4,1.708989375e-12,1.625721097142237e-15
9.0,174.5,1.740943387096774e-12,2.5312150198613114e-15
