X,Y,I
0.0,175.0,9.155e-13
0.0,175.0,8.193e-13
0.0,175.0,7.74e-13
0.0,175.0,7.897e-13
0.0,175.0,8.018e-13
0.0,175.0,7.768e-13
0.0,175.0,7.889e-13
0.0,175.0,7.804e-13
0.0,175.0,7.774e-13
0.0,175.0,8.149e-13
0.0,175.0,8.456e-13
0.0,175.0,8.751e-13
0.0,175.0,8.054e-13
0.0,175.0,7.73e-13
0.0,175.0,7.944e-13
0.0,175.0,8.372e-13
0.0,175.0,8.248e-13
0.0,175.0,8.03e-13
0.0,175.0,7.459e-13
0.0,175.0,7.865e-13
0.0,175.0,7.942e-13
0.0,175.0,8.249e-13
0.0,175.0,8.03e-13
0.0,175.0,8.182e-13
0.0,175.0,8.076e-13
0.0,175.0,8.039e-13
0.0,175.0,7.846e-13
0.0,175.0,7.859e-13
0.0,175.0,8.225e-13
0.0,175.0,8.007e-13
0.0,175.0,7.991e-13
0.0,175.0,8.08e-13
0.0,175.0,8.36e-13
0.0,175.0,8.373e-13
0.0,175.0,8.234e-13
0.0,175.0,7.882e-13
0.0,175.0,7.891e-13
0.0,175.0,8.13e-13
0.0,175.0,8.033e-13
0.0,175.0,8.013e-13
0.0,175.0,8.061e-13
0.0,175.0,7.754e-13
0.0,175.0,8.321e-13
0.0,175.0,8.107e-13
0.0,175.0,7.896e-13
0.0,175.0,7.86e-13
0.0,175.0,8.298e-13
0.0,175.0,8.535e-13
0.0,175.0,7.895e-13
0.0,175.0,7.858e-13
0.0,175.0,8.063e-13
0.0,175.0,8.031e-13
0.0,175.0,7.788e-13
0.0,175.0,8.233e-13
0.0,180.0,1.3616e-12
0.0,180.0,1.7111e-12
0.0,180.0,2.1087e-12
0.0,180.0,2.2417e-12
0.0,180.0,2.2842e-12
0.0,180.0,2.2556e-12
0.0,180.0,2.2275e-12
0.0,180.0,2.2615e-12
0.0,180.0,2.2552e-12
0.0,180.0,2.2428e-12
0.0,180.0,2.2282e-12
0.0,180.0,2.2253e-12
0.0,180.0,2.246e-12
0.0,180.0,2.2712e-12
0.0,180.0,2.2761e-12
0.0,180.0,2.2997e-12
0.0,180.0,2.2672e-12
0.0,180.0,2.2778e-12
0.0,180.0,2.3379e-12
0.0,180.0,2.3355e-12
0.0,180.0,2.326e-12
0.0,180.0,2.3294e-12
0.0,180.0,2.3377e-12
0.0,180.0,2.3298e-12
0.0,180.0,2.3029e-12
0.0,180.0,2.3194e-12
0.0,180.0,2.3253e-12
0.0,180.0,2.2945e-12
0.0,180.0,2.3272e-12
0.0,180.0,2.3483e-12
0.0,180.0,2.3515e-12
0.0,180.0,2.3682e-12
0.0,180.0,2.3893e-12
