X,Y,I,Ierr
0.0,179.0,4.064547014925374e-13,1.6860600732877508e-15
0.1,179.0,3.92557223880597e-13,2.039647767675139e-15
0.2,179.0,4.030562878787879e-13,1.4076215098029843e-15
0.3,179.0,3.906624307692308e-13,2.1048525091303994e-15
0.4,179.0,4.3393193749999996e-13,1.2306227205006425e-15
0.5,179.0,4.325309375e-13,2.568526544785374e-15
0.6,179.0,4.391585396825397e-13,2.2207637030886712e-15
0.7,179.0,4.32075078125e-13,1.7262634812200851e-15
0.8,179.0,4.656368888888889e-13,1.397810439129547e-15
0.9,179.0,4.69111890625e-13,3.1780434702636373e-15
1.0,179.0,4.533201746031746e-13,1.3592581996749416e-15
1.1,179.0,4.600049523809524e-13,1.6314944807074197e-15
1.2,179.0,4.570761904761904e-13,1.898098724747332e-15
1.3,179.0,4.7661303125e-13,2.160735514440314e-15
1.4,179.0,4.853654354838709e-13,1.3604870640001098e-15
1.5,179.0,5.083108888888888e-13,2.283944610797465e-15
1.6,179.0,5.295371746031745e-13,2.5813700556765393e-15
1.7,179.0,5.679897580645161e-13,4.158380884738998e-15
1.8,179.0,6.22943890625e-13,1.2676017375722875e-15
1.9,179.0,6.699201746031746e-13,2.577677303591566e-15
2.0,179.0,7.591755483870967e-13,2.1275355316510664e-15
2.1,179.0,7.985702698412699e-13,2.449313338321599e-15
2.2,179.0,7.942970793650795e-13,3.3048470587584873e-15
2.3,179.0,8.084275967741935e-13,1.3107583512967247e-15
2.4,179.0,8.699787903225807e-13,8.764996354211395e-16
2.5,179.0,8.990107419354841e-13,2.5427487046486615e-15
2.6,179.0,9.717376721311475e-13,1.3039438318603925e-15
2.7,179.0,1.0067537704918031e-12,2.566057084669189e-15
2.8,179.0,1.0308415932203388e-12,2.90754212534227e-15
2.9,179.0,1.1137946666666666e-12,1.3047937356504235e-15
3.0,179.0,1.123096724137931e-12,1.4965424357714938e-15
3.1,179.0,1.1564672881355928e-12,1.1547074586961603e-15
3.2,179.0,1.1558129310344827e-12,1.898437730087313e-15
3.3,179.0,1.2999201754385964e-12,1.5542788068727835e-15
3.4,179.0,1.3375842857142858e-12,1.4694848651654903e-15
3.5,179.0,1.345277142857143e-12,1.9297546257107138e-15
3.6,179.0,1.4110548214285713e-12,1.5127387016707842e-15
3.7,179.0,1.4421752727272725e-12,1.5494673007208013e-15
3.8,179.0,1.463135185185185e-12,2.6428724025957013e-15
3.9,179.0,1.5679831481481483e-12,2.2802832775925427e-15
4.0,179.0,1.5625e-12,1.3176574194818985e-15
4.1,179.0,1.6194677358490562e-12,1.9897770168602235e-15
