X,Y,I
50.0,160.0,[2.69671e-06]
50.0,161.0,[2.68026e-06]
50.0,162.0,[2.64721e-06]
50.0,163.0,[2.65168e-06]
50.0,166.0,[2.61443e-06]
50.0,167.0,[2.60894e-06]
50.0,168.0,[2.59013e-06]
50.0,169.0,[2.59619e-06]
50.0,170.0,[2.59257e-06]
50.0,171.0,[2.58939e-06]
50.0,174.0,[2.58482e-06]
50.0,175.0,[2.58293e-06]
50.0,176.0,[2.5883e-06]
50.0,177.0,[2.59087e-06]
50.0,178.0,[2.58822e-06]
50.0,179.0,[2.5904e-06]
50.0,180.0,[2.57531e-06]
50.0,183.0,[2.56831e-06]
50.0,184.0,[2.57725e-06]
50.0,185.0,[2.58169e-06]
50.0,186.0,[2.5832e-06]
50.0,187.0,[2.57512e-06]
50.0,188.0,[2.57602e-06]
50.0,192.0,[2.5842e-06]
50.0,193.0,[2.58593e-06]
50.0,194.0,[2.57383e-06]
50.0,195.0,[2.57794e-06]
50.0,196.0,[2.58649e-06]
50.0,197.0,[2.57736e-06]
50.0,200.0,[2.58521e-06]
51.0,200.0,[2.56606e-06]
51.0,199.0,[2.57491e-06]
51.0,198.0,[2.57264e-06]
51.0,197.0,[2.56969e-06]
51.0,196.0,[2.58431e-06]
51.0,193.0,[2.58557e-06]
51.0,192.0,[2.58073e-06]
51.0,191.0,[2.58996e-06]
51.0,190.0,[2.58141e-06]
51.0,189.0,[2.58203e-06]
51.0,188.0,[2.58655e-06]
51.0,187.0,[2.57833e-06]
51.0,184.0,[2.59249e-06]
51.0,183.0,[2.58347e-06]
51.0,182.0,[2.58533e-06]
51.0,181.0,[2.57252e-06]
51.0,180.0,[2.57665e-06]
51.0,179.0,[2.58896e-06]
51.0,175.0,[2.58008e-06]
51.0,174.0,[2.57506e-06]
51.0,173.0,[2.59426e-06]
51.0,172.0,[2.58806e-06]
51.0,171.0,[2.58848e-06]
51.0,170.0,[2.59835e-06]
51.0,167.0,[2.61186e-06]
51.0,166.0,[2.60525e-06]
51.0,165.0,[2.62216e-06]
51.0,164.0,[2.63508e-06]
51.0,163.0,[2.63163e-06]
51.0,162.0,[2.66405e-06]
51.0,161.0,[2.69101e-06]
52.0,160.0,[2.68442e-06]
52.0,161.0,[2.663e-06]
52.0,162.0,[2.67047e-06]
52.0,163.0,[2.64691e-06]
52.0,164.0,[2.64749e-06]
52.0,165.0,[2.62411e-06]
52.0,166.0,[2.60993e-06]
52.0,169.0,[2.59899e-06]
52.0,170.0,[2.6127e-06]
52.0,171.0,[2.57838e-06]
52.0,172.0,[2.57401e-06]
52.0,173.0,[2.59208e-06]
52.0,174.0,[2.60232e-06]
52.0,177.0,[2.58944e-06]
52.0,178.0,[2.57923e-06]
52.0,179.0,[2.56979e-06]
52.0,180.0,[2.58709e-06]
52.0,181.0,[2.58868e-06]
52.0,182.0,[2.58415e-06]
52.0,183.0,[2.57341e-06]
52.0,186.0,[2.57781e-06]
52.0,187.0,[2.5769e-06]
52.0,188.0,[2.57548e-06]
52.0,189.0,[2.58042e-06]
52.0,190.0,[2.58413e-06]
52.0,191.0,[2.57186e-06]
52.0,194.0,[2.57859e-06]
52.0,195.0,[2.57667e-06]
52.0,196.0,[2.5603e-06]
52.0,197.0,[2.56898e-06]
52.0,198.0,[2.57416e-06]
52.0,199.0,[2.57952e-06]
52.0,200.0,[2.57526e-06]
53.0,198.0,[2.58411e-06]
53.0,197.0,[2.58379e-06]
53.0,196.0,[2.573e-06]
53.0,195.0,[2.57912e-06]
53.0,194.0,[2.57732e-06]
53.0,193.0,[2.57537e-06]
53.0,190.0,[2.58467e-06]
53.0,189.0,[2.58982e-06]
53.0,188.0,[2.57819e-06]
53.0,187.0,[2.57722e-06]
53.0,186.0,[2.57212e-06]
53.0,185.0,[2.57781e-06]
53.0,184.0,[2.58277e-06]
53.0,181.0,[2.58207e-06]
53.0,180.0,[2.5932e-06]
53.0,179.0,[2.5841e-06]
53.0,178.0,[2.59086e-06]
53.0,177.0,[2.59462e-06]
53.0,176.0,[2.59289e-06]
53.0,175.0,[2.59894e-06]
53.0,172.0,[2.6043e-06]
53.0,171.0,[2.59827e-06]
53.0,170.0,[2.59409e-06]
53.0,169.0,[2.61296e-06]
53.0,168.0,[2.60504e-06]
53.0,167.0,[2.62435e-06]
53.0,163.0,[2.64494e-06]
53.0,162.0,[2.65215e-06]
53.0,161.0,[2.6691e-06]
53.0,160.0,[2.67465e-06]
54.0,160.0,[2.67552e-06]
54.0,161.0,[2.66403e-06]
54.0,164.0,[2.63909e-06]
54.0,165.0,[2.61394e-06]
54.0,166.0,[2.60223e-06]
54.0,167.0,[2.61228e-06]
54.0,168.0,[2.59324e-06]
54.0,169.0,[2.60533e-06]
54.0,171.0,[2.59782e-06]
54.0,172.0,[2.603e-06]
54.0,173.0,[2.60314e-06]
54.0,174.0,[2.61294e-06]
54.0,175.0,[2.5991e-06]
54.0,176.0,[2.60066e-06]
54.0,179.0,[2.57914e-06]
54.0,180.0,[2.58745e-06]
54.0,181.0,[2.59529e-06]
54.0,182.0,[2.5834e-06]
54.0,183.0,[2.58028e-06]
54.0,184.0,[2.59035e-06]
54.0,189.0,[2.58687e-06]
54.0,190.0,[2.5777e-06]
54.0,191.0,[2.58781e-06]
54.0,192.0,[2.58197e-06]
54.0,193.0,[2.59815e-06]
54.0,194.0,[2.57728e-06]
54.0,195.0,[2.56962e-06]
54.0,196.0,[2.58789e-06]
54.0,200.0,[2.59035e-06]
55.0,200.0,[2.58756e-06]
55.0,199.0,[2.58343e-06]
55.0,198.0,[2.58538e-06]
55.0,197.0,[2.59311e-06]
55.0,196.0,[2.58279e-06]
55.0,195.0,[2.58644e-06]
55.0,194.0,[2.57901e-06]
55.0,193.0,[2.58041e-06]
55.0,190.0,[2.58864e-06]
55.0,189.0,[2.58202e-06]
55.0,188.0,[2.59106e-06]
55.0,187.0,[2.58754e-06]
55.0,186.0,[2.58034e-06]
55.0,185.0,[2.58176e-06]
55.0,184.0,[2.58741e-06]
55.0,181.0,[2.57947e-06]
55.0,180.0,[2.59166e-06]
55.0,179.0,[2.59096e-06]
55.0,178.0,[2.57914e-06]
55.0,177.0,[2.59197e-06]
55.0,176.0,[2.57849e-06]
55.0,175.0,[2.58291e-06]
55.0,172.0,[2.59935e-06]
55.0,171.0,[2.5976e-06]
55.0,170.0,[2.60679e-06]
55.0,169.0,[2.61762e-06]
55.0,168.0,[2.61105e-06]
55.0,167.0,[2.60341e-06]
55.0,166.0,[2.63535e-06]
55.0,165.0,[2.63568e-06]
55.0,164.0,[2.62004e-06]
55.0,163.0,[2.64191e-06]
55.0,162.0,[2.66275e-06]
55.0,161.0,[2.66172e-06]
55.0,160.0,[2.67735e-06]
56.0,163.0,[2.63444e-06]
56.0,164.0,[2.6148e-06]
56.0,165.0,[2.60752e-06]
56.0,166.0,[2.60719e-06]
56.0,167.0,[2.60765e-06]
56.0,168.0,[2.706e-06]
56.0,169.0,[2.61351e-06]
56.0,173.0,[2.59035e-06]
56.0,174.0,[2.58846e-06]
56.0,175.0,[2.59972e-06]
56.0,176.0,[2.59491e-06]
56.0,177.0,[2.58601e-06]
56.0,178.0,[2.58895e-06]
56.0,179.0,[2.5818e-06]
56.0,182.0,[2.59106e-06]
56.0,183.0,[2.58872e-06]
56.0,184.0,[2.57168e-06]
56.0,185.0,[2.58401e-06]
56.0,186.0,[2.5891e-06]
56.0,187.0,[2.59958e-06]
