X,Y,I,Ierr
0.0,170.0,3.196311538461538e-13,2.604693342749452e-14
0.0,175.0,3.0631807692307694e-13,2.260564820829431e-14
0.0,180.0,3.099026923076923e-13,2.4178136588772205e-14
0.0,185.0,2.9824615384615384e-13,2.5085181202780485e-14
0.0,190.0,3.133346153846154e-13,2.3926315932103716e-14
0.0,195.0,3.0503576923076926e-13,2.3453455735706533e-14
0.0,200.0,3.1632961538461543e-13,2.5755637542811594e-14
0.0,205.0,3.0060320000000003e-13,3.1943043276431877e-14
0.0,210.0,3.108408e-13,1.8812053778362426e-14
5.0,210.0,3.0219846153846154e-13,2.5407231056154627e-14
5.0,205.0,3.0639153846153844e-13,2.083087163365353e-14
5.0,200.0,2.755976923076923e-13,2.53944441694351e-14
5.0,195.0,2.995052e-13,4.04271178413698e-14
5.0,190.0,2.622612e-13,2.56409850544007e-14
5.0,185.0,2.711844e-13,1.9948780429890945e-14
5.0,180.0,2.759128e-13,1.6183433633194163e-14
5.0,175.0,2.94836e-13,2.545653959201839e-14
5.0,170.0,2.780434615384616e-13,2.5191429241877498e-14
10.0,170.0,3.036452e-13,1.9733151217177657e-14
10.0,175.0,2.6528759999999995e-13,2.358175129713652e-14
10.0,180.0,2.992724e-13,2.8705492057095975e-14
10.0,185.0,2.74546e-13,1.948815558230178e-14
10.0,190.0,2.6088791666666664e-13,1.5132509149500697e-14
10.0,195.0,2.701036e-13,3.085304690042784e-14
10.0,200.0,2.6108961538461536e-13,2.7395627736608637e-14
10.0,205.0,2.843968e-13,2.8345351184277117e-14
10.0,210.0,2.739184e-13,2.8193734152112597e-14
15.0,210.0,2.480576e-13,1.856527797367979e-14
15.0,205.0,2.5957160000000004e-13,2.086101563778715e-14
15.0,200.0,2.986204e-13,1.9065082738871077e-14
15.0,195.0,3.000825e-13,2.468249940916303e-14
15.0,190.0,4.2752920000000004e-13,9.586789568651228e-14
15.0,185.0,9.534144e-13,2.0331848726566912e-14
15.0,180.0,9.283616e-13,2.1460450261818837e-14
15.0,175.0,2.261856e-13,2.4498011687481902e-14
15.0,170.0,2.631864e-13,2.5474826143469558e-14
20.0,170.0,2.720384e-13,3.0550357861079144e-14
20.0,175.0,2.4169279999999995e-13,2.137363619415283e-14
20.0,180.0,8.106456000000001e-13,1.9454051121717554e-13
20.0,185.0,9.8164e-13,2.4441303074918092e-14
20.0,190.0,5.9537875e-13,1.6449211863876892e-13
20.0,195.0,2.554776923076923e-13,1.880719733500006e-14
20.0,200.0,2.6823720000000003e-13,2.4956604339533052e-14
20.0,205.0,3.018568e-13,2.7778083550885934e-14
20.0,210.0,2.536623076923077e-13,2.5407398726732575e-14
25.0,210.0,2.504348e-13,1.9571979382780882e-14
25.0,205.0,2.4888280000000005e-13,2.2500368267208427e-14
25.0,200.0,2.9638359999999995e-13,2.4388772151135448e-14
25.0,195.0,3.084075999999999e-13,1.9154149687208778e-14
25.0,190.0,2.965004e-13,2.4691864486911477e-14
25.0,185.0,3.6610076923076916e-13,2.7914345350220212e-14
25.0,180.0,3.86568e-13,1.6821293886024346e-14
25.0,175.0,2.4032583333333335e-13,2.2429187441937244e-14
25.0,170.0,2.677095833333333e-13,2.4306133053059994e-14
30.0,170.0,2.450048e-13,3.064201222113195e-14
30.0,175.0,2.1951040000000002e-13,3.527888325670187e-14
30.0,180.0,2.118372e-13,2.6471304844302635e-14
30.0,185.0,2.2876000000000003e-13,2.697700843310837e-14
30.0,190.0,3.002220833333334e-13,3.051919068105163e-14
30.0,195.0,3.2583375000000003e-13,2.7866916587670166e-14
30.0,200.0,3.006095833333333e-13,4.153570226114382e-14
30.0,205.0,2.84665e-13,3.292704169827591e-14
30.0,210.0,2.6059833333333335e-13,2.585768577983902e-14
35.0,210.0,2.5305e-13,3.006462927317304e-14
35.0,205.0,2.6129666666666667e-13,2.453722981964798e-14
35.0,200.0,2.5048041666666666e-13,1.985563972762035e-14
35.0,195.0,3.3349625e-13,2.392436185364547e-14
35.0,190.0,3.3321041666666666e-13,2.418477611349177e-14
35.0,185.0,2.9495875e-13,2.0003922597101634e-14
35.0,180.0,3.052870833333333e-13,3.191951107592955e-14
35.0,175.0,3.031583333333333e-13,2.5675807138670884e-14
35.0,170.0,2.8545875e-13,2.112773913454774e-14
40.0,170.0,2.8635e-13,2.781356550474888e-14
40.0,175.0,2.976695833333334e-13,2.4841541565015428e-14
40.0,180.0,2.9984782608695646e-13,2.172971637032963e-14
40.0,185.0,3.164991304347827e-13,2.1851618368688683e-14
40.0,190.0,3.267047826086956e-13,1.9790643786256176e-14
40.0,195.0,3.124852173913044e-13,1.8458796623258737e-14
40.0,200.0,2.880760869565217e-13,3.7808093306469446e-14
40.0,205.0,3.0058608695652174e-13,2.966123406784049e-14
40.0,210.0,2.7040826086956523e-13,1.3714827473490112e-14
