X,Y,I
80.5,180.0,[8.84136e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09, 6.41743e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09, 6.41743e-09, 7.57972e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09, 6.41743e-09, 7.57972e-09, 7.80821e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09, 6.41743e-09, 7.57972e-09, 7.80821e-09, 8.76188e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09, 6.41743e-09, 7.57972e-09, 7.80821e-09, 8.76188e-09, 6.50684e-09]
80.5,180.0,[8.84136e-09, 7.32144e-09, 8.89103e-09, 7.13269e-09, 6.41743e-09, 7.57972e-09, 7.80821e-09, 8.76188e-09, 6.50684e-09, 6.44724e-09]
80.5,180.1,[8.74201e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09, 6.75519e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09, 6.75519e-09, 6.60618e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09, 6.75519e-09, 6.60618e-09, 7.17243e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09, 6.75519e-09, 6.60618e-09, 7.17243e-09, 5.42402e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09, 6.75519e-09, 6.60618e-09, 7.17243e-09, 5.42402e-09, 4.79817e-09]
80.5,180.1,[8.74201e-09, 8.62281e-09, 6.55651e-09, 7.56979e-09, 6.75519e-09, 6.60618e-09, 7.17243e-09, 5.42402e-09, 4.79817e-09, 6.59625e-09]
80.5,180.2,[6.35783e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09, 6.65585e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09, 6.65585e-09, 8.43406e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09, 6.65585e-09, 8.43406e-09, 7.93735e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09, 6.65585e-09, 8.43406e-09, 7.93735e-09, 6.39757e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09, 6.65585e-09, 8.43406e-09, 7.93735e-09, 6.39757e-09, 6.28829e-09]
80.5,180.2,[6.35783e-09, 8.16584e-09, 5.44389e-09, 7.53999e-09, 6.65585e-09, 8.43406e-09, 7.93735e-09, 6.39757e-09, 6.28829e-09, 5.92073e-09]
80.5,180.3,[8.14597e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09, 7.24196e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09, 7.24196e-09, 9.93411e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09, 7.24196e-09, 9.93411e-09, 8.54333e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09, 7.24196e-09, 9.93411e-09, 8.54333e-09, 7.58966e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09, 7.24196e-09, 9.93411e-09, 8.54333e-09, 7.58966e-09, 8.61287e-09]
80.5,180.3,[8.14597e-09, 7.32144e-09, 9.33806e-09, 7.63933e-09, 7.24196e-09, 9.93411e-09, 8.54333e-09, 7.58966e-09, 8.61287e-09, 7.60953e-09]
80.5,180.4,[9.51687e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09, 8.47379e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09, 8.47379e-09, 8.99037e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09, 8.47379e-09, 8.99037e-09, 6.4671e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09, 8.47379e-09, 8.99037e-09, 6.4671e-09, 8.40425e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09, 8.47379e-09, 8.99037e-09, 6.4671e-09, 8.40425e-09, 9.44734e-09]
80.5,180.4,[9.51687e-09, 6.59625e-09, 8.21551e-09, 7.03335e-09, 8.47379e-09, 8.99037e-09, 6.4671e-09, 8.40425e-09, 9.44734e-09, 8.14597e-09]
80.5,180.5,[8.46386e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09, 7.689e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09, 7.689e-09, 7.07308e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09, 7.689e-09, 7.07308e-09, 9.05991e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09, 7.689e-09, 7.07308e-09, 9.05991e-09, 7.56979e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09, 7.689e-09, 7.07308e-09, 9.05991e-09, 7.56979e-09, 9.61622e-09]
80.5,180.5,[8.46386e-09, 8.29498e-09, 9.21885e-09, 7.689e-09, 7.07308e-09, 9.05991e-09, 7.56979e-09, 9.61622e-09, 8.85129e-09]
