X,Y,I
0.0,0.0,9.154e-13
0.0,0.0,8.714e-13
0.0,0.0,8.288e-13
0.0,0.0,8.379e-13
0.0,0.0,7.933e-13
0.0,0.0,8.482e-13
0.0,0.0,8.53e-13
0.0,0.0,7.999e-13
0.0,0.0,8.6e-13
0.0,0.0,8.181e-13
0.0,0.0,8.312e-13
0.0,0.0,8.313e-13
0.0,0.0,7.987e-13
0.0,0.0,8.614e-13
0.0,0.0,8.24e-13
0.0,0.0,8.371e-13
0.0,0.0,8.306e-13
0.0,0.0,8.37e-13
0.0,0.0,8.964e-13
0.0,0.0,8.727e-13
0.0,0.0,8.391e-13
0.0,0.0,8.074e-13
0.0,0.0,8.037e-13
0.0,0.0,8.775e-13
0.0,1.0,8.462e-13
0.0,1.0,8.822e-13
0.0,1.0,8.608e-13
0.0,1.0,8.869e-13
0.0,1.0,9.039e-13
0.0,1.0,9.072e-13
0.0,1.0,8.725e-13
0.0,1.0,8.328e-13
0.0,1.0,8.283e-13
0.0,1.0,8.795e-13
0.0,1.0,8.547e-13
0.0,1.0,8.584e-13
0.0,1.0,8.361e-13
0.0,1.0,8.143e-13
0.0,1.0,8.308e-13
0.0,1.0,8.193e-13
0.0,1.0,8.489e-13
0.0,1.0,8.382e-13
0.0,1.0,8.622e-13
0.0,1.0,8.752e-13
0.0,1.0,8.741e-13
0.0,1.0,8.605e-13
0.0,1.0,8.619e-13
0.0,1.0,8.39e-13
0.0,1.0,8.752e-13
0.0,2.0,8.664e-13
0.0,2.0,8.315e-13
0.0,2.0,8.941e-13
0.0,2.0,8.78e-13
0.0,2.0,8.876e-13
0.0,2.0,9.013e-13
0.0,2.0,8.605e-13
0.0,2.0,8.569e-13
0.0,2.0,8.983e-13
0.0,2.0,9.026e-13
0.0,2.0,9.028e-13
0.0,2.0,8.839e-13
0.0,2.0,8.923e-13
0.0,2.0,8.511e-13
0.0,2.0,8.733e-13
0.0,2.0,8.706e-13
0.0,2.0,8.419e-13
0.0,2.0,9.236e-13
0.0,2.0,9.235e-13
0.0,2.0,9.371e-13
0.0,2.0,9.389e-13
0.0,2.0,9.292e-13
0.0,2.0,9.121e-13
0.0,2.0,8.779e-13
0.0,2.0,8.998e-13
0.0,3.0,9.082e-13
0.0,3.0,8.841e-13
0.0,3.0,9.079e-13
0.0,3.0,9.242e-13
0.0,3.0,9.17e-13
0.0,3.0,8.893e-13
0.0,3.0,9.486e-13
0.0,3.0,9.518e-13
0.0,3.0,9.652e-13
0.0,3.0,8.993e-13
0.0,3.0,8.933e-13
0.0,3.0,8.852e-13
0.0,3.0,8.943e-13
0.0,3.0,9.38e-13
0.0,3.0,8.312e-13
0.0,3.0,8.75e-13
0.0,3.0,8.531e-13
0.0,3.0,9.171e-13
0.0,3.0,9.424e-13
0.0,3.0,9.064e-13
0.0,3.0,8.947e-13
0.0,3.0,8.462e-13
0.0,3.0,8.058e-13
0.0,3.0,8.647e-13
0.0,3.0,8.502e-13
0.0,4.0,9.372e-13
0.0,4.0,9.174e-13
0.0,4.0,8.75e-13
0.0,4.0,9.056e-13
0.0,4.0,9.008e-13
0.0,4.0,9.353e-13
0.0,4.0,9.253e-13
0.0,4.0,8.975e-13
0.0,4.0,9.588e-13
0.0,4.0,8.711e-13
0.0,4.0,8.618e-13
0.0,4.0,9.041e-13
0.0,4.0,8.805e-13
0.0,4.0,9.27e-13
0.0,4.0,8.709e-13
0.0,4.0,8.72e-13
0.0,4.0,9.098e-13
0.0,4.0,9.137e-13
0.0,4.0,9.028e-13
0.0,4.0,8.835e-13
0.0,4.0,9.011e-13
0.0,4.0,8.908e-13
0.0,4.0,8.561e-13
0.0,4.0,8.542e-13
0.0,4.0,8.975e-13
0.0,5.0,9.355e-13
0.0,5.0,9.454e-13
0.0,5.0,8.99e-13
0.0,5.0,8.839e-13
0.0,5.0,8.958e-13
0.0,5.0,8.969e-13
0.0,5.0,8.425e-13
0.0,5.0,8.712e-13
0.0,5.0,8.438e-13
0.0,5.0,8.454e-13
0.0,5.0,8.626e-13
0.0,5.0,8.496e-13
0.0,5.0,8.463e-13
0.0,5.0,8.355e-13
0.0,5.0,8.406e-13
0.0,5.0,8.58e-13
0.0,5.0,8.82e-13
0.0,5.0,8.159e-13
0.0,5.0,9.045e-13
0.0,5.0,9.234e-13
0.0,5.0,8.606e-13
0.0,5.0,8.945e-13
0.0,5.0,8.512e-13
0.0,5.0,8.636e-13
0.0,6.0,9.255e-13
0.0,6.0,9.533e-13
0.0,6.0,9.252e-13
0.0,6.0,8.814e-13
0.0,6.0,8.801e-13
0.0,6.0,8.499e-13
0.0,6.0,8.581e-13
0.0,6.0,8.655e-13
0.0,6.0,8.901e-13
0.0,6.0,9.259e-13
0.0,6.0,8.964e-13
0.0,6.0,9.354e-13
0.0,6.0,9.171e-13
0.0,6.0,9.308e-13
0.0,6.0,9.718e-13
0.0,6.0,9.464e-13
0.0,6.0,9.039e-13
0.0,6.0,8.777e-13
0.0,6.0,8.815e-13
0.0,6.0,9.289e-13
0.0,6.0,8.978e-13
0.0,6.0,9.262e-13
0.0,6.0,8.882e-13
0.0,6.0,8.445e-13
0.0,6.0,8.623e-13
0.0,7.0,8.576e-13
0.0,7.0,8.408e-13
0.0,7.0,8.615e-13
0.0,7.0,8.674e-13
0.0,7.0,8.662e-13
0.0,7.0,9.039e-13
0.0,7.0,7.887e-13
0.0,7.0,8.499e-13
0.0,7.0,8.69e-13
0.0,7.0,8.538e-13
0.0,7.0,8.771e-13
0.0,7.0,8.604e-13
0.0,7.0,8.827e-13
0.0,7.0,8.652e-13
0.0,7.0,8.583e-13
0.0,7.0,8.408e-13
0.0,7.0,8.085e-13
0.0,7.0,8.427e-13
0.0,7.0,8.6e-13
0.0,7.0,8.339e-13
0.0,7.0,8.462e-13
0.0,7.0,8.858e-13
0.0,7.0,8.701e-13
0.0,7.0,8.62e-13
0.0,7.0,8.566e-13
0.0,8.0,8.278e-13
0.0,8.0,8.429e-13
0.0,8.0,9.168e-13
0.0,8.0,8.619e-13
0.0,8.0,9.285e-13
0.0,8.0,8.57e-13
0.0,8.0,8.564e-13
0.0,8.0,8.773e-13
0.0,8.0,8.581e-13
0.0,8.0,8.911e-13
0.0,8.0,8.719e-13
0.0,8.0,8.073e-13
0.0,8.0,8.418e-13
0.0,8.0,8.148e-13
0.0,8.0,8.447e-13
0.0,8.0,8.797e-13
0.0,8.0,8.691e-13
0.0,8.0,8.605e-13
0.0,8.0,9.139e-13
0.0,8.0,8.283e-13
0.0,8.0,8.349e-13
0.0,8.0,8.374e-13
0.0,8.0,8.777e-13
0.0,8.0,8.454e-13
0.0,8.0,8.489e-13
0.0,9.0,8.818e-13
0.0,9.0,8.692e-13
0.0,9.0,8.708e-13
0.0,9.0,8.891e-13
0.0,9.0,8.577e-13
0.0,9.0,8.378e-13
0.0,9.0,8.82e-13
0.0,9.0,8.849e-13
0.0,9.0,8.596e-13
0.0,9.0,8.791e-13
0.0,9.0,8.546e-13
0.0,9.0,8.272e-13
0.0,9.0,8.304e-13
0.0,9.0,8.097e-13
0.0,9.0,8.254e-13
0.0,9.0,8.211e-13
0.0,9.0,7.85e-13
0.0,9.0,8.785e-13
0.0,9.0,8.154e-13
0.0,9.0,8.36e-13
0.0,9.0,8.396e-13
0.0,9.0,8.886e-13
0.0,9.0,8.93e-13
0.0,9.0,8.358e-13
0.0,9.0,8.571e-13
0.0,10.0,8.524e-13
0.0,10.0,8.443e-13
0.0,10.0,8.557e-13
0.0,10.0,8.024e-13
0.0,10.0,7.686e-13
0.0,10.0,8.683e-13
0.0,10.0,7.927e-13
0.0,10.0,8.459e-13
0.0,10.0,8.244e-13
0.0,10.0,8.675e-13
0.0,10.0,8.536e-13
0.0,10.0,8.547e-13
0.0,10.0,8.754e-13
0.0,10.0,8.171e-13
0.0,10.0,8.065e-13
0.0,10.0,8.4e-13
0.0,10.0,8.294e-13
0.0,10.0,8.854e-13
0.0,10.0,8.814e-13
0.0,10.0,9.134e-13
0.0,10.0,8.568e-13
0.0,10.0,8.089e-13
0.0,10.0,8.85e-13
0.0,10.0,8.591e-13
0.0,10.0,8.373e-13
0.0,11.0,8.499e-13
0.0,11.0,8.407e-13
0.0,11.0,8.143e-13
0.0,11.0,8.196e-13
0.0,11.0,8.152e-13
0.0,11.0,8.009e-13
0.0,11.0,8.264e-13
0.0,11.0,8.798e-13
0.0,11.0,8.434e-13
0.0,11.0,8.629e-13
0.0,11.0,8.367e-13
0.0,11.0,8.394e-13
0.0,11.0,9.203e-13
0.0,11.0,8.619e-13
0.0,11.0,8.726e-13
0.0,11.0,8.71e-13
0.0,11.0,9.085e-13
0.0,11.0,8.671e-13
0.0,11.0,8.173e-13
0.0,11.0,8.44e-13
0.0,11.0,8.998e-13
0.0,11.0,8.515e-13
0.0,11.0,9.126e-13
0.0,11.0,8.653e-13
0.0,11.0,8.846e-13
0.0,12.0,8.778e-13
0.0,12.0,9.045e-13
0.0,12.0,8.695e-13
0.0,12.0,8.455e-13
0.0,12.0,8.949e-13
0.0,12.0,8.551e-13
0.0,12.0,8.281e-13
0.0,12.0,8.603e-13
0.0,12.0,8.562e-13
0.0,12.0,8.579e-13
0.0,12.0,8.458e-13
0.0,12.0,8.344e-13
0.0,12.0,8.575e-13
0.0,12.0,8.198e-13
0.0,12.0,8.938e-13
0.0,12.0,8.787e-13
0.0,12.0,8.666e-13
0.0,12.0,8.783e-13
0.0,12.0,8.5e-13
0.0,12.0,8.974e-13
0.0,12.0,8.397e-13
0.0,12.0,8.018e-13
0.0,12.0,8.426e-13
0.0,12.0,8.292e-13
0.0,13.0,8.451e-13
0.0,13.0,8.492e-13
0.0,13.0,8.534e-13
0.0,13.0,8.255e-13
0.0,13.0,7.994e-13
0.0,13.0,7.924e-13
0.0,13.0,8.059e-13
0.0,13.0,7.94e-13
0.0,13.0,8.291e-13
0.0,13.0,8.508e-13
0.0,13.0,8.297e-13
0.0,13.0,8.905e-13
0.0,13.0,9.115e-13
0.0,13.0,8.617e-13
0.0,13.0,8.624e-13
0.0,13.0,8.073e-13
0.0,13.0,8.544e-13
0.0,13.0,8.754e-13
0.0,13.0,8.573e-13
0.0,13.0,8.522e-13
0.0,13.0,8.589e-13
0.0,13.0,9.041e-13
0.0,13.0,8.645e-13
0.0,13.0,8.487e-13
0.0,13.0,8.355e-13
0.0,14.0,8.316e-13
0.0,14.0,8.443e-13
0.0,14.0,8.217e-13
0.0,14.0,8.411e-13
0.0,14.0,8.415e-13
0.0,14.0,8.289e-13
0.0,14.0,8.454e-13
0.0,14.0,8.936e-13
0.0,14.0,8.819e-13
0.0,14.0,8.133e-13
0.0,14.0,8.554e-13
0.0,14.0,8.562e-13
0.0,14.0,8.573e-13
0.0,14.0,8.377e-13
0.0,14.0,8.297e-13
0.0,14.0,8.655e-13
0.0,14.0,8.878e-13
0.0,14.0,8.954e-13
0.0,14.0,9.164e-13
0.0,14.0,8.969e-13
0.0,14.0,8.642e-13
0.0,14.0,8.354e-13
0.0,14.0,8.394e-13
0.0,14.0,7.848e-13
0.0,15.0,8.211e-13
0.0,15.0,8.339e-13
0.0,15.0,7.959e-13
0.0,15.0,7.799e-13
0.0,15.0,8.104e-13
0.0,15.0,8.434e-13
0.0,15.0,8.226e-13
0.0,15.0,8.056e-13
0.0,15.0,8.175e-13
0.0,15.0,7.95e-13
0.0,15.0,7.79e-13
0.0,15.0,8.088e-13
0.0,15.0,8.003e-13
0.0,15.0,8.197e-13
0.0,15.0,8.29e-13
0.0,15.0,8.445e-13
0.0,15.0,8.618e-13
0.0,15.0,8.268e-13
0.0,15.0,7.932e-13
0.0,15.0,8.101e-13
0.0,15.0,8.456e-13
0.0,15.0,8.316e-13
0.0,15.0,8.221e-13
0.0,15.0,7.914e-13
0.0,15.0,8.437e-13
0.0,16.0,7.87e-13
0.0,16.0,8.43e-13
0.0,16.0,8.457e-13
0.0,16.0,8.216e-13
0.0,16.0,8.192e-13
0.0,16.0,7.92e-13
0.0,16.0,8.187e-13
0.0,16.0,8.048e-13
0.0,16.0,7.68e-13
0.0,16.0,8.233e-13
0.0,16.0,8.591e-13
0.0,16.0,8.342e-13
0.0,16.0,8.082e-13
0.0,16.0,8.656e-13
0.0,16.0,8.805e-13
0.0,16.0,8.505e-13
0.0,16.0,8.019e-13
0.0,16.0,8.233e-13
0.0,16.0,7.722e-13
0.0,16.0,8.069e-13
0.0,16.0,8.248e-13
0.0,16.0,7.893e-13
0.0,16.0,7.677e-13
0.0,16.0,7.791e-13
0.0,16.0,8.447e-13
0.0,17.0,7.048e-13
0.0,17.0,7.002e-13
0.0,17.0,7.117e-13
0.0,17.0,7.11e-13
0.0,17.0,7.442e-13
0.0,17.0,7.236e-13
0.0,17.0,7.041e-13
0.0,17.0,7.43e-13
0.0,17.0,7.202e-13
0.0,17.0,7.318e-13
0.0,17.0,6.87e-13
0.0,17.0,7.093e-13
0.0,17.0,7.191e-13
0.0,17.0,7.128e-13
0.0,17.0,7.358e-13
0.0,17.0,7.124e-13
0.0,17.0,7.42e-13
0.0,17.0,7.397e-13
0.0,17.0,7.072e-13
0.0,17.0,7.253e-13
0.0,17.0,7.3e-13
0.0,17.0,6.92e-13
0.0,17.0,6.526e-13
0.0,17.0,6.941e-13
0.0,17.0,7.028e-13
0.0,17.0,7.697e-13
0.0,18.0,7.347e-13
0.0,18.0,7.01e-13
0.0,18.0,7.215e-13
0.0,18.0,7.473e-13
0.0,18.0,7.542e-13
0.0,18.0,7.573e-13
0.0,18.0,7.507e-13
0.0,18.0,7.103e-13
0.0,18.0,7.225e-13
0.0,18.0,7.285e-13
0.0,18.0,7.088e-13
0.0,18.0,7.346e-13
0.0,18.0,7.088e-13
0.0,18.0,7.445e-13
0.0,18.0,7.398e-13
0.0,18.0,7.378e-13
0.0,18.0,7.79e-13
0.0,18.0,7.589e-13
0.0,18.0,7.435e-13
0.0,18.0,7.349e-13
0.0,18.0,6.849e-13
0.0,18.0,7.612e-13
0.0,18.0,7.209e-13
0.0,18.0,7.486e-13
0.0,18.0,7.443e-13
0.0,19.0,6.611e-13
0.0,19.0,7.074e-13
0.0,19.0,6.82e-13
0.0,19.0,7.352e-13
0.0,19.0,7.043e-13
0.0,19.0,7.001e-13
0.0,19.0,7.401e-13
0.0,19.0,7.37e-13
0.0,19.0,7.372e-13
0.0,19.0,7.038e-13
0.0,19.0,7.055e-13
0.0,19.0,6.871e-13
0.0,19.0,6.79e-13
0.0,19.0,7.118e-13
0.0,19.0,7.241e-13
0.0,19.0,6.982e-13
0.0,19.0,7.17e-13
0.0,19.0,7.203e-13
0.0,19.0,7.802e-13
0.0,19.0,7.284e-13
0.0,19.0,6.676e-13
0.0,19.0,7.151e-13
0.0,19.0,6.992e-13
0.0,19.0,7.416e-13
0.0,20.0,6.398e-13
0.0,20.0,6.624e-13
0.0,20.0,6.379e-13
0.0,20.0,6.755e-13
0.0,20.0,6.822e-13
0.0,20.0,6.468e-13
0.0,20.0,6.827e-13
0.0,20.0,6.312e-13
0.0,20.0,7.805e-13
0.0,20.0,6.812e-13
0.0,20.0,6.368e-13
0.0,20.0,6.831e-13
0.0,20.0,6.403e-13
0.0,20.0,6.832e-13
0.0,20.0,7.12e-13
0.0,20.0,6.547e-13
0.0,20.0,6.984e-13
0.0,20.0,6.733e-13
0.0,20.0,6.601e-13
0.0,20.0,6.499e-13
0.0,20.0,6.551e-13
0.0,20.0,6.376e-13
0.0,20.0,6.921e-13
0.0,20.0,6.833e-13
0.0,20.0,6.826e-13
1.0,20.0,7.393e-13
1.0,20.0,7.21e-13
1.0,20.0,7.69e-13
1.0,20.0,7.51e-13
1.0,20.0,6.843e-13
1.0,20.0,7.736e-13
1.0,20.0,7.376e-13
1.0,20.0,7.474e-13
1.0,20.0,7.582e-13
1.0,20.0,7.703e-13
1.0,20.0,7.832e-13
1.0,20.0,7.577e-13
1.0,20.0,7.479e-13
1.0,20.0,7.305e-13
1.0,20.0,6.845e-13
1.0,20.0,7.262e-13
1.0,20.0,7.05e-13
1.0,20.0,6.748e-13
1.0,20.0,6.854e-13
1.0,20.0,6.61e-13
1.0,20.0,6.913e-13
1.0,20.0,6.842e-13
1.0,20.0,6.71e-13
1.0,20.0,6.967e-13
1.0,20.0,6.722e-13
1.0,19.0,7.744e-13
1.0,19.0,7.316e-13
1.0,19.0,7.519e-13
1.0,19.0,6.994e-13
1.0,19.0,7.241e-13
1.0,19.0,7.346e-13
1.0,19.0,7.533e-13
1.0,19.0,7.669e-13
1.0,19.0,7.161e-13
1.0,19.0,7.368e-13
1.0,19.0,7.918e-13
1.0,19.0,7.433e-13
1.0,19.0,7.393e-13
1.0,19.0,7.496e-13
1.0,19.0,7.363e-13
1.0,19.0,7.543e-13
1.0,19.0,7.655e-13
1.0,19.0,7.679e-13
1.0,19.0,7.5e-13
1.0,19.0,7.414e-13
1.0,19.0,7.765e-13
1.0,19.0,7.483e-13
1.0,19.0,7.029e-13
1.0,19.0,7.039e-13
1.0,19.0,7.087e-13
1.0,18.0,7.673e-13
1.0,18.0,7.61e-13
1.0,18.0,6.833e-13
1.0,18.0,7.457e-13
1.0,18.0,7.254e-13
1.0,18.0,7.427e-13
1.0,18.0,7.113e-13
1.0,18.0,7.327e-13
1.0,18.0,7.295e-13
1.0,18.0,7.254e-13
1.0,18.0,7.249e-13
1.0,18.0,7.217e-13
1.0,18.0,7.507e-13
1.0,18.0,7.558e-13
1.0,18.0,7.388e-13
1.0,18.0,7.112e-13
1.0,18.0,7.257e-13
1.0,18.0,7.352e-13
1.0,18.0,7.735e-13
1.0,18.0,7.301e-13
1.0,18.0,7.564e-13
1.0,18.0,7.668e-13
1.0,18.0,7.695e-13
1.0,18.0,7.632e-13
1.0,18.0,7.782e-13
1.0,17.0,7.553e-13
1.0,17.0,7.199e-13
1.0,17.0,7.579e-13
1.0,17.0,7.511e-13
1.0,17.0,7.926e-13
1.0,17.0,8.035e-13
1.0,17.0,8.37e-13
1.0,17.0,7.673e-13
1.0,17.0,7.784e-13
1.0,17.0,8.15e-13
1.0,17.0,7.923e-13
1.0,17.0,7.538e-13
1.0,17.0,7.47e-13
1.0,17.0,7.574e-13
1.0,17.0,7.712e-13
1.0,17.0,7.576e-13
1.0,17.0,7.987e-13
1.0,17.0,7.372e-13
1.0,17.0,7.636e-13
1.0,17.0,7.944e-13
1.0,17.0,7.694e-13
1.0,17.0,7.815e-13
1.0,17.0,7.676e-13
1.0,17.0,7.489e-13
1.0,17.0,7.574e-13
1.0,16.0,8.662e-13
1.0,16.0,8.453e-13
1.0,16.0,8.542e-13
1.0,16.0,8.722e-13
1.0,16.0,8.535e-13
1.0,16.0,9.428e-13
1.0,16.0,8.637e-13
1.0,16.0,8.981e-13
1.0,16.0,9.359e-13
1.0,16.0,9.283e-13
1.0,16.0,8.844e-13
1.0,16.0,8.754e-13
1.0,16.0,8.662e-13
1.0,16.0,8.387e-13
1.0,16.0,8.687e-13
1.0,16.0,8.61e-13
1.0,16.0,9.382e-13
1.0,16.0,9.032e-13
1.0,16.0,9.555e-13
1.0,16.0,9.36e-13
1.0,16.0,9.23e-13
1.0,16.0,9.171e-13
1.0,16.0,9.034e-13
1.0,16.0,8.753e-13
1.0,16.0,8.932e-13
1.0,15.0,9.005e-13
1.0,15.0,9.155e-13
1.0,15.0,9.241e-13
1.0,15.0,9.03e-13
1.0,15.0,9.091e-13
1.0,15.0,9.575e-13
1.0,15.0,9.52e-13
1.0,15.0,9.279e-13
1.0,15.0,9.439e-13
1.0,15.0,9.431e-13
1.0,15.0,9.575e-13
1.0,15.0,9.781e-13
1.0,15.0,9.778e-13
1.0,15.0,9.054e-13
1.0,15.0,8.561e-13
1.0,15.0,8.895e-13
1.0,15.0,8.798e-13
1.0,15.0,9.621e-13
1.0,15.0,9.085e-13
1.0,15.0,9.898e-13
1.0,15.0,9.945e-13
1.0,15.0,9.478e-13
1.0,15.0,9.32e-13
1.0,15.0,9.341e-13
1.0,15.0,9.59e-13
1.0,14.0,9.478e-13
1.0,14.0,8.609e-13
1.0,14.0,8.962e-13
1.0,14.0,9.408e-13
1.0,14.0,9.12e-13
1.0,14.0,9.16e-13
1.0,14.0,8.816e-13
1.0,14.0,8.877e-13
1.0,14.0,9.197e-13
1.0,14.0,9.149e-13
1.0,14.0,8.979e-13
1.0,14.0,9.347e-13
1.0,14.0,9.483e-13
1.0,14.0,9.692e-13
1.0,14.0,9.235e-13
1.0,14.0,9.141e-13
1.0,14.0,8.805e-13
1.0,14.0,8.85e-13
1.0,14.0,9.285e-13
1.0,14.0,9.649e-13
1.0,14.0,9.233e-13
1.0,14.0,9.194e-13
1.0,14.0,9.121e-13
1.0,14.0,9.797e-13
1.0,14.0,9.198e-13
1.0,13.0,9.272e-13
1.0,13.0,9.697e-13
1.0,13.0,8.904e-13
1.0,13.0,8.989e-13
1.0,13.0,9.5e-13
1.0,13.0,9.244e-13
1.0,13.0,9.084e-13
1.0,13.0,9.02e-13
1.0,13.0,9.464e-13
1.0,13.0,9.064e-13
1.0,13.0,9.143e-13
1.0,13.0,9.282e-13
1.0,13.0,9.064e-13
1.0,13.0,9.21e-13
1.0,13.0,9.411e-13
1.0,13.0,9.312e-13
1.0,13.0,9.281e-13
1.0,13.0,9.217e-13
1.0,13.0,8.866e-13
1.0,13.0,9.391e-13
1.0,13.0,9.058e-13
1.0,13.0,8.978e-13
1.0,13.0,9.054e-13
1.0,13.0,9.433e-13
1.0,13.0,8.282e-13
1.0,13.0,8.718e-13
1.0,12.0,9.171e-13
1.0,12.0,9.075e-13
1.0,12.0,9.462e-13
1.0,12.0,9.148e-13
1.0,12.0,9.051e-13
1.0,12.0,8.817e-13
1.0,12.0,9.281e-13
1.0,12.0,8.902e-13
1.0,12.0,9.23e-13
1.0,12.0,8.882e-13
1.0,12.0,8.833e-13
1.0,12.0,9.14e-13
1.0,12.0,8.994e-13
1.0,12.0,9.163e-13
1.0,12.0,9.089e-13
1.0,12.0,8.918e-13
1.0,12.0,9.594e-13
1.0,12.0,9.117e-13
1.0,12.0,9.33e-13
1.0,12.0,9.541e-13
1.0,12.0,8.908e-13
1.0,12.0,8.733e-13
1.0,12.0,8.72e-13
1.0,12.0,9.08e-13
1.0,12.0,8.897e-13
1.0,11.0,9.753e-13
1.0,11.0,9.181e-13
1.0,11.0,8.968e-13
1.0,11.0,9.529e-13
1.0,11.0,9.411e-13
1.0,11.0,9.319e-13
1.0,11.0,9.321e-13
1.0,11.0,9.233e-13
1.0,11.0,9.301e-13
1.0,11.0,9.369e-13
1.0,11.0,9.681e-13
1.0,11.0,9.278e-13
1.0,11.0,9.309e-13
1.0,11.0,8.99e-13
1.0,11.0,9.028e-13
1.0,11.0,9.392e-13
1.0,11.0,9.099e-13
1.0,11.0,9.558e-13
1.0,11.0,9.84e-13
1.0,11.0,9.58e-13
1.0,11.0,9.729e-13
1.0,11.0,9.459e-13
1.0,11.0,9.508e-13
1.0,11.0,9.537e-13
1.0,11.0,9.277e-13
1.0,10.0,9.161e-13
1.0,10.0,8.663e-13
1.0,10.0,9.024e-13
1.0,10.0,9.449e-13
1.0,10.0,8.968e-13
1.0,10.0,8.825e-13
1.0,10.0,9.046e-13
1.0,10.0,9.669e-13
1.0,10.0,9.265e-13
1.0,10.0,8.71e-13
1.0,10.0,8.994e-13
1.0,10.0,9.232e-13
1.0,10.0,8.776e-13
1.0,10.0,9.266e-13
1.0,10.0,9.016e-13
1.0,10.0,9.097e-13
1.0,10.0,8.875e-13
1.0,10.0,8.857e-13
1.0,10.0,9.508e-13
1.0,10.0,8.684e-13
1.0,10.0,8.942e-13
1.0,10.0,9.41e-13
1.0,10.0,8.596e-13
1.0,10.0,8.793e-13
1.0,9.0,9.129e-13
1.0,9.0,9.541e-13
1.0,9.0,9.251e-13
1.0,9.0,9.033e-13
1.0,9.0,8.983e-13
1.0,9.0,8.505e-13
1.0,9.0,8.864e-13
1.0,9.0,9.104e-13
1.0,9.0,9.011e-13
1.0,9.0,9.06e-13
1.0,9.0,9.13e-13
1.0,9.0,8.953e-13
1.0,9.0,9.342e-13
1.0,9.0,8.928e-13
1.0,9.0,9.563e-13
1.0,9.0,9.11e-13
1.0,9.0,9.383e-13
1.0,9.0,9.389e-13
1.0,9.0,9.309e-13
1.0,9.0,9.67e-13
1.0,9.0,9.512e-13
1.0,9.0,8.888e-13
1.0,9.0,9.668e-13
1.0,9.0,9.075e-13
1.0,8.0,9.347e-13
1.0,8.0,9.479e-13
1.0,8.0,9.683e-13
1.0,8.0,9.333e-13
1.0,8.0,9.39e-13
