X,Y,I
6.0,184.8,3.40647e-13
6.0,184.8,3.44195e-13
6.0,184.8,3.55926e-13
6.0,184.8,3.56602e-13
6.0,184.8,3.56011e-13
6.0,184.8,3.54051e-13
6.0,184.8,3.61264e-13
6.0,184.8,3.63532e-13
6.0,184.8,3.59148e-13
6.0,184.8,3.59427e-13
6.0,184.8,3.6551e-13
6.0,184.8,3.66609e-13
6.0,184.8,3.64e-13
6.0,184.8,3.68552e-13
6.0,184.8,3.72932e-13
6.0,184.8,3.74824e-13
6.0,184.8,3.74702e-13
6.0,184.8,3.71396e-13
6.0,184.8,3.63843e-13
6.0,184.8,3.58454e-13
6.0,184.8,3.55269e-13
6.0,184.8,3.52052e-13
6.0,184.8,3.51964e-13
6.0,184.8,3.43654e-13
6.0,184.8,3.47011e-13
6.0,184.8,3.46369e-13
6.0,184.8,3.51322e-13
6.0,184.8,3.54009e-13
6.0,184.8,3.50347e-13
6.0,184.8,3.50936e-13
6.0,184.8,3.54188e-13
6.0,184.8,3.53667e-13
6.0,184.8,3.58612e-13
6.0,184.8,3.61234e-13
6.0,184.8,3.68275e-13
6.0,184.8,3.76664e-13
6.0,184.8,3.68971e-13
6.0,184.8,3.62209e-13
6.0,184.8,3.59411e-13
6.0,184.8,3.55466e-13
6.0,184.8,3.52603e-13
6.0,184.8,3.49791e-13
6.0,184.8,3.48902e-13
6.0,184.8,3.42194e-13
6.0,184.8,3.44074e-13
6.0,184.8,3.49539e-13
6.0,184.8,3.53682e-13
6.0,184.8,3.55861e-13
6.0,184.8,3.54344e-13
6.0,184.8,3.48403e-13
6.0,184.8,3.51065e-13
6.0,184.8,3.55098e-13
6.0,184.8,3.50867e-13
6.0,184.8,3.56866e-13
6.0,184.8,3.5973e-13
6.0,184.8,3.55771e-13
6.0,184.8,3.66043e-13
6.1,184.8,3.4122e-13
6.1,184.8,3.35506e-13
6.1,184.8,3.34251e-13
6.1,184.8,3.38129e-13
6.1,184.8,3.36809e-13
6.1,184.8,3.30961e-13
6.1,184.8,3.29371e-13
6.1,184.8,3.31219e-13
