X,Y,I
9.0,170.0,3.70268e-13
9.0,170.0,3.61985e-13
9.0,170.0,3.66896e-13
9.0,170.0,3.62949e-13
9.0,170.0,3.67287e-13
9.0,170.0,3.68462e-13
9.0,170.0,3.61856e-13
9.0,170.0,3.54059e-13
9.0,170.0,3.49625e-13
9.0,170.0,3.54907e-13
9.0,170.0,3.49444e-13
9.0,170.0,3.48787e-13
9.0,170.0,3.42165e-13
9.0,170.0,3.36462e-13
9.0,170.0,3.3782e-13
9.0,170.0,3.39996e-13
9.0,170.0,3.42487e-13
9.0,170.0,3.47282e-13
9.0,170.0,3.50074e-13
9.0,170.0,3.46192e-13
9.0,170.0,3.37681e-13
9.0,170.0,3.32874e-13
9.0,170.0,3.26607e-13
9.0,170.0,3.2988e-13
9.0,170.0,3.35464e-13
9.0,170.0,3.45813e-13
9.0,170.0,3.49427e-13
9.0,170.0,3.54176e-13
9.0,170.0,3.50532e-13
9.0,170.0,3.43342e-13
9.0,170.0,3.39601e-13
9.0,170.0,3.34892e-13
9.0,170.0,3.29247e-13
9.0,170.1,3.63143e-13
9.0,170.1,3.66424e-13
9.0,170.1,3.64514e-13
9.0,170.1,3.73138e-13
9.0,170.1,3.71655e-13
9.0,170.1,3.72079e-13
9.0,170.1,3.67186e-13
9.0,170.1,3.60993e-13
9.0,170.1,3.53288e-13
9.0,170.1,3.5585e-13
9.0,170.1,3.62779e-13
9.0,170.1,3.67755e-13
9.0,170.1,3.64555e-13
9.0,170.1,3.65783e-13
9.0,170.1,3.71111e-13
9.0,170.1,3.75267e-13
9.0,170.1,3.79201e-13
9.0,170.1,3.88427e-13
9.0,170.1,3.92612e-13
9.0,170.1,3.93373e-13
9.0,170.1,3.90956e-13
9.0,170.1,4.02164e-13
9.0,170.1,3.98359e-13
9.0,170.1,3.96416e-13
9.0,170.1,3.94499e-13
9.0,170.1,3.9668e-13
9.0,170.1,3.96199e-13
9.0,170.1,4.03242e-13
9.0,170.1,4.03606e-13
9.0,170.1,4.07996e-13
9.0,170.1,4.09523e-13
9.0,170.1,4.09326e-13
9.0,170.1,4.14707e-13
9.0,170.1,4.14633e-13
9.0,170.2,4.11871e-13
9.0,170.2,4.09802e-13
9.0,170.2,4.09888e-13
9.0,170.2,3.9977e-13
9.0,170.2,4.00898e-13
9.0,170.2,4.01687e-13
9.0,170.2,4.03923e-13
9.0,170.2,4.0164e-13
9.0,170.2,4.0746e-13
9.0,170.2,4.0553e-13
9.0,170.2,4.04201e-13
9.0,170.2,4.00824e-13
9.0,170.2,4.01457e-13
9.0,170.2,3.96218e-13
9.0,170.2,3.95542e-13
9.0,170.2,3.93542e-13
9.0,170.2,3.97229e-13
9.0,170.2,3.98183e-13
9.0,170.2,4.03386e-13
9.0,170.2,4.03588e-13
9.0,170.2,4.04921e-13
9.0,170.2,4.02511e-13
9.0,170.2,3.96004e-13
9.0,170.2,3.9913e-13
9.0,170.2,3.99306e-13
9.0,170.2,3.97834e-13
9.0,170.2,3.97481e-13
9.0,170.2,4.02219e-13
9.0,170.2,4.05716e-13
9.0,170.2,4.16723e-13
9.0,170.2,4.16118e-13
9.0,170.2,4.13411e-13
9.0,170.2,4.05411e-13
9.0,170.3,4.27872e-13
9.0,170.3,4.28042e-13
9.0,170.3,4.29324e-13
9.0,170.3,4.2853e-13
9.0,170.3,4.23876e-13
9.0,170.3,4.23992e-13
9.0,170.3,4.19229e-13
9.0,170.3,4.24438e-13
9.0,170.3,4.24177e-13
9.0,170.3,4.19715e-13
9.0,170.3,4.21137e-13
9.0,170.3,4.25749e-13
9.0,170.3,4.35785e-13
9.0,170.3,4.3957e-13
9.0,170.3,4.43757e-13
9.0,170.3,4.4849e-13
9.0,170.3,4.47964e-13
9.0,170.3,4.45371e-13
9.0,170.3,4.42818e-13
9.0,170.3,4.34175e-13
9.0,170.3,4.33156e-13
9.0,170.3,4.28299e-13
9.0,170.3,4.32828e-13
9.0,170.3,4.26445e-13
9.0,170.3,4.23514e-13
9.0,170.3,4.28246e-13
9.0,170.3,4.32131e-13
9.0,170.3,4.34298e-13
9.0,170.3,4.32521e-13
9.0,170.3,4.31935e-13
9.0,170.3,4.33876e-13
9.0,170.3,4.31984e-13
9.0,170.3,4.2162e-13
9.0,170.4,3.78215e-13
9.0,170.4,3.81773e-13
9.0,170.4,3.80605e-13
9.0,170.4,3.8063e-13
9.0,170.4,3.77549e-13
9.0,170.4,3.75171e-13
9.0,170.4,3.75555e-13
9.0,170.4,3.87487e-13
9.0,170.4,3.99138e-13
9.0,170.4,4.01429e-13
9.0,170.4,4.01318e-13
9.0,170.4,4.02166e-13
9.0,170.4,3.98976e-13
9.0,170.4,3.9986e-13
9.0,170.4,3.94785e-13
9.0,170.4,3.96522e-13
9.0,170.4,3.93284e-13
9.0,170.4,3.92868e-13
9.0,170.4,3.90428e-13
9.0,170.4,3.85352e-13
9.0,170.4,3.86283e-13
9.0,170.4,3.8782e-13
9.0,170.4,3.88046e-13
9.0,170.4,3.88157e-13
9.0,170.4,3.85053e-13
9.0,170.4,3.86492e-13
9.0,170.4,3.8643e-13
9.0,170.4,3.87862e-13
9.0,170.4,3.93607e-13
9.0,170.4,3.9399e-13
9.0,170.4,3.93091e-13
9.0,170.4,3.896e-13
9.0,170.4,3.87971e-13
9.0,170.5,3.6701e-13
9.0,170.5,3.68369e-13
9.0,170.5,3.68304e-13
9.0,170.5,3.67508e-13
9.0,170.5,3.64905e-13
9.0,170.5,3.62961e-13
9.0,170.5,3.60408e-13
9.0,170.5,3.59281e-13
9.0,170.5,3.59328e-13
9.0,170.5,3.53611e-13
9.0,170.5,3.56471e-13
9.0,170.5,3.54608e-13
9.0,170.5,3.61219e-13
9.0,170.5,3.59276e-13
9.0,170.5,3.55748e-13
9.0,170.5,3.62327e-13
9.0,170.5,3.59772e-13
9.0,170.5,3.56358e-13
9.0,170.5,3.58181e-13
9.0,170.5,3.58681e-13
