X,Y,I,Ierr
40.0,170.0,1.4539566666666664e-07,3.4310313642142976e-09
40.0,175.0,6.790955e-08,3.377500000000058e-10
40.0,180.0,2.3156366666666668e-08,1.2033302299128967e-09
40.0,185.0,1.5447533333333333e-08,6.109247980634677e-10
40.0,190.0,1.56396e-08,7.931625600510073e-10
40.0,195.0,1.7434366666666668e-08,2.1406338692598085e-09
40.0,200.0,1.39541e-08,1.1788034979022871e-09
40.0,205.0,1.4569999999999999e-08,7.417241580713594e-10
40.0,210.0,1.4070033333333333e-08,2.3681634703335477e-10
45.0,210.0,1.24607e-08,1.133875716293457e-09
45.0,205.0,1.6497233333333333e-08,1.295574635270217e-09
45.0,200.0,1.664626666666667e-08,7.057412619996722e-10
45.0,195.0,1.5798533333333334e-08,1.4021605764755413e-09
45.0,190.0,1.7340000000000002e-08,3.725000000000005e-10
45.0,185.0,1.83483e-08,1.2303349652296594e-09
45.0,180.0,2.4105100000000002e-08,4.420999999999987e-10
45.0,175.0,5.042223333333333e-08,3.970600367982431e-09
45.0,170.0,1.05944e-07,3.991930443615808e-09
50.0,170.0,1.0080645e-07,5.061550000000005e-09
50.0,175.0,5.92735e-08,3.60123328967545e-09
50.0,180.0,3.440185e-08,1.5894499999999997e-09
50.0,185.0,2.4927966666666667e-08,1.4190319665963215e-09
50.0,190.0,1.96033e-08,7.634938157357049e-10
50.0,195.0,1.6732366666666666e-08,6.535438589379873e-10
50.0,200.0,1.7424433333333332e-08,1.1548943280183203e-09
50.0,205.0,1.5222333333333335e-08,1.1912366720718804e-09
50.0,210.0,1.1404379999999998e-08,1.7551214167306678e-09
55.0,210.0,1.7298566666666667e-08,5.927328365761056e-10
55.0,205.0,1.8467533333333333e-08,1.2070959871618418e-09
55.0,200.0,1.9351666666666668e-08,1.4758139750283265e-10
55.0,195.0,2.06232e-08,2.5830000000000106e-10
55.0,190.0,2.7636700000000005e-08,2.6081929235903303e-09
55.0,185.0,4.29799e-08,8.394000000000002e-10
55.0,180.0,6.171730000000001e-08,2.3331661292472665e-09
55.0,175.0,8.33902e-08,3.532560919031216e-09
55.0,170.0,1.0168226666666666e-07,2.939427474110486e-09
60.0,170.0,1.1619266666666666e-07,4.068128179997385e-09
60.0,175.0,1.2701750000000002e-07,7.331500000000002e-09
60.0,180.0,1.3472966666666667e-07,3.654783653727755e-09
60.0,185.0,9.88346e-08,3.034861697013554e-09
60.0,190.0,5.0769900000000005e-08,3.770643383650418e-09
60.0,195.0,2.8418133333333332e-08,1.3667399394991813e-09
60.0,200.0,2.4259066666666668e-08,9.319357428969495e-10
60.0,205.0,2.10967e-08,1.2992761471937622e-09
60.0,210.0,1.744925e-08,7.003499999999987e-10
65.0,210.0,9.387723333333333e-09,1.3891597269892644e-09
65.0,205.0,2.147093333333333e-08,1.3515996506197966e-09
65.0,200.0,3.15458e-08,7.996999999999976e-10
65.0,195.0,4.38061e-08,2.5054629924759758e-09
65.0,190.0,9.104605e-08,5.960499999999969e-10
65.0,185.0,5.668403333333333e-07,3.0602937564154776e-08
65.0,180.0,8.130866666666667e-07,2.843563738613142e-08
65.0,175.0,2.6426733333333334e-07,1.7905308269399387e-08
65.0,170.0,1.1298066666666667e-07,7.997952126777346e-09
70.0,170.0,1.5458133333333332e-07,1.4056977113005325e-08
70.0,175.0,4.00229e-07,1.8879902771642293e-08
70.0,180.0,4.629413333333333e-06,7.012444287756505e-08
70.0,185.0,2.67303e-06,9.084140025340703e-09
70.0,190.0,1.3950466666666666e-07,6.111738996026881e-09
70.0,195.0,4.398325e-08,1.1573500000000008e-09
70.0,200.0,2.6736e-08,4.6145604341042107e-10
70.0,205.0,1.9235733333333334e-08,3.768356346678956e-10
70.0,210.0,1.1086433333333332e-08,4.874885320588466e-10
75.0,210.0,1.1248733333333334e-08,1.9855466171532938e-09
75.0,205.0,9.819845e-09,5.612549999999994e-10
75.0,200.0,2.7842000000000002e-08,1.6367840745396658e-09
75.0,195.0,4.4690233333333336e-08,1.5836694043335634e-09
75.0,190.0,1.0273533333333334e-07,1.7011330211231418e-09
75.0,185.0,3.498263333333333e-07,1.5841525649030424e-08
75.0,180.0,5.739993333333333e-07,2.5890097905484186e-08
75.0,175.0,2.7142633333333333e-07,8.770466438882012e-09
75.0,170.0,1.35869e-07,2.8709999999999997e-09
80.0,170.0,8.397963333333333e-08,4.936570822162102e-09
80.0,175.0,1.7014833333333334e-07,9.881988104065314e-10
80.0,180.0,1.9940250000000001e-07,6.449999999999373e-11
80.0,185.0,1.8554599999999999e-07,9.074605592898612e-10
80.0,190.0,1.0991133333333334e-07,2.9254457590064624e-09
80.0,195.0,4.278616666666667e-08,2.6736934408334007e-09
80.0,200.0,1.1344726666666665e-08,9.660953583483476e-10
80.0,205.0,1.0122826666666668e-08,1.380001151722547e-09
80.0,210.0,1.1033470000000001e-08,1.1313373186042551e-09
