X,Y,I
40.0,170.0,[1.7825e-06]
40.0,170.0,[1.7825e-06, 1.79274e-06]
40.0,170.0,[1.7825e-06, 1.79274e-06, 1.79296e-06]
40.0,170.0,[1.7825e-06, 1.79274e-06, 1.79296e-06, 1.78944e-06]
40.0,172.0,[1.79563e-06]
40.0,172.0,[1.79563e-06, 1.79063e-06]
40.0,172.0,[1.79563e-06, 1.79063e-06, 1.79953e-06]
40.0,172.0,[1.79563e-06, 1.79063e-06, 1.79953e-06, 1.79404e-06]
40.0,172.0,[1.79563e-06, 1.79063e-06, 1.79953e-06, 1.79404e-06, 1.80148e-06]
40.0,174.0,[1.74708e-06]
40.0,174.0,[1.74708e-06, 1.75082e-06]
40.0,174.0,[1.74708e-06, 1.75082e-06, 1.74546e-06]
40.0,174.0,[1.74708e-06, 1.75082e-06, 1.74546e-06, 1.74767e-06]
40.0,174.0,[1.74708e-06, 1.75082e-06, 1.74546e-06, 1.74767e-06, 1.78287e-06]
40.0,176.0,[1.79924e-06]
40.0,176.0,[1.79924e-06, 1.79854e-06]
40.0,176.0,[1.79924e-06, 1.79854e-06, 1.77952e-06]
40.0,176.0,[1.79924e-06, 1.79854e-06, 1.77952e-06, 1.79757e-06]
40.0,176.0,[1.79924e-06, 1.79854e-06, 1.77952e-06, 1.79757e-06, 1.80368e-06]
40.0,178.0,[1.79432e-06]
40.0,178.0,[1.79432e-06, 1.74486e-06]
40.0,178.0,[1.79432e-06, 1.74486e-06, 1.74025e-06]
40.0,178.0,[1.79432e-06, 1.74486e-06, 1.74025e-06, 1.79585e-06]
40.0,178.0,[1.79432e-06, 1.74486e-06, 1.74025e-06, 1.79585e-06, 1.8025e-06]
40.0,180.0,[1.74132e-06]
40.0,180.0,[1.74132e-06, 1.73966e-06]
40.0,180.0,[1.74132e-06, 1.73966e-06, 1.76596e-06]
40.0,180.0,[1.74132e-06, 1.73966e-06, 1.76596e-06, 1.74312e-06]
40.0,180.0,[1.74132e-06, 1.73966e-06, 1.76596e-06, 1.74312e-06, 1.79549e-06]
40.0,182.0,[1.80442e-06]
40.0,182.0,[1.80442e-06, 1.79863e-06]
40.0,182.0,[1.80442e-06, 1.79863e-06, 1.79621e-06]
40.0,182.0,[1.80442e-06, 1.79863e-06, 1.79621e-06, 1.73451e-06]
40.0,182.0,[1.80442e-06, 1.79863e-06, 1.79621e-06, 1.73451e-06, 1.7904e-06]
40.0,184.0,[1.80225e-06]
40.0,184.0,[1.80225e-06, 1.74232e-06]
40.0,184.0,[1.80225e-06, 1.74232e-06, 1.74849e-06]
40.0,184.0,[1.80225e-06, 1.74232e-06, 1.74849e-06, 1.80307e-06]
40.0,184.0,[1.80225e-06, 1.74232e-06, 1.74849e-06, 1.80307e-06, 1.79527e-06]
40.0,186.0,[1.791e-06]
40.0,186.0,[1.791e-06, 1.79397e-06]
40.0,186.0,[1.791e-06, 1.79397e-06, 1.79449e-06]
40.0,186.0,[1.791e-06, 1.79397e-06, 1.79449e-06, 1.79547e-06]
40.0,186.0,[1.791e-06, 1.79397e-06, 1.79449e-06, 1.79547e-06, 1.79122e-06]
40.0,188.0,[1.79e-06]
40.0,188.0,[1.79e-06, 1.79608e-06]
40.0,188.0,[1.79e-06, 1.79608e-06, 1.79092e-06]
40.0,188.0,[1.79e-06, 1.79608e-06, 1.79092e-06, 1.74163e-06]
40.0,188.0,[1.79e-06, 1.79608e-06, 1.79092e-06, 1.74163e-06, 1.74032e-06]
40.0,190.0,[1.74414e-06]
40.0,190.0,[1.74414e-06, 1.78541e-06]
40.0,190.0,[1.74414e-06, 1.78541e-06, 1.8053e-06]
40.0,190.0,[1.74414e-06, 1.78541e-06, 1.8053e-06, 1.79686e-06]
40.0,190.0,[1.74414e-06, 1.78541e-06, 1.8053e-06, 1.79686e-06, 1.79636e-06]
40.0,192.0,[1.8048e-06]
40.0,192.0,[1.8048e-06, 1.79259e-06]
40.0,192.0,[1.8048e-06, 1.79259e-06, 1.80353e-06]
40.0,192.0,[1.8048e-06, 1.79259e-06, 1.80353e-06, 1.80087e-06]
40.0,192.0,[1.8048e-06, 1.79259e-06, 1.80353e-06, 1.80087e-06, 1.79169e-06]
40.0,194.0,[1.7902e-06]
40.0,194.0,[1.7902e-06, 1.80363e-06]
40.0,194.0,[1.7902e-06, 1.80363e-06, 1.74287e-06]
40.0,194.0,[1.7902e-06, 1.80363e-06, 1.74287e-06, 1.74814e-06]
40.0,194.0,[1.7902e-06, 1.80363e-06, 1.74287e-06, 1.74814e-06, 1.79216e-06]
40.0,196.0,[1.8023e-06]
40.0,196.0,[1.8023e-06, 1.79275e-06]
40.0,196.0,[1.8023e-06, 1.79275e-06, 1.74753e-06]
40.0,196.0,[1.8023e-06, 1.79275e-06, 1.74753e-06, 1.74731e-06]
40.0,196.0,[1.8023e-06, 1.79275e-06, 1.74753e-06, 1.74731e-06, 1.79513e-06]
40.0,198.0,[1.79338e-06]
40.0,198.0,[1.79338e-06, 1.78866e-06]
40.0,198.0,[1.79338e-06, 1.78866e-06, 1.80752e-06]
40.0,198.0,[1.79338e-06, 1.78866e-06, 1.80752e-06, 1.73922e-06]
40.0,198.0,[1.79338e-06, 1.78866e-06, 1.80752e-06, 1.73922e-06, 1.79059e-06]
40.0,200.0,[1.79455e-06]
40.0,200.0,[1.79455e-06, 1.80146e-06]
40.0,200.0,[1.79455e-06, 1.80146e-06, 1.79726e-06]
40.0,200.0,[1.79455e-06, 1.80146e-06, 1.79726e-06, 1.75091e-06]
40.0,202.0,[1.56991e-06]
