X,Y,I,Ierr
0.0,0.0,7.227215384615384e-13,8.673862174242314e-15
0.0,1.0,7.459183846153846e-13,8.636371215687056e-15
0.0,2.0,7.914296923076922e-13,1.0375368411509834e-14
0.0,3.0,8.543670769230769e-13,1.8537266873731117e-14
0.0,4.0,8.707459230769231e-13,7.157553094583034e-15
0.0,5.0,8.6197888e-13,4.735533315857877e-15
0.0,6.0,8.842378461538463e-13,1.5063857258842868e-14
0.0,7.0,8.827971538461538e-13,1.7341528234696985e-14
0.0,8.0,8.467304800000001e-13,6.932433247395886e-15
0.0,9.0,8.28063153846154e-13,1.1895693634809796e-14
0.0,10.0,8.273562307692308e-13,8.114877454440808e-15
0.0,11.0,8.33067e-13,1.2081359621652383e-14
0.0,12.0,8.062911153846154e-13,9.473823983550776e-15
0.0,13.0,8.011385e-13,1.464870977844387e-14
0.0,14.0,7.6598336e-13,4.939816222330541e-15
0.0,15.0,7.6703344e-13,6.021418610792641e-15
0.0,16.0,7.6103908e-13,9.962640505087003e-15
0.0,17.0,7.745580400000001e-13,1.2818576980242382e-14
0.0,18.0,7.493461200000001e-13,7.460257793508208e-15
0.0,19.0,7.5949116e-13,6.5681355447645884e-15
0.0,20.0,7.604177599999999e-13,9.91456886518017e-15
0.0,21.0,7.5394412e-13,4.558875250058957e-15
0.0,22.0,7.2677392e-13,1.343969036226654e-14
0.0,23.0,6.746515200000001e-13,9.8521918622e-15
0.0,24.0,6.2756408e-13,1.3043240566423665e-14
0.0,25.0,5.756927916666666e-13,5.7358900862549e-15
0.0,26.0,5.490064166666666e-13,1.3108402015872192e-14
0.0,27.0,5.0727828e-13,7.845898049401346e-15
0.0,28.0,4.7143544e-13,1.4763505461996476e-14
0.0,29.0,3.7308251999999996e-13,2.809394068922336e-14
0.0,30.0,3.0870103999999995e-13,1.0949981240093518e-14
1.0,30.0,3.00624375e-13,8.02777550556244e-15
1.0,29.0,3.8625043999999997e-13,2.600995940339777e-14
1.0,28.0,4.572519166666667e-13,1.776511674817784e-14
1.0,27.0,5.340677999999999e-13,6.473279070146748e-15
1.0,26.0,5.697407199999999e-13,1.2343957940693101e-14
1.0,25.0,5.9928604e-13,9.488594557593878e-15
1.0,24.0,6.626080399999999e-13,1.0545574565589106e-14
1.0,23.0,6.928969199999999e-13,1.1209517209657154e-14
1.0,22.0,7.288210800000002e-13,9.455521595004687e-15
1.0,21.0,7.814146800000001e-13,8.538759056068982e-15
1.0,20.0,8.142145200000002e-13,8.031805859805124e-15
1.0,19.0,8.4669164e-13,4.682890362842164e-15
1.0,18.0,8.111109166666667e-13,8.447687084426658e-15
1.0,17.0,8.1163856e-13,4.185210762482582e-15
1.0,16.0,7.883563333333333e-13,1.374718837819413e-14
1.0,15.0,7.6637232e-13,8.102187703182393e-15
1.0,14.0,7.5646588e-13,1.0043907619328257e-14
1.0,13.0,7.7140884e-13,6.079804494751471e-15
1.0,12.0,7.750733333333334e-13,6.1280874168772186e-15
1.0,11.0,7.54767e-13,5.548934730198219e-15
1.0,10.0,8.009701199999999e-13,6.321554665238609e-15
1.0,9.0,7.992995e-13,4.033019237875878e-15
1.0,8.0,8.122241200000001e-13,9.669128843158516e-15
1.0,7.0,8.222697600000001e-13,8.035736517731273e-15
1.0,6.0,8.448629166666667e-13,1.0693326064718539e-14
1.0,5.0,8.370755e-13,6.857097235711327e-15
1.0,4.0,8.202133999999999e-13,5.977505539938883e-15
1.0,3.0,8.372941199999999e-13,5.598301937695035e-15
1.0,2.0,7.888274399999999e-13,1.2008509399854753e-14
1.0,1.0,7.479270800000001e-13,1.4068102686346876e-14
1.0,0.0,7.226422e-13,3.279756856841667e-15
2.0,0.0,7.648982e-13,1.1303672405019528e-14
2.0,1.0,8.039742e-13,8.554379682946046e-15
2.0,2.0,8.34858875e-13,7.484530303190367e-15
2.0,3.0,9.013035833333333e-13,1.3826345145279305e-14
2.0,4.0,8.8562276e-13,4.434430067370559e-15
2.0,5.0,8.994565599999998e-13,8.810499990715616e-15
2.0,6.0,9.239230769230771e-13,6.347791614309502e-15
2.0,7.0,9.196296e-13,6.665512055348786e-15
2.0,8.0,9.43004e-13,4.4968811136163975e-15
2.0,9.0,9.345011666666666e-13,3.521571224452075e-15
2.0,10.0,9.245126071428572e-13,6.5068798005280964e-15
2.0,11.0,9.1679284e-13,1.3132077114242047e-14
2.0,12.0,8.939498e-13,5.42633648790784e-15
2.0,13.0,9.088974583333333e-13,4.576556884266874e-15
2.0,14.0,8.985344399999999e-13,6.804042704627889e-15
2.0,15.0,8.977300000000001e-13,1.7092897540206567e-14
2.0,16.0,8.818361600000001e-13,6.798779988674434e-15
2.0,17.0,8.9237444e-13,5.812400860780329e-15
2.0,18.0,8.998158399999999e-13,4.958619297183433e-15
2.0,19.0,9.2253912e-13,6.335141490574626e-15
2.0,20.0,9.241754e-13,4.483828292876531e-15
2.0,21.0,9.1876216e-13,3.2684982812294603e-15
2.0,22.0,8.428568333333333e-13,1.7194371517705704e-14
2.0,23.0,8.317706250000001e-13,1.4031605847195171e-14
2.0,24.0,7.9610028e-13,7.070696376001445e-15
2.0,25.0,7.5179832e-13,1.6204045168339917e-14
2.0,26.0,7.060137999999999e-13,5.879376184596455e-15
2.0,27.0,6.918070833333333e-13,5.430546342347963e-15
2.0,28.0,6.552439583333332e-13,1.2571412070909031e-14
2.0,29.0,5.60656375e-13,1.335623259572255e-14
2.0,30.0,4.599728333333334e-13,2.4804118049675176e-14
3.0,30.0,5.214359166666667e-13,2.7483458809977367e-14
3.0,29.0,5.774512083333334e-13,1.586779488192769e-14
3.0,28.0,6.11022e-13,8.64676907386027e-15
3.0,27.0,6.6224336e-13,9.769044742982815e-15
3.0,26.0,7.212228799999999e-13,1.3608415908752935e-14
3.0,25.0,7.414280833333333e-13,9.489799268673821e-15
3.0,24.0,7.737565833333334e-13,8.553267620801747e-15
3.0,23.0,7.776838333333334e-13,7.544715323029464e-15
3.0,22.0,8.403834583333334e-13,1.5446259040026397e-14
3.0,21.0,9.2620812e-13,2.499520410049896e-14
3.0,20.0,9.6619175e-13,6.59614315496816e-15
3.0,19.0,9.6871096e-13,8.79057629273528e-15
3.0,18.0,9.544544583333333e-13,1.3061201791882066e-14
3.0,17.0,9.193981304347826e-13,5.989965154172778e-15
3.0,16.0,9.125907083333334e-13,7.202779905929643e-15
3.0,15.0,9.163718750000001e-13,7.381877873732942e-15
3.0,14.0,9.156799583333333e-13,8.804891725054352e-15
3.0,13.0,9.019465416666668e-13,5.654935985337406e-15
3.0,12.0,9.334942500000001e-13,7.886041630892318e-15
3.0,11.0,9.36502e-13,5.606269882907864e-15
3.0,10.0,9.406576249999998e-13,6.187977508931456e-15
3.0,9.0,9.32402e-13,7.149061028088475e-15
3.0,8.0,9.1636025e-13,1.2109179156910953e-14
3.0,7.0,9.004029583333334e-13,7.749089293153344e-15
3.0,6.0,8.88206391304348e-13,8.205966788492227e-15
3.0,5.0,8.888533478260871e-13,1.2300214022912441e-14
3.0,4.0,9.054975652173911e-13,5.355320351933549e-15
3.0,3.0,8.953885416666666e-13,7.873229631580514e-15
3.0,2.0,8.667579583333333e-13,9.402345573841164e-15
3.0,1.0,8.214166521739131e-13,6.486104730473387e-15
3.0,0.0,7.955534166666667e-13,8.099316786601341e-15
4.0,0.0,8.395624347826085e-13,6.505990402337827e-15
4.0,1.0,8.751853913043478e-13,1.279706719709172e-14
4.0,2.0,9.324475217391303e-13,1.2168194292354285e-14
4.0,3.0,9.547664782608695e-13,1.1517878657603003e-14
4.0,4.0,9.589993043478261e-13,1.0248496112091108e-14
4.0,5.0,9.493392608695653e-13,1.1414887027254822e-14
4.0,6.0,9.599111739130434e-13,3.915654275410022e-15
4.0,7.0,9.799398695652175e-13,1.4716372625204102e-14
4.0,8.0,9.70742347826087e-13,9.229484834691449e-15
4.0,9.0,9.70164391304348e-13,6.9327394844984896e-15
4.0,10.0,9.758277826086955e-13,1.2995939231850793e-14
4.0,11.0,9.762875652173914e-13,6.525037663233571e-15
4.0,12.0,9.771511739130433e-13,1.029770893748015e-14
4.0,13.0,9.566095652173914e-13,1.635585908534489e-14
4.0,14.0,9.47344090909091e-13,5.085481231444274e-15
4.0,15.0,9.58678739130435e-13,9.101156162662202e-15
4.0,16.0,9.709952173913042e-13,6.316917609338865e-15
4.0,17.0,9.802127391304349e-13,5.473768785266297e-15
4.0,18.0,9.617939090909091e-13,1.932627320258165e-14
4.0,19.0,9.555115217391305e-13,1.6231169825422373e-14
4.0,20.0,9.43395909090909e-13,9.468227903261478e-15
4.0,21.0,9.253532272727275e-13,8.549963141503852e-15
4.0,22.0,9.063684347826086e-13,2.922994759968838e-14
4.0,23.0,8.504052272727273e-13,1.4975631970066983e-14
4.0,24.0,8.092249545454545e-13,8.290917009690198e-15
4.0,25.0,7.744688260869566e-13,1.0212717092161941e-14
4.0,26.0,7.184292727272727e-13,2.094561959235003e-14
4.0,27.0,6.543022272727273e-13,1.75478086042669e-14
4.0,28.0,6.09481090909091e-13,6.14468169091326e-15
4.0,29.0,5.823133636363637e-13,1.211250107625646e-14
4.0,30.0,5.167813636363637e-13,1.0288271537600716e-14
5.0,30.0,5.159764090909091e-13,7.229911640721806e-15
5.0,29.0,5.725713636363637e-13,8.230366889786618e-15
