Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,21.00000E-006,-499.03400E-015,8.65700E-003
1,1,2,14.00000E-006,-408.12200E-015,178.27100E-003
1,1,3,11.00000E-006,-327.99200E-015,347.69300E-003
1,1,4,12.00000E-006,-256.73800E-015,517.07500E-003
1,1,5,20.00000E-006,-167.42100E-015,739.43800E-003
1,1,6,21.00000E-006,-103.40400E-015,908.86200E-003
1,1,7,12.00000E-006,-47.75800E-015,1.08153E+000
1,1,8,22.00000E-006,13.82700E-015,1.29055E+000
1,1,9,19.00000E-006,59.49400E-015,1.45995E+000
1,1,10,13.00000E-006,97.96700E-015,1.62944E+000
1,1,11,12.00000E-006,147.01500E-015,1.84553E+000
1,1,12,11.00000E-006,187.76500E-015,2.01492E+000
1,1,13,19.00000E-006,212.54700E-015,2.18622E+000
1,1,14,28.00000E-006,248.87100E-015,2.37349E+000
1,1,15,16.00000E-006,268.89000E-015,2.54428E+000
1,1,16,8.00000E-006,292.04800E-015,2.71367E+000
1,1,17,23.00000E-006,313.62700E-015,2.92548E+000
1,1,18,14.00000E-006,338.97200E-015,3.09486E+000
1,1,19,7.00000E-006,354.57100E-015,3.26549E+000
1,1,20,28.00000E-006,360.44300E-015,3.45763E+000
1,1,21,20.00000E-006,370.61000E-015,3.62702E+000
1,1,22,7.00000E-006,382.18300E-015,3.79640E+000
1,1,23,11.00000E-006,403.09500E-015,4.01194E+000
1,1,24,2.00000E-006,412.08700E-015,4.18133E+000
1,1,25,31.00000E-006,428.06000E-015,4.35689E+000
1,1,26,3.00000E-006,435.96900E-015,4.56420E+000
1,1,27,5.00000E-006,438.90000E-015,4.73398E+000
1,1,28,20.00000E-006,448.58200E-015,4.90341E+000
1,1,29,3.00000E-006,465.73400E-015,5.11714E+000
1,1,30,34.00000E-006,466.89300E-015,5.28959E+000
1,1,31,26.00000E-006,468.13200E-015,5.45979E+000
1,1,32,20.00000E-006,476.90600E-015,5.67027E+000
1,1,33,15.00000E-006,491.38900E-015,5.84502E+000
1,1,34,-4.00000E-006,499.91100E-015,6.01586E+000
1,1,35,33.00000E-006,501.93200E-015,6.22334E+000
1,1,36,31.00000E-006,506.63600E-015,6.39275E+000
1,1,37,11.00000E-006,508.48100E-015,6.56217E+000
1,1,38,12.00000E-006,503.72600E-015,6.77875E+000
1,1,39,-5.00000E-006,505.93000E-015,6.94813E+000
1,1,40,10.00000E-006,505.34900E-015,7.11947E+000
1,1,41,-5.00000E-006,507.06700E-015,7.33412E+000
1,1,42,14.00000E-006,510.99000E-015,7.50350E+000
1,1,43,36.00000E-006,510.72700E-015,7.67288E+000
1,1,44,15.00000E-006,513.24200E-015,7.88714E+000
1,1,45,39.00000E-006,512.09500E-015,8.05679E+000
1,1,46,40.00000E-006,513.27400E-015,8.22617E+000
1,1,47,40.00000E-006,506.20800E-015,8.43993E+000
1,1,48,43.00000E-006,504.12500E-015,8.60941E+000
1,1,49,22.00000E-006,503.92200E-015,8.77883E+000
1,1,50,33.00000E-006,500.87500E-015,8.99459E+000
1,1,51,-6.00000E-006,499.68700E-015,9.16930E+000
1,1,52,24.00000E-006,501.23000E-015,9.33868E+000
1,1,53,-10.00000E-006,504.80000E-015,9.54951E+000
1,1,54,-9.00000E-006,513.27300E-015,9.71889E+000
1,1,55,33.00000E-006,519.25400E-015,9.88961E+000
1,1,56,-12.00000E-006,518.72500E-015,10.10243E+000
1,1,57,23.00000E-006,518.10000E-015,10.27258E+000
1,1,58,27.00000E-006,514.92700E-015,10.44622E+000
1,1,59,-1.00000E-006,511.90200E-015,10.65393E+000
1,1,60,30.00000E-006,510.21700E-015,10.82334E+000
