#Scanning from (x0, y0) = (10 mm, 175 mm), to (x1, y1) = (30 mm, 195 mm), linear step (ds) = 1 mm, time step (dt) = 10 s, start time (t0) = 1659503813.820106 s
x-pos,y-pos,time
10.0,175.0,1659503833.5048296
10.0,175.0,1659503843.513592
10.0,176.0,1659503845.3962905
10.0,176.0,1659503855.4025338
10.0,177.0,1659503857.2865427
10.0,177.0,1659503867.2938812
10.0,178.0,1659503869.5075412
10.0,178.0,1659503879.514363
10.0,179.0,1659503881.392032
10.0,179.0,1659503891.403227
10.0,180.0,1659503893.2864325
10.0,180.0,1659503903.2870343
10.0,181.0,1659503905.1594245
10.0,181.0,1659503915.1659517
10.0,182.0,1659503917.040895
10.0,182.0,1659503927.0416372
10.0,183.0,1659503928.913423
10.0,183.0,1659503938.914635
10.0,184.0,1659503941.1045144
10.0,184.0,1659503951.1122372
10.0,185.0,1659503952.985742
10.0,185.0,1659503962.9933963
10.0,186.0,1659503964.8765101
10.0,186.0,1659503974.8830662
10.0,187.0,1659503976.768737
10.0,187.0,1659503986.773963
10.0,188.0,1659503988.6582067
10.0,188.0,1659503998.6639156
10.0,189.0,1659504000.535964
10.0,189.0,1659504010.536797
10.0,190.0,1659504012.4111042
10.0,190.0,1659504022.420779
10.0,191.0,1659504024.2986026
10.0,191.0,1659504034.3035724
10.0,192.0,1659504036.1836133
10.0,192.0,1659504046.1912065
10.0,193.0,1659504048.0684524
10.0,193.0,1659504058.0723524
10.0,194.0,1659504059.9542751
10.0,194.0,1659504069.9609559
10.0,195.0,1659504071.836843
10.0,195.0,1659504081.8400342
11.0,195.0,1659504083.3928907
11.0,195.0,1659504093.4025111
11.0,194.0,1659504095.2719922
11.0,194.0,1659504105.2771182
11.0,193.0,1659504107.158226
11.0,193.0,1659504117.1637957
11.0,192.0,1659504119.0446863
11.0,192.0,1659504129.0459318
11.0,191.0,1659504130.9249904
11.0,191.0,1659504140.932247
11.0,190.0,1659504142.8050091
11.0,190.0,1659504152.8143027
11.0,189.0,1659504154.6932786
11.0,189.0,1659504164.7053783
11.0,188.0,1659504166.5804195
11.0,188.0,1659504176.58332
11.0,187.0,1659504178.4606683
11.0,187.0,1659504188.4627192
11.0,186.0,1659504190.3496797
11.0,186.0,1659504200.3573782
11.0,185.0,1659504202.23156
11.0,185.0,1659504212.236685
11.0,184.0,1659504214.1210697
11.0,184.0,1659504224.1216805
11.0,183.0,1659504225.9925892
11.0,183.0,1659504236.0034757
11.0,182.0,1659504237.8781345
11.0,182.0,1659504247.8874702
11.0,181.0,1659504249.7652538
11.0,181.0,1659504259.7738433
11.0,180.0,1659504261.6578932
11.0,180.0,1659504271.6663363
11.0,179.0,1659504273.5480278
11.0,179.0,1659504283.5482743
11.0,178.0,1659504285.4294615
11.0,178.0,1659504295.4388509
11.0,177.0,1659504297.3137767
11.0,177.0,1659504307.3212373
11.0,176.0,1659504309.1965892
11.0,176.0,1659504319.199972
11.0,175.0,1659504321.0759296
11.0,175.0,1659504331.0761893
12.0,175.0,1659504332.6305263
12.0,175.0,1659504342.6329737
12.0,176.0,1659504344.5117142
12.0,176.0,1659504354.5159645
12.0,177.0,1659504356.390667
12.0,177.0,1659504366.3925755
12.0,178.0,1659504368.2646556
12.0,178.0,1659504378.2659955
12.0,179.0,1659504380.140985
12.0,179.0,1659504390.1486802
12.0,180.0,1659504392.020976
12.0,180.0,1659504402.0267346
12.0,181.0,1659504403.9082198
12.0,181.0,1659504413.9106894
12.0,182.0,1659504415.7960901
12.0,182.0,1659504425.7968447
12.0,183.0,1659504427.669443
12.0,183.0,1659504437.6770875
12.0,184.0,1659504439.560779
12.0,184.0,1659504449.561757
12.0,185.0,1659504451.4427319
12.0,185.0,1659504461.4466338
12.0,186.0,1659504463.3331792
12.0,186.0,1659504473.3413546
12.0,187.0,1659504475.2147155
12.0,187.0,1659504485.2197359
12.0,188.0,1659504487.094831
12.0,188.0,1659504497.100788
