Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659832277.5053914, 55.0, 55.0, 5.0, 10000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_5 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_5 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_5 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
55.0,54.7363,0.02040,5.65894e+01,5.66228e+01,5.66276e+01,5.66428e+01,5.66118e+01,5.66262e+01,5.66310e+01,5.66480e+01,5.66238e+01,5.66422e+01,2.44912e-06,1.89229e-06,1.81179e-06,1.55825e-06,2.07588e-06,1.83607e-06,1.75564e-06,1.47264e-06,1.87611e-06,1.56910e-06,1659832286.001809,1659832286.4640615,1659832286.9267664,1659832287.3893602,1659832287.8524787,1659832288.3158567,1659832288.7830243,1659832289.2456362,1659832289.7081382,1659832290.1708179
55.0,54.7383,0.02040,5.65915e+01,5.66256e+01,5.66292e+01,5.66443e+01,5.66157e+01,5.66020e+01,5.66337e+01,5.66500e+01,5.66254e+01,5.66313e+01,2.44766e-06,1.87929e-06,1.81803e-06,1.56663e-06,2.04398e-06,2.27262e-06,1.74456e-06,1.47233e-06,1.88227e-06,1.78383e-06,1659832292.1867776,1659832292.6494315,1659832293.111907,1659832293.5756736,1659832294.0381904,1659832294.505331,1659832294.9685323,1659832295.4318805,1659832295.8945963,1659832296.3573585
55.0,54.7396,0.02040,5.65907e+01,5.66262e+01,5.66308e+01,5.66454e+01,5.66166e+01,5.66023e+01,5.66348e+01,5.66518e+01,5.66270e+01,5.66327e+01,2.48247e-06,1.89122e-06,1.81441e-06,1.56962e-06,2.04984e-06,2.28883e-06,1.74713e-06,1.46338e-06,1.87658e-06,1.78233e-06,1659832298.3682218,1659832298.830865,1659832299.2957227,1659832299.7600472,1659832300.222718,1659832300.6854258,1659832301.149055,1659832301.6121988,1659832302.0746102,1659832302.5372627
55.0,54.74,0.02040,5.65907e+01,5.66263e+01,5.66304e+01,5.66458e+01,5.66155e+01,5.66047e+01,5.66349e+01,5.66518e+01,5.66269e+01,5.66358e+01,2.48847e-06,1.89552e-06,1.82636e-06,1.57003e-06,2.07594e-06,2.25560e-06,1.75208e-06,1.46972e-06,1.88613e-06,1.73693e-06,1659832304.5487163,1659832305.0120792,1659832305.4747186,1659832305.937258,1659832306.4002633,1659832306.8645787,1659832307.3277555,1659832307.791109,1659832308.2536669,1659832308.716024
55.0,54.7415,0.02040,5.65949e+01,5.66278e+01,5.66324e+01,5.66479e+01,5.66158e+01,5.66057e+01,5.66363e+01,5.66535e+01,5.66289e+01,5.66369e+01,2.44469e-06,1.89616e-06,1.81868e-06,1.56055e-06,2.09503e-06,2.26408e-06,1.75354e-06,1.46698e-06,1.87699e-06,1.74425e-06,1659832310.7271357,1659832311.1896846,1659832311.6521728,1659832312.1149504,1659832312.5776465,1659832313.0399158,1659832313.5033078,1659832313.9659126,1659832314.428929,1659832314.8918877
55.0,54.7413,0.02040,5.65938e+01,5.66281e+01,5.66315e+01,5.66476e+01,5.66163e+01,5.66039e+01,5.66366e+01,5.66531e+01,5.66289e+01,5.66344e+01,2.45821e-06,1.88696e-06,1.83115e-06,1.56199e-06,2.08452e-06,2.29031e-06,1.74507e-06,1.46970e-06,1.87356e-06,1.78250e-06,1659832316.9028018,1659832317.3655243,1659832317.8281713,1659832318.2907777,1659832318.75334,1659832319.2189248,1659832319.6804662,1659832320.14372,1659832320.6062703,1659832321.068238
55.0,54.7422,0.02040,5.65936e+01,5.66281e+01,5.66326e+01,5.66481e+01,5.66168e+01,5.66068e+01,5.66368e+01,5.66547e+01,5.66296e+01,5.66347e+01,2.47802e-06,1.90250e-06,1.82634e-06,1.56916e-06,2.09007e-06,2.25654e-06,1.75692e-06,1.45923e-06,1.87786e-06,1.79274e-06,1659832323.0827491,1659832323.5454686,1659832324.0079508,1659832324.470651,1659832324.9332001,1659832325.3989942,1659832325.8620977,1659832326.3245337,1659832326.787069,1659832327.2499359
55.0,54.7428,0.02040,5.65954e+01,5.66289e+01,5.66328e+01,5.66487e+01,5.66173e+01,5.66103e+01,5.66378e+01,5.66548e+01,5.66298e+01,5.66352e+01,2.45796e-06,1.89833e-06,1.83441e-06,1.56852e-06,2.09275e-06,2.20890e-06,1.75110e-06,1.46628e-06,1.88424e-06,1.79296e-06,1659832329.2702928,1659832329.7324688,1659832330.1959894,1659832330.6585243,1659832331.121208,1659832331.5844831,1659832332.050938,1659832332.5135505,1659832332.9760673,1659832333.4388027
55.0,54.7426,0.02040,5.65956e+01,5.66282e+01,5.66331e+01,5.66485e+01,5.66172e+01,5.66042e+01,5.66372e+01,5.66544e+01,5.66294e+01,5.66353e+01,2.45127e-06,1.90676e-06,1.82481e-06,1.56807e-06,2.09077e-06,2.30664e-06,1.75729e-06,1.47056e-06,1.88749e-06,1.78944e-06,1659832335.4537659,1659832335.9189875,1659832336.3818266,1659832336.844158,1659832337.3077512,1659832337.7705529,1659832338.233586,1659832338.6969075,1659832339.1602867,1659832339.6229382
55.0,54.7434,0.02040,5.65976e+01,5.66298e+01,5.66339e+01,5.66497e+01,5.66186e+01,5.66079e+01,5.66382e+01,5.66551e+01,5.66308e+01,5.66354e+01,2.43111e-06,1.89451e-06,1.82612e-06,1.56155e-06,2.08025e-06,2.25841e-06,1.75359e-06,1.47215e-06,1.87693e-06,1.80077e-06,1659832341.639007,1659832342.1016593,1659832342.5627685,1659832343.0253901,1659832343.4879448,1659832343.9506,1659832344.4133148,1659832344.8766208,1659832345.340096,1659832345.8044863
55.0,54.7438,0.02040,5.65986e+01,5.66305e+01,5.66341e+01,5.66498e+01,5.66208e+01,5.66068e+01,5.66389e+01,5.66565e+01,5.66304e+01,5.66361e+01,2.42117e-06,1.88892e-06,1.82926e-06,1.56733e-06,2.05057e-06,2.28317e-06,1.74937e-06,1.45519e-06,1.89017e-06,1.79563e-06,1659832347.819811,1659832348.2823398,1659832348.7444012,1659832349.207884,1659832349.6706223,1659832350.1333003,1659832350.5965898,1659832351.0593898,1659832351.5259054,1659832351.987999
55.0,54.7439,0.02040,5.65956e+01,5.66300e+01,5.66342e+01,5.66494e+01,5.66180e+01,5.66087e+01,5.66387e+01,5.66553e+01,5.66306e+01,5.66365e+01,2.47164e-06,1.89885e-06,1.82805e-06,1.57528e-06,2.09817e-06,2.25426e-06,1.75312e-06,1.47625e-06,1.88941e-06,1.79063e-06,1659832354.0081673,1659832354.4709206,1659832354.933481,1659832355.3959992,1659832355.8587956,1659832356.3218799,1659832356.7845807,1659832357.2476737,1659832357.71047,1659832358.172612
55.0,54.7446,0.02040,5.66001e+01,5.66301e+01,5.66343e+01,5.66505e+01,5.66198e+01,5.66074e+01,5.66389e+01,5.66561e+01,5.66312e+01,5.66367e+01,2.40955e-06,1.90905e-06,1.83898e-06,1.56841e-06,2.07982e-06,2.28721e-06,1.76294e-06,1.47524e-06,1.89089e-06,1.79953e-06,1659832360.1869972,1659832360.6495266,1659832361.1120932,1659832361.5747204,1659832362.0378494,1659832362.5000193,1659832362.9627235,1659832363.4259524,1659832363.8881044,1659832364.350735
55.0,54.7437,0.02040,5.65957e+01,5.66305e+01,5.66335e+01,5.66490e+01,5.66185e+01,5.66104e+01,5.66382e+01,5.66551e+01,5.66309e+01,5.66361e+01,2.46738e-06,1.88718e-06,1.83761e-06,1.57923e-06,2.08672e-06,2.22271e-06,1.75931e-06,1.47772e-06,1.88081e-06,1.79404e-06,1659832366.3679214,1659832366.8306644,1659832367.2961812,1659832367.759043,1659832368.2215848,1659832368.6839316,1659832369.1467025,1659832369.6093295,1659832370.0725193,1659832370.5357468
55.0,54.7443,0.02040,5.65954e+01,5.66310e+01,5.66345e+01,5.66500e+01,5.66193e+01,5.66073e+01,5.66387e+01,5.66563e+01,5.66309e+01,5.66362e+01,2.48310e-06,1.88962e-06,1.83031e-06,1.57247e-06,2.08428e-06,2.28380e-06,1.75964e-06,1.46751e-06,1.89019e-06,1.80148e-06,1659832372.5508108,1659832373.0134122,1659832373.4759204,1659832373.93988,1659832374.4044235,1659832374.866951,1659832375.3285868,1659832375.796276,1659832376.2588174,1659832376.721467
55.0,54.7442,0.02040,5.65969e+01,5.66309e+01,5.66342e+01,5.66504e+01,5.66189e+01,5.66076e+01,5.66387e+01,5.66555e+01,5.66304e+01,5.66394e+01,2.45523e-06,1.88915e-06,1.83320e-06,1.56307e-06,2.08890e-06,2.27644e-06,1.75917e-06,1.47916e-06,1.89747e-06,1.74708e-06,1659832378.735142,1659832379.1991112,1659832379.6605256,1659832380.1236665,1659832380.5863047,1659832381.0483072,1659832381.5120692,1659832381.9746478,1659832382.4387996,1659832382.90139
55.0,54.7437,0.02040,5.65980e+01,5.66302e+01,5.66341e+01,5.66489e+01,5.66184e+01,5.66067e+01,5.66378e+01,5.66554e+01,5.66305e+01,5.66387e+01,2.42892e-06,1.89259e-06,1.82714e-06,1.58056e-06,2.08932e-06,2.28329e-06,1.76516e-06,1.47259e-06,1.88768e-06,1.75082e-06,1659832384.9192905,1659832385.382095,1659832385.8442543,1659832386.3068595,1659832386.769447,1659832387.2321708,1659832387.6948426,1659832388.1574688,1659832388.6201317,1659832389.082773
55.0,54.7448,0.02040,5.65972e+01,5.66308e+01,5.66347e+01,5.66501e+01,5.66199e+01,5.66085e+01,5.66398e+01,5.66558e+01,5.66316e+01,5.66401e+01,2.46132e-06,1.90033e-06,1.83523e-06,1.57790e-06,2.08245e-06,2.27224e-06,1.75000e-06,1.48328e-06,1.88662e-06,1.74546e-06,1659832391.0927877,1659832391.556209,1659832392.0187614,1659832392.4811842,1659832392.9440272,1659832393.4067008,1659832393.8693786,1659832394.3331428,1659832394.7959783,1659832395.2603757
55.0,54.7449,0.02040,5.65978e+01,5.66310e+01,5.66353e+01,5.66500e+01,5.66198e+01,5.66064e+01,5.66393e+01,5.66565e+01,5.66322e+01,5.66401e+01,2.45162e-06,1.89918e-06,1.82741e-06,1.58237e-06,2.08529e-06,2.30901e-06,1.76002e-06,1.47402e-06,1.87830e-06,1.74767e-06,1659832397.2723927,1659832397.737778,1659832398.2000055,1659832398.6642141,1659832399.1269422,1659832399.5895905,1659832400.0520275,1659832400.5146718,1659832400.9789364,1659832401.4436502
