Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1658993063.4832845, 55.0, 55.0, 1.0, 16000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),TsCH_1 (s),TsCH_2 (s),TsCH_3 (s),TsCH_4 (s),TsCH_5 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s)
55.0,54.7442,0.00630,5.54059e+01,5.61897e+01,5.60675e+01,5.60691e+01,5.66144e+01,5.65718e+01,5.65720e+01,5.65974e+01,5.66220e+01,5.65892e+01,5.66159e+01,2.23113e-05,9.24327e-06,1.12813e-05,1.12539e-05,2.16368e-06,2.87327e-06,2.87107e-06,2.44737e-06,2.03701e-06,2.58361e-06,2.13910e-06,1658993138.5830045,1658993139.0451288,1658993139.5076184,1658993139.97035,1658993140.4336703,1658993140.897062,1658993141.3605323,1658993141.8232174,1658993142.2852316,1658993142.7479146,1658993143.210484
55.0,54.7453,0.00630,5.54069e+01,5.61914e+01,5.60691e+01,5.60700e+01,5.66167e+01,5.65719e+01,5.65675e+01,5.65986e+01,5.66230e+01,5.65908e+01,5.66174e+01,2.23115e-05,9.23479e-06,1.12731e-05,1.12570e-05,2.14392e-06,2.89089e-06,2.96392e-06,2.44572e-06,2.03878e-06,2.57533e-06,2.13248e-06,1658993145.2487059,1658993145.7114332,1658993146.1734328,1658993146.635992,1658993147.0986326,1658993147.5611987,1658993148.0237625,1658993148.4852057,1658993148.949528,1658993149.412188,1658993149.8752172
55.0,54.7456,0.00630,5.54071e+01,5.61913e+01,5.60689e+01,5.60699e+01,5.66156e+01,5.65722e+01,5.65701e+01,5.65999e+01,5.66243e+01,5.65915e+01,5.66168e+01,2.23136e-05,9.24057e-06,1.12806e-05,1.12643e-05,2.16646e-06,2.89034e-06,2.92613e-06,2.42918e-06,2.02177e-06,2.56930e-06,2.14747e-06,1658993151.9081454,1658993152.3703763,1658993152.8338509,1658993153.2971137,1658993153.7645087,1658993154.2294781,1658993154.6920025,1658993155.154633,1658993155.6169958,1658993156.0795465,1658993156.542306
55.0,54.7444,0.00630,5.54060e+01,5.61903e+01,5.60685e+01,5.60691e+01,5.66150e+01,5.65722e+01,5.65673e+01,5.65976e+01,5.66230e+01,5.65904e+01,5.66052e+01,2.23121e-05,9.23773e-06,1.12681e-05,1.12570e-05,2.15691e-06,2.86998e-06,2.95215e-06,2.44673e-06,2.02343e-06,2.56681e-06,2.31983e-06,1658993158.5789273,1658993159.0410748,1658993159.5037684,1658993159.9663858,1658993160.4295719,1658993160.892688,1658993161.35523,1658993161.8175528,1658993162.2810073,1658993162.7436783,1658993163.2062874
55.0,54.7451,0.00630,5.54066e+01,5.61910e+01,5.60684e+01,5.60691e+01,5.66163e+01,5.65732e+01,5.65692e+01,5.65984e+01,5.66237e+01,5.65911e+01,5.66067e+01,2.23132e-05,9.23680e-06,1.12810e-05,1.12695e-05,2.14730e-06,2.86587e-06,2.93192e-06,2.44607e-06,2.02371e-06,2.56670e-06,2.30771e-06,1658993165.2325191,1658993165.6949255,1658993166.1610417,1658993166.623545,1658993167.0862412,1658993167.5493016,1658993168.012008,1658993168.4747603,1658993168.9369822,1658993169.3996162,1658993169.8623364
55.0,54.7448,0.00630,5.54063e+01,5.61908e+01,5.60686e+01,5.60697e+01,5.66152e+01,5.65718e+01,5.65666e+01,5.65976e+01,5.66230e+01,5.65902e+01,5.66024e+01,2.23141e-05,9.23528e-06,1.12723e-05,1.12545e-05,2.16110e-06,2.88477e-06,2.97062e-06,2.45441e-06,2.03102e-06,2.57718e-06,2.37321e-06,1658993171.8848329,1658993172.347433,1658993172.8098345,1658993173.2732446,1658993173.7358847,1658993174.1979237,1658993174.6596267,1658993175.1221282,1658993175.5851085,1658993176.047809,1658993176.5103817
55.0,54.745,0.00630,5.54066e+01,5.61907e+01,5.60689e+01,5.60697e+01,5.66150e+01,5.65694e+01,5.65694e+01,5.65992e+01,5.66228e+01,5.65902e+01,5.66062e+01,2.23118e-05,9.24117e-06,1.12710e-05,1.12572e-05,2.16703e-06,2.92807e-06,2.92706e-06,2.43115e-06,2.03699e-06,2.58051e-06,2.31357e-06,1658993178.5448887,1658993179.008941,1658993179.4715145,1658993179.9341338,1658993180.3970912,1658993180.8597453,1658993181.3222926,1658993181.7861414,1658993182.2491214,1658993182.7117066,1658993183.1744537
55.0,54.7452,0.00630,5.54068e+01,5.61908e+01,5.60690e+01,5.60699e+01,5.66159e+01,5.65703e+01,5.65691e+01,5.65987e+01,5.66238e+01,5.65913e+01,5.66065e+01,2.23117e-05,9.24298e-06,1.12736e-05,1.12575e-05,2.15605e-06,2.91555e-06,2.93502e-06,2.44302e-06,2.02467e-06,2.56527e-06,2.31296e-06,1658993185.2016702,1658993185.6649756,1658993186.1296978,1658993186.5929096,1658993187.0599144,1658993187.5225484,1658993187.985234,1658993188.4477072,1658993188.9103792,1658993189.3747761,1658993189.8371341
55.0,54.7452,0.00630,5.54067e+01,5.61910e+01,5.60682e+01,5.60701e+01,5.66152e+01,5.65719e+01,5.65701e+01,5.65997e+01,5.66231e+01,5.65909e+01,5.66027e+01,2.23133e-05,9.23879e-06,1.12859e-05,1.12538e-05,2.16651e-06,2.88891e-06,2.91940e-06,2.42597e-06,2.03603e-06,2.57281e-06,2.37497e-06,1658993191.8772063,1658993192.3400357,1658993192.8026655,1658993193.2649894,1658993193.7272012,1658993194.1903293,1658993194.6535277,1658993195.116072,1658993195.5787184,1658993196.0408838,1658993196.503546
55.0,54.7458,0.00630,5.54073e+01,5.61918e+01,5.60692e+01,5.60706e+01,5.66162e+01,5.65726e+01,5.65701e+01,5.65996e+01,5.66241e+01,5.65915e+01,5.66069e+01,2.23140e-05,9.23524e-06,1.12797e-05,1.12561e-05,2.16007e-06,2.88751e-06,2.92988e-06,2.43732e-06,2.02871e-06,2.57149e-06,2.31553e-06,1658993198.5324059,1658993198.9949636,1658993199.4571052,1658993199.9198709,1658993200.3824332,1658993200.8457317,1658993201.308936,1658993201.7714634,1658993202.2338402,1658993202.697134,1658993203.1598098
