Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1658993063.4832845, 55.0, 55.0, 1.0, 16000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),TsCH_1 (s),TsCH_2 (s),TsCH_3 (s),TsCH_4 (s),TsCH_5 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s)
55.0,54.7462,0.00630,5.54072e+01,5.61934e+01,5.60677e+01,5.60683e+01,5.64320e+01,5.65657e+01,5.65670e+01,5.65995e+01,5.66183e+01,5.65892e+01,5.66023e+01,2.23222e-05,9.21617e-06,1.13114e-05,1.13010e-05,5.23800e-06,3.00861e-06,2.98666e-06,2.44612e-06,2.13190e-06,2.61681e-06,2.39911e-06,1658996140.7769284,1658996141.2397256,1658996141.7051334,1658996142.1678395,1658996142.630523,1658996143.0960102,1658996143.5588062,1658996144.0211535,1658996144.483824,1658996144.9453118,1658996145.4080226
55.0,54.746,0.00630,5.54070e+01,5.61929e+01,5.60676e+01,5.60683e+01,5.64614e+01,5.65652e+01,5.65704e+01,5.65979e+01,5.66187e+01,5.65903e+01,5.66030e+01,2.23219e-05,9.22030e-06,1.13090e-05,1.12975e-05,4.74374e-06,3.01460e-06,2.92709e-06,2.46873e-06,2.12148e-06,2.59583e-06,2.38342e-06,1658996147.4241235,1658996147.8868012,1658996148.349135,1658996148.8137064,1658996149.2765706,1658996149.7421072,1658996150.2058487,1658996150.6692896,1658996151.1319196,1658996151.594642,1658996152.0572083
55.0,54.746,0.00630,5.54071e+01,5.61928e+01,5.60675e+01,5.60669e+01,5.65274e+01,5.65649e+01,5.65659e+01,5.65982e+01,5.66174e+01,5.65885e+01,5.66062e+01,2.23211e-05,9.22251e-06,1.13106e-05,1.13205e-05,3.64365e-06,3.01854e-06,3.00209e-06,2.46325e-06,2.14364e-06,2.62531e-06,2.33085e-06,1658996154.0958366,1658996154.558114,1658996155.0243127,1658996155.490083,1658996155.9531293,1658996156.4158719,1658996156.8785555,1658996157.3410096,1658996157.803728,1658996158.2662284,1658996158.7294154
55.0,54.7463,0.00630,5.54073e+01,5.61935e+01,5.60670e+01,5.60666e+01,5.65793e+01,5.65667e+01,5.65714e+01,5.65984e+01,5.66165e+01,5.65894e+01,5.66028e+01,2.23226e-05,9.21516e-06,1.13243e-05,1.13309e-05,2.78369e-06,2.99432e-06,2.91503e-06,2.46582e-06,2.16358e-06,2.61552e-06,2.39205e-06,1658996160.7489393,1658996161.2116334,1658996161.6743128,1658996162.1380992,1658996162.6017601,1658996163.0652423,1658996163.5279696,1658996163.9906883,1658996164.4531076,1658996164.9160259,1658996165.378813
55.0,54.7463,0.00630,5.54073e+01,5.61932e+01,5.60667e+01,5.60670e+01,5.65965e+01,5.65652e+01,5.65643e+01,5.65979e+01,5.66138e+01,5.65889e+01,5.66068e+01,2.23220e-05,9.22089e-06,1.13303e-05,1.13237e-05,2.49753e-06,3.01926e-06,3.03405e-06,2.47443e-06,2.20884e-06,2.62467e-06,2.32611e-06,1658996167.4127913,1658996167.8766255,1658996168.3394086,1658996168.8018608,1658996169.264979,1658996169.7277715,1658996170.1925602,1658996170.655314,1658996171.1182945,1658996171.5818174,1658996172.0450354
55.0,54.7464,0.00630,5.54074e+01,5.61937e+01,5.60664e+01,5.60661e+01,5.66029e+01,5.65670e+01,5.65655e+01,5.65959e+01,5.66160e+01,5.65895e+01,5.66028e+01,2.23215e-05,9.21347e-06,1.13367e-05,1.13414e-05,2.39253e-06,2.98999e-06,3.01548e-06,2.50921e-06,2.17393e-06,2.61625e-06,2.39460e-06,1658996174.0800326,1658996174.5427706,1658996175.0050924,1658996175.4678757,1658996175.9307668,1658996176.3930666,1658996176.85747,1658996177.320037,1658996177.7814293,1658996178.2440755,1658996178.7068331
55.0,54.7464,0.00630,5.54074e+01,5.61933e+01,5.60662e+01,5.60655e+01,5.66060e+01,5.65673e+01,5.65700e+01,5.65955e+01,5.66142e+01,5.65891e+01,5.66024e+01,2.23219e-05,9.22004e-06,1.13387e-05,1.13515e-05,2.34049e-06,2.98496e-06,2.94135e-06,2.51589e-06,2.20423e-06,2.62256e-06,2.39996e-06,1658996180.7337985,1658996181.1970305,1658996181.6640625,1658996182.1255496,1658996182.5892081,1658996183.0517359,1658996183.5144327,1658996183.977083,1658996184.4397585,1658996184.9026608,1658996185.3652017
55.0,54.7464,0.00630,5.54075e+01,5.61934e+01,5.60654e+01,5.60655e+01,5.66080e+01,5.65646e+01,5.65643e+01,5.65949e+01,5.66140e+01,5.65887e+01,5.66020e+01,2.23214e-05,9.21932e-06,1.13521e-05,1.13509e-05,2.30699e-06,3.03060e-06,3.03601e-06,2.52566e-06,2.20657e-06,2.62937e-06,2.40753e-06,1658996187.3945248,1658996187.857192,1658996188.3198884,1658996188.7827563,1658996189.2453299,1658996189.707912,1658996190.1706238,1658996190.6332612,1658996191.0972922,1658996191.5599394,1658996192.0249443
55.0,54.7467,0.00630,5.54078e+01,5.61937e+01,5.60668e+01,5.60650e+01,5.66108e+01,5.65729e+01,5.65690e+01,5.65942e+01,5.66158e+01,5.65886e+01,5.66020e+01,2.23198e-05,9.21824e-06,1.13351e-05,1.13646e-05,2.26558e-06,2.89706e-06,2.96280e-06,2.54281e-06,2.18181e-06,2.63511e-06,2.41167e-06,1658996194.048076,1658996194.5107446,1658996194.9731221,1658996195.440101,1658996195.9028118,1658996196.3650913,1658996196.8280082,1658996197.2907956,1658996197.7530985,1658996198.2159708,1658996198.6787212
55.0,54.7459,0.00630,5.54069e+01,5.61931e+01,5.60653e+01,5.60644e+01,5.66105e+01,5.65666e+01,5.65640e+01,5.65928e+01,5.66146e+01,5.65880e+01,5.66044e+01,2.23223e-05,9.21641e-06,1.13459e-05,1.13606e-05,2.25734e-06,2.98871e-06,3.03297e-06,2.55203e-06,2.18901e-06,2.63165e-06,2.35877e-06,1658996200.7218494,1658996201.1851823,1658996201.6477504,1658996202.1136308,1658996202.575611,1658996203.0384846,1658996203.500939,1658996203.9635553,1658996204.4264262,1658996204.8889635,1658996205.3516195
55.0,54.7461,0.00630,5.54071e+01,5.61930e+01,5.60649e+01,5.60631e+01,5.66119e+01,5.65685e+01,5.65684e+01,5.65925e+01,5.66164e+01,5.65875e+01,5.66001e+01,2.23216e-05,9.22064e-06,1.13566e-05,1.13858e-05,2.23788e-06,2.96110e-06,2.96257e-06,2.56127e-06,2.16192e-06,2.64462e-06,2.43318e-06,1658996207.3799808,1658996207.8426511,1658996208.305141,1658996208.7680652,1658996209.2307405,1658996209.6930518,1658996210.1557286,1658996210.6184738,1658996211.08111,1658996211.5437865,1658996212.0070682
55.0,54.7461,0.00630,5.54073e+01,5.61929e+01,5.60658e+01,5.60637e+01,5.66115e+01,5.65675e+01,5.65675e+01,5.65927e+01,5.66161e+01,5.65868e+01,5.66032e+01,2.23194e-05,9.22229e-06,1.13405e-05,1.13769e-05,2.24311e-06,2.97818e-06,2.97746e-06,2.55702e-06,2.16648e-06,2.65500e-06,2.38192e-06,1658996214.0357397,1658996214.4985027,1658996214.9612284,1658996215.4239361,1658996215.886653,1658996216.3493514,1658996216.8120072,1658996217.274858,1658996217.737425,1658996218.20011,1658996218.662795
55.0,54.7466,0.00630,5.54076e+01,5.61938e+01,5.60658e+01,5.60637e+01,5.66129e+01,5.65684e+01,5.65619e+01,5.65918e+01,5.66171e+01,5.65878e+01,5.65993e+01,2.23216e-05,9.21607e-06,1.13501e-05,1.13845e-05,2.22936e-06,2.97091e-06,3.07901e-06,2.58058e-06,2.15940e-06,2.64658e-06,2.45583e-06,1658996220.680949,1658996221.1436763,1658996221.6065557,1658996222.0690854,1658996222.5345101,1658996222.997079,1658996223.4618864,1658996223.9252117,1658996224.3878546,1658996224.85062,1658996225.313114
55.0,54.7462,0.00630,5.54072e+01,5.61933e+01,5.60652e+01,5.60633e+01,5.66128e+01,5.65698e+01,5.65679e+01,5.65893e+01,5.66174e+01,5.65871e+01,5.66023e+01,2.23220e-05,9.21806e-06,1.13530e-05,1.13847e-05,2.22370e-06,2.94059e-06,2.97296e-06,2.61631e-06,2.14756e-06,2.65236e-06,2.39885e-06,1658996227.3374581,1658996227.8008022,1658996228.2634513,1658996228.7255642,1658996229.1886094,1658996229.6533508,1658996230.1151226,1658996230.5772934,1658996231.0399127,1658996231.5048943,1658996231.967584
55.0,54.7458,0.00630,5.54068e+01,5.61931e+01,5.60628e+01,5.60624e+01,5.66117e+01,5.65688e+01,5.65611e+01,5.65900e+01,5.66179e+01,5.65858e+01,5.66110e+01,2.23224e-05,9.21469e-06,1.13860e-05,1.13933e-05,2.23542e-06,2.95001e-06,3.07898e-06,2.59683e-06,2.13137e-06,2.66671e-06,2.24671e-06,1658996233.9918542,1658996234.454629,1658996234.9170904,1658996235.379985,1658996235.8453915,1658996236.3079958,1658996236.7706468,1658996237.23329,1658996237.6948555,1658996238.1571486,1658996238.619831
55.0,54.746,0.00630,5.54070e+01,5.61931e+01,5.60640e+01,5.60628e+01,5.66113e+01,5.65696e+01,5.65612e+01,5.65896e+01,5.66175e+01,5.65856e+01,5.66122e+01,2.23215e-05,9.21737e-06,1.13702e-05,1.13903e-05,2.24569e-06,2.94133e-06,3.08038e-06,2.60794e-06,2.14142e-06,2.67454e-06,2.23126e-06,1658996240.6375172,1658996241.1008635,1658996241.5634837,1658996242.0263357,1658996242.490171,1658996242.9519582,1658996243.414775,1658996243.877253,1658996244.339952,1658996244.802923,1658996245.2651837
55.0,54.7456,0.00630,5.54067e+01,5.61926e+01,5.60633e+01,5.60635e+01,5.66126e+01,5.65677e+01,5.65678e+01,5.65909e+01,5.66173e+01,5.65854e+01,5.66120e+01,2.23213e-05,9.21892e-06,1.13750e-05,1.13715e-05,2.21659e-06,2.96553e-06,2.96444e-06,2.57837e-06,2.13846e-06,2.67067e-06,2.22805e-06,1658996247.3038893,1658996247.7667365,1658996248.229106,1658996248.6919413,1658996249.154697,1658996249.6172109,1658996250.0799131,1658996250.5426214,1658996251.0051076,1658996251.467699,1658996251.9303775
55.0,54.7459,0.00630,5.54070e+01,5.61926e+01,5.60652e+01,5.60637e+01,5.66120e+01,5.65676e+01,5.65682e+01,5.65904e+01,5.66168e+01,5.65860e+01,5.66137e+01,2.23208e-05,9.22327e-06,1.13483e-05,1.13733e-05,2.23275e-06,2.97273e-06,2.96278e-06,2.59250e-06,2.15165e-06,2.66499e-06,2.20364e-06,1658996253.965559,1658996254.428831,1658996254.8915079,1658996255.3544436,1658996255.816977,1658996256.2797027,1658996256.7450924,1658996257.2103486,1658996257.6746333,1658996258.1369762,1658996258.5998733
55.0,54.7456,0.00630,5.54066e+01,5.61926e+01,5.60652e+01,5.60627e+01,5.66117e+01,5.65676e+01,5.65627e+01,5.65916e+01,5.66154e+01,5.65865e+01,5.66135e+01,2.23222e-05,9.21955e-06,1.13435e-05,1.13842e-05,2.23302e-06,2.96714e-06,3.04843e-06,2.56784e-06,2.17115e-06,2.65178e-06,2.20144e-06,1658996260.6300976,1658996261.0930073,1658996261.5559103,1658996262.0184965,1658996262.4809942,1658996262.9426095,1658996263.404943,1658996263.8677175,1658996264.3306043,1658996264.7930033,1658996265.2557466
55.0,54.7462,0.00630,5.54072e+01,5.61934e+01,5.60660e+01,5.60646e+01,5.66116e+01,5.65681e+01,5.65621e+01,5.65927e+01,5.66140e+01,5.65879e+01,5.66008e+01,2.23224e-05,9.21591e-06,1.13399e-05,1.13621e-05,2.24470e-06,2.96893e-06,3.06860e-06,2.55835e-06,2.20319e-06,2.63958e-06,2.42405e-06,1658996267.2851684,1658996267.7478917,1658996268.2105677,1658996268.6732268,1658996269.1389694,1658996269.6014602,1658996270.0641408,1658996270.5269182,1658996270.989154,1658996271.4518518,1658996271.914681
55.0,54.7459,0.00630,5.54070e+01,5.61931e+01,5.60659e+01,5.60634e+01,5.66105e+01,5.65675e+01,5.65636e+01,5.65932e+01,5.66151e+01,5.65879e+01,5.66041e+01,2.23210e-05,9.21491e-06,1.13363e-05,1.13774e-05,2.25740e-06,2.97350e-06,3.03957e-06,2.54481e-06,2.18063e-06,2.63409e-06,2.36394e-06,1658996273.9378996,1658996274.4015665,1658996274.8649445,1658996275.3275766,1658996275.7901719,1658996276.25344,1658996276.7160146,1658996277.178713,1658996277.641051,1658996278.103921,1658996278.5666523
55.0,54.7459,0.00630,5.54069e+01,5.61928e+01,5.60656e+01,5.60642e+01,5.66096e+01,5.65663e+01,5.65682e+01,5.65938e+01,5.66131e+01,5.65881e+01,5.66011e+01,2.23219e-05,9.21983e-06,1.13414e-05,1.13650e-05,2.27249e-06,2.99392e-06,2.96225e-06,2.53598e-06,2.21319e-06,2.63061e-06,2.41311e-06,1658996280.5905983,1658996281.0531347,1658996281.515744,1658996281.978566,1658996282.4445796,1658996282.9085412,1658996283.3735383,1658996283.8369853,1658996284.299689,1658996284.762857,1658996285.2253468
55.0,54.7459,0.00630,5.54070e+01,5.61928e+01,5.60659e+01,5.60654e+01,5.66072e+01,5.65669e+01,5.65662e+01,5.65946e+01,5.66135e+01,5.65881e+01,5.66016e+01,2.23205e-05,9.22049e-06,1.13357e-05,1.13449e-05,2.31245e-06,2.98379e-06,2.99636e-06,2.52240e-06,2.20791e-06,2.63143e-06,2.40535e-06,1658996287.2460978,1658996287.7090523,1658996288.1718225,1658996288.6334167,1658996289.0967486,1658996289.5594225,1658996290.021014,1658996290.4836721,1658996290.9450917,1658996291.4078612,1658996291.8706727
55.0,54.7462,0.00630,5.54071e+01,5.61933e+01,5.60653e+01,5.60660e+01,5.66069e+01,5.65663e+01,5.65651e+01,5.65962e+01,5.66136e+01,5.65884e+01,5.66022e+01,2.23232e-05,9.21757e-06,1.13508e-05,1.13396e-05,2.32145e-06,2.99967e-06,3.01929e-06,2.50013e-06,2.21054e-06,2.63099e-06,2.40046e-06,1658996293.8908355,1658996294.353443,1658996294.8178875,1658996295.2810526,1658996295.7439241,1658996296.2087836,1658996296.671305,1658996297.1333897,1658996297.6020598,1658996298.0650225,1658996298.5295198
55.0,54.7462,0.00630,5.54073e+01,5.61928e+01,5.60667e+01,5.60658e+01,5.66029e+01,5.65725e+01,5.65694e+01,5.65960e+01,5.66126e+01,5.65892e+01,5.66026e+01,2.23213e-05,9.22488e-06,1.13285e-05,1.13428e-05,2.38896e-06,2.89538e-06,2.94665e-06,2.50391e-06,2.22710e-06,2.61680e-06,2.39311e-06,1658996300.5480108,1658996301.0105867,1658996301.4731052,1658996301.935936,1658996302.3990078,1658996302.8616385,1658996303.3247206,1658996303.7873669,1658996304.2489297,1658996304.7111893,1658996305.1726713
55.0,54.7459,0.00630,5.54069e+01,5.61933e+01,5.60659e+01,5.60661e+01,5.66007e+01,5.65644e+01,5.65604e+01,5.65971e+01,5.66136e+01,5.65877e+01,5.66057e+01,2.23224e-05,9.21294e-06,1.13356e-05,1.13329e-05,2.42114e-06,3.02600e-06,3.09298e-06,2.48098e-06,2.20595e-06,2.63703e-06,2.33706e-06,1658996307.1932144,1658996307.6560042,1658996308.1184638,1658996308.5819285,1658996309.0450735,1658996309.50781,1658996309.9705443,1658996310.4330492,1658996310.8958445,1658996311.3585103,1658996311.8211849
55.0,54.7465,0.00630,5.54074e+01,5.61937e+01,5.60677e+01,5.60674e+01,5.65980e+01,5.65652e+01,5.65708e+01,5.65978e+01,5.66162e+01,5.65901e+01,5.66029e+01,2.23236e-05,9.21618e-06,1.13154e-05,1.13204e-05,2.47491e-06,3.02175e-06,2.92961e-06,2.47930e-06,2.17254e-06,2.60686e-06,2.39384e-06,1658996313.8369293,1658996314.2995744,1658996314.7622526,1658996315.2255118,1658996315.692059,1658996316.154763,1658996316.617068,1658996317.079972,1658996317.542721,1658996318.005164,1658996318.472099
55.0,54.7469,0.00630,5.54078e+01,5.61939e+01,5.60676e+01,5.60679e+01,5.65697e+01,5.65660e+01,5.65709e+01,5.65997e+01,5.66166e+01,5.65906e+01,5.66072e+01,2.23232e-05,9.21867e-06,1.13253e-05,1.13188e-05,2.95412e-06,3.01651e-06,2.93438e-06,2.45323e-06,2.17218e-06,2.60593e-06,2.32967e-06,1658996320.499732,1658996320.9613013,1658996321.4239824,1658996321.8865755,1658996322.3490388,1658996322.8118637,1658996323.274595,1658996323.7370036,1658996324.1998868,1658996324.6625466,1658996325.125179
55.0,54.7462,0.00630,5.54071e+01,5.61933e+01,5.60672e+01,5.60685e+01,5.64667e+01,5.65641e+01,5.65707e+01,5.65991e+01,5.66181e+01,5.65900e+01,5.66061e+01,2.23242e-05,9.21803e-06,1.13188e-05,1.12977e-05,4.65957e-06,3.03591e-06,2.92508e-06,2.45307e-06,2.13588e-06,2.60412e-06,2.33601e-06,1658996327.1622078,1658996327.6253743,1658996328.0881703,1658996328.5508177,1658996329.0134256,1658996329.476087,1658996329.9387906,1658996330.4012063,1658996330.863876,1658996331.326611,1658996331.789126
55.0,54.7463,0.00630,5.54073e+01,5.61937e+01,5.60682e+01,5.60700e+01,5.64130e+01,5.65652e+01,5.65706e+01,5.65991e+01,5.66178e+01,5.65902e+01,5.66028e+01,2.23216e-05,9.21169e-06,1.13044e-05,1.12741e-05,5.55647e-06,3.01953e-06,2.92983e-06,2.45423e-06,2.14205e-06,2.60221e-06,2.39243e-06,1658996333.8149776,1658996334.2774518,1658996334.7403016,1658996335.202954,1658996335.665297,1658996336.1318514,1658996336.5936115,1658996337.0566714,1658996337.5192828,1658996337.9809525,1658996338.4436054
55.0,54.7459,0.00630,5.54068e+01,5.61932e+01,5.60682e+01,5.60693e+01,5.63681e+01,5.65638e+01,5.65701e+01,5.65989e+01,5.66188e+01,5.65900e+01,5.66028e+01,2.23243e-05,9.21386e-06,1.12983e-05,1.12788e-05,6.29806e-06,3.03581e-06,2.93018e-06,2.45115e-06,2.11823e-06,2.59878e-06,2.38621e-06,1658996340.47114,1658996340.9402025,1658996341.40285,1658996341.865143,1658996342.3282259,1658996342.790926,1658996343.2532537,1658996343.7161462,1658996344.1808786,1658996344.6436307,1658996345.1050897
55.0,54.7453,0.00630,5.54062e+01,5.61926e+01,5.60681e+01,5.60694e+01,5.63964e+01,5.65633e+01,5.65701e+01,5.65986e+01,5.66199e+01,5.65886e+01,5.66015e+01,2.23234e-05,9.21323e-06,1.12892e-05,1.12685e-05,5.81586e-06,3.03388e-06,2.92116e-06,2.44479e-06,2.08978e-06,2.61158e-06,2.39750e-06,1658996347.12844,1658996347.593496,1658996348.056073,1658996348.518767,1658996348.981114,1658996349.4437797,1658996349.9065945,1658996350.3691297,1658996350.831878,1658996351.2945728,1658996351.7569618
55.0,54.7457,0.00630,5.54066e+01,5.61928e+01,5.60686e+01,5.60695e+01,5.63683e+01,5.65657e+01,5.65672e+01,5.65991e+01,5.66204e+01,5.65898e+01,5.66059e+01,2.23237e-05,9.21665e-06,1.12880e-05,1.12724e-05,6.29177e-06,3.00054e-06,2.97607e-06,2.44446e-06,2.08832e-06,2.59847e-06,2.33083e-06,1658996353.7868345,1658996354.2492504,1658996354.7119508,1658996355.174707,1658996355.6371748,1658996356.1011312,1658996356.5637934,1658996357.02663,1658996357.4894607,1658996357.9520307,1658996358.4158292
55.0,54.7463,0.00630,5.54072e+01,5.61940e+01,5.60688e+01,5.60708e+01,5.64083e+01,5.65649e+01,5.65713e+01,5.65995e+01,5.66220e+01,5.65915e+01,5.66071e+01,2.23244e-05,9.20729e-06,1.12946e-05,1.12610e-05,5.63536e-06,3.02481e-06,2.91660e-06,2.44672e-06,2.07235e-06,2.58062e-06,2.31997e-06,1658996360.441075,1658996360.905484,1658996361.368831,1658996361.8316424,1658996362.2943149,1658996362.75769,1658996363.2207875,1658996363.6850305,1658996364.1476645,1658996364.6132658,1658996365.076131
55.0,54.7458,0.00630,5.54067e+01,5.61931e+01,5.60683e+01,5.60704e+01,5.64541e+01,5.65670e+01,5.65710e+01,5.65994e+01,5.66216e+01,5.65895e+01,5.66055e+01,2.23245e-05,9.21361e-06,1.12938e-05,1.12598e-05,4.86252e-06,2.98139e-06,2.91371e-06,2.44075e-06,2.07036e-06,2.60548e-06,2.33852e-06,1658996367.100872,1658996367.5636752,1658996368.0263655,1658996368.4904761,1658996368.9524424,1658996369.4151454,1658996369.877295,1658996370.3408012,1658996370.8035808,1658996371.2663515,1658996371.7299201
55.0,54.7456,0.00630,5.54066e+01,5.61926e+01,5.60685e+01,5.60707e+01,5.65085e+01,5.65674e+01,5.65718e+01,5.65989e+01,5.66224e+01,5.65900e+01,5.66022e+01,2.23225e-05,9.21956e-06,1.12872e-05,1.12511e-05,3.95302e-06,2.97065e-06,2.89820e-06,2.44559e-06,2.05343e-06,2.59353e-06,2.39095e-06,1658996373.7505019,1658996374.2200084,1658996374.6828027,1658996375.145553,1658996375.6069381,1658996376.06917,1658996376.5335984,1658996376.9971025,1658996377.4597998,1658996377.9225473,1658996378.3850822
55.0,54.7459,0.00630,5.54070e+01,5.61928e+01,5.60688e+01,5.60709e+01,5.65815e+01,5.65691e+01,5.65688e+01,5.65992e+01,5.66228e+01,5.65902e+01,5.66023e+01,2.23211e-05,9.22003e-06,1.12875e-05,1.12522e-05,2.74075e-06,2.94796e-06,2.95258e-06,2.44604e-06,2.05157e-06,2.59487e-06,2.39330e-06,1658996380.4247963,1658996380.889723,1658996381.3546886,1658996381.8171897,1658996382.2807512,1658996382.7435231,1658996383.2078984,1658996383.6731637,1658996384.1357934,1658996384.59882,1658996385.0610163
55.0,54.7461,0.00630,5.54072e+01,5.61928e+01,5.60689e+01,5.60708e+01,5.66013e+01,5.65701e+01,5.65732e+01,5.65997e+01,5.66231e+01,5.65905e+01,5.66027e+01,2.23200e-05,9.22339e-06,1.12897e-05,1.12580e-05,2.41356e-06,2.93417e-06,2.88223e-06,2.44081e-06,2.05050e-06,2.59446e-06,2.39003e-06,1658996387.0976167,1658996387.561042,1658996388.0237348,1658996388.486452,1658996388.9537168,1658996389.417077,1658996389.879726,1658996390.3424888,1658996390.8049974,1658996391.269272,1658996391.7320232
55.0,54.746,0.00630,5.54072e+01,5.61920e+01,5.60683e+01,5.60708e+01,5.66076e+01,5.65700e+01,5.65684e+01,5.65999e+01,5.66226e+01,5.65905e+01,5.66068e+01,2.23194e-05,9.23552e-06,1.12981e-05,1.12561e-05,2.30732e-06,2.93332e-06,2.96004e-06,2.43568e-06,2.05638e-06,2.59196e-06,2.32080e-06,1658996393.7607229,1658996394.2232995,1658996394.6849563,1658996395.1488018,1658996395.6134994,1658996396.0767517,1658996396.5395265,1658996397.0022497,1658996397.4653966,1658996397.9283247,1658996398.3909311
55.0,54.7459,0.00630,5.54080e+01,5.61903e+01,5.60669e+01,5.60681e+01,5.66102e+01,5.65710e+01,5.65730e+01,5.66002e+01,5.66233e+01,5.65909e+01,5.66059e+01,2.23035e-05,9.26164e-06,1.13199e-05,1.12990e-05,2.26167e-06,2.91597e-06,2.88297e-06,2.42946e-06,2.04451e-06,2.58323e-06,2.33360e-06,1658996400.4179466,1658996400.8811066,1658996401.343712,1658996401.8087063,1658996402.2738469,1658996402.7370234,1658996403.1978364,1658996403.9111705,1658996404.37361,1658996404.8366294,1658996405.301693
55.0,54.7457,0.00630,5.54086e+01,5.61879e+01,5.60653e+01,5.60666e+01,5.66110e+01,5.65764e+01,5.65723e+01,5.65988e+01,5.66224e+01,5.65894e+01,5.66030e+01,2.22910e-05,9.29898e-06,1.13431e-05,1.13208e-05,2.24501e-06,2.82261e-06,2.89152e-06,2.44932e-06,2.05509e-06,2.60538e-06,2.37867e-06,1658996407.3129554,1658996407.7784197,1658996408.2410564,1658996408.7037587,1658996409.1665816,1658996409.6291716,1658996410.0919323,1658996410.5547163,1658996411.017157,1658996411.481617,1658996411.9450169
55.0,54.7461,0.00630,5.54099e+01,5.61859e+01,5.60636e+01,5.60651e+01,5.66128e+01,5.65712e+01,5.65698e+01,5.65993e+01,5.66231e+01,5.65911e+01,5.66033e+01,2.22752e-05,9.33874e-06,1.13771e-05,1.13530e-05,2.22251e-06,2.91507e-06,2.93921e-06,2.44706e-06,2.05060e-06,2.58366e-06,2.38081e-06,1658996413.9652104,1658996414.4303696,1658996414.893683,1658996415.3567472,1658996415.8196056,1658996416.2815993,1658996416.7450256,1658996417.2078507,1658996417.6704872,1658996418.1330154,1658996418.5973914
55.0,54.7459,0.00630,5.54098e+01,5.61851e+01,5.60617e+01,5.60634e+01,5.66138e+01,5.65717e+01,5.65683e+01,5.65991e+01,5.66226e+01,5.65907e+01,5.66025e+01,2.22736e-05,9.34897e-06,1.14067e-05,1.13779e-05,2.20145e-06,2.90483e-06,2.96094e-06,2.44719e-06,2.05477e-06,2.58728e-06,2.39005e-06,1658996420.6128035,1658996421.075382,1658996421.537754,1658996422.000774,1658996422.4632897,1658996422.9255931,1658996423.3888395,1658996423.853114,1658996424.3158522,1658996424.7782075,1658996425.240597
55.0,54.7461,0.00630,5.54103e+01,5.61846e+01,5.60614e+01,5.60637e+01,5.66142e+01,5.65725e+01,5.65636e+01,5.66002e+01,5.66235e+01,5.65910e+01,5.66034e+01,2.22691e-05,9.36046e-06,1.14144e-05,1.13758e-05,2.19906e-06,2.89395e-06,3.04194e-06,2.43252e-06,2.04323e-06,2.58604e-06,2.37970e-06,1658996427.2527785,1658996427.7168849,1658996428.1795402,1658996428.6422668,1658996429.1053436,1658996429.5682714,1658996430.0309196,1658996430.4931257,1658996430.955925,1658996431.4187129,1658996431.8812492
55.0,54.7458,0.00630,5.54103e+01,5.61843e+01,5.60623e+01,5.60625e+01,5.66144e+01,5.65726e+01,5.65689e+01,5.65998e+01,5.66226e+01,5.65908e+01,5.66025e+01,2.22645e-05,9.36139e-06,1.13938e-05,1.13907e-05,2.19085e-06,2.88769e-06,2.94839e-06,2.43386e-06,2.05303e-06,2.58378e-06,2.38945e-06,1658996433.8950324,1658996434.3574383,1658996434.8221962,1658996435.2880714,1658996435.7507312,1658996436.213117,1658996436.6758077,1658996437.1407688,1658996437.6049886,1658996438.0676582,1658996438.53065
55.0,54.7461,0.00630,5.54100e+01,5.61858e+01,5.60634e+01,5.60660e+01,5.66154e+01,5.65724e+01,5.65671e+01,5.65989e+01,5.66234e+01,5.65907e+01,5.66028e+01,2.22737e-05,9.34061e-06,1.13818e-05,1.13385e-05,2.17817e-06,2.89595e-06,2.98367e-06,2.45314e-06,2.04633e-06,2.59011e-06,2.38963e-06,1658996440.546069,1658996441.0090096,1658996441.4717128,1658996441.9360151,1658996442.3986819,1658996442.861095,1658996443.325215,1658996443.7878947,1658996444.2509184,1658996444.713129,1658996445.17574
55.0,54.7461,0.00630,5.54090e+01,5.61881e+01,5.60659e+01,5.60669e+01,5.66148e+01,5.65730e+01,5.65649e+01,5.65997e+01,5.66232e+01,5.65909e+01,5.66028e+01,2.22899e-05,9.30151e-06,1.13401e-05,1.13227e-05,2.18919e-06,2.88581e-06,3.02146e-06,2.44001e-06,2.04851e-06,2.58691e-06,2.38840e-06,1658996447.1854317,1658996447.648157,1658996448.113374,1658996448.5769858,1658996449.0397537,1658996449.5025306,1658996449.9652774,1658996450.427976,1658996450.8929539,1658996451.355699,1658996451.8184965
