Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659607998.5577476, 51.0, 51.0, 0.1, 800000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7305,0.00290,5.27300e+01,5.27303e+01,5.27305e+01,5.27301e+01,5.27300e+01,5.27297e+01,5.27302e+01,5.27300e+01,5.27302e+01,5.27302e+01,8.89103e-09,2.98023e-09,8.04663e-10,6.84460e-09,8.67248e-09,1.38084e-08,4.67896e-09,7.68900e-09,4.73857e-09,5.71211e-09,1659608068.916661,1659608069.3797474,1659608069.8439224,1659608070.3063264,1659608070.7686956,1659608071.2318728,1659608071.6956024,1659608072.1581855,1659608072.620298,1659608073.0828722
51.0,50.7298,0.00290,5.27291e+01,5.27296e+01,5.27296e+01,5.27292e+01,5.27294e+01,5.27290e+01,5.27294e+01,5.27294e+01,5.27294e+01,5.27296e+01,1.15931e-08,3.58621e-09,2.87096e-09,1.06394e-08,7.47045e-09,1.31428e-08,6.48697e-09,7.40091e-09,6.00020e-09,2.81135e-09,1659608075.1041446,1659608075.5668216,1659608076.0293262,1659608076.4922278,1659608076.9547408,1659608077.417382,1659608077.879997,1659608078.344131,1659608078.8110795,1659608079.2734535
51.0,50.7297,0.00290,5.27292e+01,5.27295e+01,5.27296e+01,5.27293e+01,5.27293e+01,5.27288e+01,5.27293e+01,5.27292e+01,5.27293e+01,5.27294e+01,8.49366e-09,2.82129e-09,2.32458e-09,7.30157e-09,6.99361e-09,1.48515e-08,6.52671e-09,7.76847e-09,5.98033e-09,5.64257e-09,1659608081.2833185,1659608081.746041,1659608082.214992,1659608082.6775713,1659608083.1400669,1659608083.602483,1659608084.0652463,1659608084.5279243,1659608084.99059,1659608085.4530385
51.0,50.7305,0.00290,5.27299e+01,5.27302e+01,5.27304e+01,5.27301e+01,5.27300e+01,5.27298e+01,5.27302e+01,5.27301e+01,5.27302e+01,5.27302e+01,1.00334e-08,5.76178e-09,8.44399e-10,7.24196e-09,9.10958e-09,1.16328e-08,4.17233e-09,7.09295e-09,5.77172e-09,5.05646e-09,1659608087.472676,1659608087.9360847,1659608088.3985455,1659608088.8609214,1659608089.324047,1659608089.7865517,1659608090.2489216,1659608090.7121384,1659608091.1747198,1659608091.6373112
51.0,50.7305,0.00290,5.27301e+01,5.27303e+01,5.27302e+01,5.27301e+01,5.27301e+01,5.27297e+01,5.27303e+01,5.27301e+01,5.27301e+01,5.27304e+01,6.93401e-09,2.99017e-09,4.42068e-09,6.25849e-09,7.46051e-09,1.28547e-08,3.66569e-09,6.87440e-09,6.43730e-09,1.77821e-09,1659608093.6669397,1659608094.1295633,1659608094.5919666,1659608095.0546887,1659608095.5172443,1659608095.97995,1659608096.4424412,1659608096.9066794,1659608097.3692696,1659608097.8321464
51.0,50.7305,0.00290,5.27299e+01,5.27304e+01,5.27303e+01,5.27301e+01,5.27300e+01,5.27296e+01,5.27302e+01,5.27302e+01,5.27301e+01,5.27302e+01,1.01924e-08,2.25504e-09,3.24845e-09,6.99361e-09,8.27511e-09,1.49210e-08,4.21206e-09,4.56969e-09,7.24196e-09,4.59949e-09,1659608099.8489406,1659608100.3119853,1659608100.77441,1659608101.236582,1659608101.6978114,1659608102.1597698,1659608102.6235757,1659608103.0841699,1659608103.5417416,1659608104.0040724
51.0,50.7295,0.00290,5.27288e+01,5.27294e+01,5.27293e+01,5.27291e+01,5.27291e+01,5.27288e+01,5.27291e+01,5.27291e+01,5.27292e+01,5.27293e+01,1.08679e-08,2.17557e-09,3.63588e-09,7.42078e-09,6.90420e-09,1.13845e-08,7.02341e-09,6.75519e-09,4.75844e-09,3.34779e-09,1659608106.0258963,1659608106.488863,1659608106.9518318,1659608107.414441,1659608107.8767035,1659608108.3398585,1659608108.8035052,1659608109.265975,1659608109.7280881,1659608110.1907647
51.0,50.73,0.00290,5.27295e+01,5.27298e+01,5.27299e+01,5.27295e+01,5.27294e+01,5.27290e+01,5.27297e+01,5.27295e+01,5.27296e+01,5.27297e+01,8.44399e-09,2.55307e-09,1.58946e-09,7.85788e-09,9.26852e-09,1.61926e-08,4.19219e-09,8.59300e-09,6.97374e-09,4.57962e-09,1659608112.2077856,1659608112.6703937,1659608113.136026,1659608113.5985277,1659608114.0612514,1659608114.523955,1659608114.9866424,1659608115.4491172,1659608115.9120097,1659608116.3746736
51.0,50.7305,0.00290,5.27301e+01,5.27303e+01,5.27303e+01,5.27300e+01,5.27300e+01,5.27298e+01,5.27302e+01,5.27300e+01,5.27302e+01,5.27302e+01,6.32803e-09,2.81135e-09,2.78155e-09,9.03010e-09,8.18570e-09,1.22984e-08,5.34455e-09,8.38439e-09,5.80152e-09,5.57303e-09,1659608118.3861349,1659608118.8486743,1659608119.3118427,1659608119.774284,1659608120.2362823,1659608120.699054,1659608121.1616251,1659608121.624051,1659608122.0867622,1659608122.549435
51.0,50.7297,0.00290,5.27291e+01,5.27297e+01,5.27295e+01,5.27293e+01,5.27292e+01,5.27289e+01,5.27294e+01,5.27293e+01,5.27293e+01,5.27294e+01,9.25859e-09,2.18550e-10,2.97030e-09,7.28170e-09,9.06984e-09,1.38779e-08,4.23193e-09,6.43730e-09,5.85119e-09,4.62929e-09,1659608124.5600007,1659608125.0248125,1659608125.4877286,1659608125.9502654,1659608126.4123063,1659608126.8750198,1659608127.3374946,1659608127.8007202,1659608128.2638624,1659608128.7264545
