Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659335203.02864, 51.0, 51.0, 0.1, 40000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7252,0.00420,5.12646e+01,5.13041e+01,5.27243e+01,5.27244e+01,5.27245e+01,5.27244e+01,5.27243e+01,5.27228e+01,5.27244e+01,5.27246e+01,5.27246e+01,5.27244e+01,2.43490e-05,2.36914e-05,1.53283e-08,1.33614e-08,1.23580e-08,1.26362e-08,1.50204e-08,4.05113e-08,1.33018e-08,9.71556e-09,9.73543e-09,1.35799e-08,1659335211.5699646,1659335212.0320184,1659335212.4944782,1659335212.9570389,1659335213.419846,1659335213.8822792,1659335214.3442354,1659335214.806721,1659335215.2680812,1659335215.7305937,1659335216.1932046,1659335216.6560783
51.0,50.7257,0.00420,5.12652e+01,5.13048e+01,5.27248e+01,5.27251e+01,5.27250e+01,5.27250e+01,5.27249e+01,5.27236e+01,5.27249e+01,5.27252e+01,5.27251e+01,5.27248e+01,2.43472e-05,2.36872e-05,1.44045e-08,1.03712e-08,1.12653e-08,1.19706e-08,1.30534e-08,3.49184e-08,1.36296e-08,8.52346e-09,9.63608e-09,1.42852e-08,1659335218.6860287,1659335219.1527452,1659335219.6156974,1659335220.078089,1659335220.5401182,1659335221.0025408,1659335221.465396,1659335221.9281769,1659335222.3906384,1659335222.853285,1659335223.3161757,1659335223.779583
51.0,50.6757,0.00420,5.12153e+01,5.12552e+01,5.26749e+01,5.26752e+01,5.26750e+01,5.26749e+01,5.26749e+01,5.26735e+01,5.26750e+01,5.26751e+01,5.26751e+01,5.26748e+01,2.43469e-05,2.36813e-05,1.38581e-08,8.96056e-09,1.19110e-08,1.29143e-08,1.36892e-08,3.73721e-08,1.13149e-08,9.56655e-09,9.63608e-09,1.49210e-08,1659335225.821088,1659335226.2840297,1659335226.7481225,1659335227.210904,1659335227.6721623,1659335228.1346176,1659335228.597209,1659335229.0600047,1659335229.5223248,1659335229.9845698,1659335230.447134,1659335230.9095209
51.0,50.7273,0.00420,5.12669e+01,5.13071e+01,5.27260e+01,5.27261e+01,5.27265e+01,5.27265e+01,5.27262e+01,5.27253e+01,5.27267e+01,5.27268e+01,5.27265e+01,5.27262e+01,2.43455e-05,2.36764e-05,2.24113e-08,1.96596e-08,1.40170e-08,1.32322e-08,1.80503e-08,3.40641e-08,1.05302e-08,8.35458e-09,1.38680e-08,1.77622e-08,1659335232.9385188,1659335233.400848,1659335233.8638256,1659335234.3262155,1659335234.7882583,1659335235.250824,1659335235.7132957,1659335236.176088,1659335236.638673,1659335237.102959,1659335237.564831,1659335238.026443
51.0,50.7268,0.00420,5.12666e+01,5.13068e+01,5.27174e+01,5.27152e+01,5.27177e+01,5.27210e+01,5.27185e+01,5.27177e+01,5.27204e+01,5.27245e+01,5.27242e+01,5.27242e+01,2.43431e-05,2.36724e-05,1.57366e-07,1.92593e-07,1.52280e-07,9.63211e-08,1.38243e-07,1.51545e-07,1.06364e-07,3.88821e-08,4.36703e-08,4.30743e-08,1659335240.0588632,1659335240.5223293,1659335240.9849148,1659335241.447927,1659335241.910389,1659335242.3737578,1659335242.8357446,1659335243.2981086,1659335243.7604215,1659335244.2230568,1659335244.6855843,1659335245.1480267
51.0,50.7267,0.00420,5.12667e+01,5.13064e+01,5.27139e+01,5.27153e+01,5.27176e+01,5.27134e+01,5.27119e+01,5.27117e+01,5.27160e+01,5.27135e+01,5.27136e+01,5.27149e+01,2.43392e-05,2.36774e-05,2.12749e-07,1.89920e-07,1.51108e-07,2.21044e-07,2.46416e-07,2.49932e-07,1.78456e-07,2.20497e-07,2.18928e-07,1.95911e-07,1659335247.1754756,1659335247.6379623,1659335248.1001782,1659335248.5626605,1659335249.0251386,1659335249.4879634,1659335249.953277,1659335250.4161701,1659335250.8787007,1659335251.341289,1659335251.8043337,1659335252.2668016
51.0,50.7268,0.00420,5.12667e+01,5.13063e+01,5.27193e+01,5.27199e+01,5.27206e+01,5.27156e+01,5.27155e+01,5.27125e+01,5.27140e+01,5.27176e+01,5.27156e+01,5.27116e+01,2.43415e-05,2.36805e-05,1.24713e-07,1.15544e-07,1.03782e-07,1.86682e-07,1.88847e-07,2.38488e-07,2.13524e-07,1.53661e-07,1.85947e-07,2.54055e-07,1659335254.3059416,1659335254.7681384,1659335255.2305918,1659335255.6931472,1659335256.1561143,1659335256.618592,1659335257.0811431,1659335257.5440974,1659335258.0064757,1659335258.4694314,1659335258.9322202,1659335259.3947127
51.0,50.7272,0.00420,5.12669e+01,5.13067e+01,5.27200e+01,5.27193e+01,5.27183e+01,5.27191e+01,5.27172e+01,5.27153e+01,5.27157e+01,5.27228e+01,5.27208e+01,5.27184e+01,2.43437e-05,2.36804e-05,1.19686e-07,1.32521e-07,1.49200e-07,1.34925e-07,1.66843e-07,1.98066e-07,1.92116e-07,7.29561e-08,1.06136e-07,1.46796e-07,1659335261.4237504,1659335261.8863127,1659335262.3482091,1659335262.8107646,1659335263.2733386,1659335263.736343,1659335264.1987774,1659335264.664252,1659335265.1285145,1659335265.5908968,1659335266.0534117,1659335266.517043
51.0,50.7272,0.00420,5.12670e+01,5.13067e+01,5.27223e+01,5.27191e+01,5.27172e+01,5.27197e+01,5.27175e+01,5.27151e+01,5.27149e+01,5.27230e+01,5.27208e+01,5.27187e+01,2.43434e-05,2.36807e-05,8.14696e-08,1.35521e-07,1.66635e-07,1.25786e-07,1.60952e-07,2.02288e-07,2.05765e-07,7.07706e-08,1.07338e-07,1.42097e-07,1659335268.5465844,1659335269.0087976,1659335269.4718246,1659335269.9343233,1659335270.3963435,1659335270.8588665,1659335271.321894,1659335271.7842202,1659335272.246964,1659335272.7094777,1659335273.1729474,1659335273.6360211
51.0,50.7274,0.00420,5.12673e+01,5.13070e+01,5.27222e+01,5.27193e+01,5.27180e+01,5.27193e+01,5.27178e+01,5.27158e+01,5.27156e+01,5.27226e+01,5.27213e+01,5.27196e+01,2.43416e-05,2.36797e-05,8.64764e-08,1.34408e-07,1.56790e-07,1.34965e-07,1.59482e-07,1.92702e-07,1.96874e-07,8.03868e-08,1.01854e-07,1.30226e-07,1659335275.6589832,1659335276.12144,1659335276.584699,1659335277.052123,1659335277.5144815,1659335277.976813,1659335278.4397461,1659335278.9039967,1659335279.366425,1659335279.8288803,1659335280.29189,1659335280.7542696
51.0,50.7277,0.00420,5.12677e+01,5.13076e+01,5.27226e+01,5.27199e+01,5.27183e+01,5.27198e+01,5.27173e+01,5.27164e+01,5.27153e+01,5.27232e+01,5.27207e+01,5.27198e+01,2.43391e-05,2.36745e-05,8.50856e-08,1.30147e-07,1.56164e-07,1.31706e-07,1.73132e-07,1.87884e-07,2.06202e-07,7.49826e-08,1.16169e-07,1.32263e-07,1659335282.7722876,1659335283.2346964,1659335283.697203,1659335284.1599367,1659335284.6238906,1659335285.0864906,1659335285.5488126,1659335286.0123043,1659335286.476407,1659335286.9406967,1659335287.406999,1659335287.869415
51.0,50.7275,0.00420,5.12674e+01,5.13072e+01,5.27226e+01,5.27187e+01,5.27183e+01,5.27205e+01,5.27174e+01,5.27151e+01,5.27169e+01,5.27230e+01,5.27209e+01,5.27197e+01,2.43414e-05,2.36773e-05,8.20160e-08,1.47204e-07,1.53542e-07,1.16160e-07,1.67966e-07,2.07225e-07,1.77344e-07,7.48535e-08,1.10735e-07,1.30524e-07,1659335289.894999,1659335290.3603425,1659335290.8229966,1659335291.285433,1659335291.7485907,1659335292.2110057,1659335292.6735198,1659335293.1368337,1659335293.5997953,1659335294.0622525,1659335294.5245872,1659335294.9891996
51.0,50.7281,0.00420,5.12680e+01,5.13078e+01,5.27218e+01,5.27185e+01,5.27169e+01,5.27199e+01,5.27195e+01,5.27177e+01,5.27181e+01,5.27240e+01,5.27209e+01,5.27203e+01,2.43410e-05,2.36780e-05,1.05798e-07,1.60307e-07,1.86274e-07,1.36395e-07,1.43866e-07,1.73181e-07,1.66704e-07,6.87341e-08,1.19974e-07,1.29282e-07,1659335297.0026214,1659335297.465438,1659335297.9285252,1659335298.393637,1659335298.855796,1659335299.3182776,1659335299.7851014,1659335300.2480693,1659335300.7105074,1659335301.1730757,1659335301.6359477,1659335302.0984612
