Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659346483.9620824, 51.0, 51.0, 0.1, 250000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7289,0.00240,5.12697e+01,5.13103e+01,5.27283e+01,5.27284e+01,5.27284e+01,5.27286e+01,5.27284e+01,5.27270e+01,5.27283e+01,5.27286e+01,5.27286e+01,5.27283e+01,2.43254e-05,2.36491e-05,1.05798e-08,8.67248e-09,8.31485e-09,5.23527e-09,7.57972e-09,3.17991e-08,9.18905e-09,4.82798e-09,4.98692e-09,9.17912e-09,1659346492.4669266,1659346492.9316792,1659346493.394129,1659346493.8564744,1659346494.3197365,1659346494.7840414,1659346495.2468197,1659346495.7093232,1659346496.172715,1659346496.635929,1659346497.0999002,1659346497.5651844
51.0,50.7299,0.00240,5.12710e+01,5.13114e+01,5.27294e+01,5.27294e+01,5.27292e+01,5.27298e+01,5.27294e+01,5.27283e+01,5.27293e+01,5.27297e+01,5.27295e+01,5.27294e+01,2.43219e-05,2.36470e-05,7.53005e-09,7.52012e-09,1.22388e-08,1.95702e-09,8.70228e-09,2.62658e-08,9.61622e-09,3.45707e-09,6.41743e-09,8.22544e-09,1659346499.5781825,1659346500.0406964,1659346500.5052319,1659346500.9709876,1659346501.43572,1659346501.8996875,1659346502.3624194,1659346502.824753,1659346503.2860224,1659346503.74533,1659346504.2081823,1659346504.670641
51.0,50.7295,0.00240,5.12706e+01,5.13111e+01,5.27292e+01,5.27287e+01,5.27290e+01,5.27264e+01,5.27258e+01,5.27247e+01,5.27199e+01,5.27263e+01,5.27265e+01,5.27251e+01,2.43208e-05,2.36457e-05,5.45382e-09,1.27554e-08,7.89762e-09,5.11309e-08,6.14226e-08,8.02179e-08,1.59532e-07,5.38329e-08,5.06639e-08,7.30058e-08,1659346506.693829,1659346507.156152,1659346507.6197348,1659346508.0821605,1659346508.5441484,1659346509.0068393,1659346509.46926,1659346509.9321275,1659346510.3948314,1659346510.857464,1659346511.3199286,1659346511.7844868
51.0,50.7313,0.00240,5.12724e+01,5.13133e+01,5.27277e+01,5.27260e+01,5.27223e+01,5.27272e+01,5.27255e+01,5.27257e+01,5.27201e+01,5.27255e+01,5.27269e+01,5.27194e+01,2.43209e-05,2.36401e-05,6.04093e-08,8.77480e-08,1.50422e-07,6.87738e-08,9.63310e-08,9.32018e-08,1.86056e-07,9.64006e-08,7.38005e-08,1.98762e-07,1659346513.8085074,1659346514.2716331,1659346514.735604,1659346515.198058,1659346515.6599948,1659346516.122723,1659346516.5857527,1659346517.0483472,1659346517.5108922,1659346517.9740572,1659346518.4366224,1659346518.8998659
51.0,50.7302,0.00240,5.12712e+01,5.13117e+01,5.27258e+01,5.27211e+01,5.27199e+01,5.27260e+01,5.27218e+01,5.27178e+01,5.27220e+01,5.27241e+01,5.27230e+01,5.27254e+01,2.43220e-05,2.36473e-05,7.29859e-08,1.52429e-07,1.71691e-07,7.04626e-08,1.40061e-07,2.06470e-07,1.36077e-07,1.01219e-07,1.19348e-07,8.05159e-08,1659346520.910179,1659346521.372199,1659346521.8347507,1659346522.297421,1659346522.7606099,1659346523.2237792,1659346523.6876314,1659346524.1501334,1659346524.612136,1659346525.0748856,1659346525.539724,1659346526.0021987
51.0,50.7309,0.00240,5.12720e+01,5.13127e+01,5.27284e+01,5.27237e+01,5.27225e+01,5.27244e+01,5.27216e+01,5.27219e+01,5.27261e+01,5.27236e+01,5.27244e+01,5.27251e+01,2.43219e-05,2.36420e-05,4.15444e-08,1.20501e-07,1.40260e-07,1.09126e-07,1.55061e-07,1.50502e-07,8.00093e-08,1.21156e-07,1.08163e-07,9.60430e-08,1659346528.020869,1659346528.4843001,1659346528.9468317,1659346529.4093919,1659346529.8729224,1659346530.3358476,1659346530.7984662,1659346531.2613537,1659346531.72438,1659346532.1868374,1659346532.6495204,1659346533.1127803
51.0,50.7305,0.00240,5.12717e+01,5.13123e+01,5.27219e+01,5.27197e+01,5.27201e+01,5.27242e+01,5.27255e+01,5.27216e+01,5.27208e+01,5.27235e+01,5.27238e+01,5.27218e+01,2.43198e-05,2.36431e-05,1.42862e-07,1.79728e-07,1.74085e-07,1.05540e-07,8.34664e-08,1.47820e-07,1.62333e-07,1.17511e-07,1.11113e-07,1.45356e-07,1659346535.129391,1659346535.600196,1659346536.062785,1659346536.5252361,1659346536.9879322,1659346537.4506316,1659346537.913242,1659346538.3760395,1659346538.8385422,1659346539.2999458,1659346539.7625268,1659346540.225081
51.0,50.7299,0.00240,5.12713e+01,5.13123e+01,5.27194e+01,5.27182e+01,5.27164e+01,5.27246e+01,5.27225e+01,5.27209e+01,5.27181e+01,5.27220e+01,5.27233e+01,5.27220e+01,2.43166e-05,2.36333e-05,1.74214e-07,1.94440e-07,2.25723e-07,8.81950e-08,1.23332e-07,1.50800e-07,1.97172e-07,1.31279e-07,1.09563e-07,1.31130e-07,1659346542.2617397,1659346542.7240148,1659346543.18655,1659346543.6491768,1659346544.111874,1659346544.573785,1659346545.0362663,1659346545.498873,1659346545.9614387,1659346546.4240546,1659346546.8864937,1659346547.3488884
51.0,50.7308,0.00240,5.12721e+01,5.13129e+01,5.27204e+01,5.27184e+01,5.27161e+01,5.27265e+01,5.27240e+01,5.27203e+01,5.27187e+01,5.27240e+01,5.27242e+01,5.27221e+01,2.43171e-05,2.36377e-05,1.73797e-07,2.06848e-07,2.44747e-07,7.22210e-08,1.13904e-07,1.74781e-07,2.02248e-07,1.13169e-07,1.09722e-07,1.44690e-07,1659346549.3723254,1659346549.8349078,1659346550.2997181,1659346550.7623973,1659346551.224506,1659346551.6879396,1659346552.150673,1659346552.6133542,1659346553.076366,1659346553.5389273,1659346554.0015254,1659346554.4640138
51.0,50.7305,0.00240,5.12719e+01,5.13128e+01,5.27207e+01,5.27192e+01,5.27156e+01,5.27257e+01,5.27241e+01,5.27210e+01,5.27172e+01,5.27237e+01,5.27241e+01,5.27215e+01,2.43156e-05,2.36347e-05,1.63426e-07,1.89056e-07,2.48532e-07,7.97411e-08,1.06225e-07,1.57793e-07,2.21322e-07,1.13318e-07,1.07239e-07,1.49349e-07,1659346556.5013478,1659346556.9646347,1659346557.4280245,1659346557.8905787,1659346558.353115,1659346558.8160653,1659346559.278642,1659346559.7412949,1659346560.2043514,1659346560.6686146,1659346561.1319308,1659346561.5946333
