Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659510796.9714036, 51.0, 51.0, 0.1, 800000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7285,0.00320,5.12700e+01,5.13108e+01,5.27280e+01,5.27279e+01,5.27281e+01,5.27281e+01,5.27279e+01,5.27268e+01,5.27280e+01,5.27280e+01,5.27280e+01,5.27277e+01,2.43143e-05,2.36336e-05,8.89103e-09,1.02719e-08,6.92407e-09,7.18236e-09,9.86457e-09,2.87890e-08,8.77182e-09,7.79827e-09,7.92742e-09,1.30335e-08,1659510876.7358632,1659510877.1983714,1659510877.6603239,1659510878.1227562,1659510878.5853045,1659510879.0521717,1659510879.5146017,1659510879.9772317,1659510880.440051,1659510880.9044225,1659510881.3668902,1659510881.8282156
51.0,50.7296,0.00320,5.12712e+01,5.13119e+01,5.27290e+01,5.27290e+01,5.27291e+01,5.27292e+01,5.27288e+01,5.27280e+01,5.27291e+01,5.27291e+01,5.27291e+01,5.27289e+01,2.43122e-05,2.36351e-05,1.05202e-08,1.07189e-08,7.69893e-09,6.42737e-09,1.36793e-08,2.67923e-08,7.77841e-09,7.70887e-09,7.91748e-09,1.09772e-08,1659510883.8607333,1659510884.3236282,1659510884.786206,1659510885.248197,1659510885.712582,1659510886.1752625,1659510886.6377053,1659510887.1000042,1659510887.5624766,1659510888.0254545,1659510888.4867406,1659510888.9492075
51.0,50.7291,0.00320,5.12707e+01,5.13115e+01,5.27287e+01,5.27286e+01,5.27285e+01,5.27286e+01,5.27285e+01,5.27274e+01,5.27285e+01,5.27287e+01,5.27287e+01,5.27284e+01,2.43133e-05,2.36320e-05,7.25190e-09,9.09964e-09,1.07586e-08,7.98702e-09,1.06692e-08,2.78354e-08,1.04209e-08,6.09954e-09,6.35783e-09,1.21891e-08,1659510890.9788694,1659510891.4412656,1659510891.9041243,1659510892.3667424,1659510892.829217,1659510893.2919726,1659510893.7544346,1659510894.2163713,1659510894.6790488,1659510895.1417265,1659510895.6040325,1659510896.0665643
51.0,50.7304,0.00320,5.12719e+01,5.13128e+01,5.27298e+01,5.27298e+01,5.27300e+01,5.27299e+01,5.27298e+01,5.27288e+01,5.27299e+01,5.27301e+01,5.27299e+01,5.27296e+01,2.43150e-05,2.36332e-05,1.05302e-08,9.80496e-09,6.72539e-09,8.95063e-09,9.38773e-09,2.63949e-08,7.67907e-09,5.46376e-09,8.63274e-09,1.39773e-08,1659510898.1053536,1659510898.568046,1659510899.0306022,1659510899.4929273,1659510899.9561172,1659510900.4186773,1659510900.8811631,1659510901.3440976,1659510901.8083022,1659510902.2677205,1659510902.7326467,1659510903.1942785
51.0,50.7293,0.00320,5.12708e+01,5.13119e+01,5.27288e+01,5.27288e+01,5.27287e+01,5.27289e+01,5.27287e+01,5.27276e+01,5.27288e+01,5.27288e+01,5.27288e+01,5.27287e+01,2.43147e-05,2.36286e-05,8.51353e-09,8.35458e-09,1.03215e-08,6.31809e-09,9.83477e-09,2.75771e-08,8.37445e-09,8.10623e-09,8.18570e-09,9.85463e-09,1659510905.1998265,1659510905.6636045,1659510906.1260808,1659510906.5883045,1659510907.050904,1659510907.5135677,1659510907.9759047,1659510908.4383063,1659510908.9003704,1659510909.3627844,1659510909.8252053,1659510910.287955
51.0,50.7292,0.00320,5.12706e+01,5.13113e+01,5.27286e+01,5.27288e+01,5.27286e+01,5.27288e+01,5.27286e+01,5.27275e+01,5.27288e+01,5.27286e+01,5.27286e+01,5.27287e+01,2.43168e-05,2.36381e-05,9.96391e-09,6.06974e-09,9.87450e-09,7.08302e-09,9.42747e-09,2.80738e-08,6.27836e-09,9.48707e-09,1.03116e-08,8.53340e-09,1659510912.3002849,1659510912.7628195,1659510913.2253737,1659510913.689083,1659510914.15188,1659510914.6143863,1659510915.0762694,1659510915.540672,1659510916.0035884,1659510916.465791,1659510916.9310694,1659510917.3934932
51.0,50.7302,0.00320,5.12717e+01,5.13125e+01,5.27298e+01,5.27298e+01,5.27298e+01,5.27298e+01,5.27296e+01,5.27284e+01,5.27298e+01,5.27299e+01,5.27297e+01,5.27295e+01,2.43146e-05,2.36341e-05,7.21216e-09,7.45058e-09,7.24196e-09,6.11941e-09,1.06692e-08,2.92957e-08,6.64592e-09,5.70218e-09,8.67248e-09,1.13050e-08,1659510919.4065776,1659510919.8690941,1659510920.331774,1659510920.7944043,1659510921.256877,1659510921.7196567,1659510922.1835356,1659510922.6460273,1659510923.108251,1659510923.5707707,1659510924.0320299,1659510924.4943717
51.0,50.7294,0.00320,5.12709e+01,5.13115e+01,5.27289e+01,5.27289e+01,5.27289e+01,5.27290e+01,5.27287e+01,5.27278e+01,5.27289e+01,5.27289e+01,5.27290e+01,5.27287e+01,2.43150e-05,2.36373e-05,8.04663e-09,8.72215e-09,7.74860e-09,6.34789e-09,1.20997e-08,2.70406e-08,8.23538e-09,8.38439e-09,6.95388e-09,1.22190e-08,1659510926.510667,1659510926.9732563,1659510927.4359238,1659510927.8983479,1659510928.360803,1659510928.823639,1659510929.286041,1659510929.7483063,1659510930.2107377,1659510930.673144,1659510931.1361835,1659510931.5986874
51.0,50.7302,0.00320,5.12716e+01,5.13123e+01,5.27297e+01,5.27298e+01,5.27297e+01,5.27298e+01,5.27296e+01,5.27284e+01,5.27297e+01,5.27297e+01,5.27297e+01,5.27295e+01,2.43165e-05,2.36376e-05,8.82149e-09,7.33137e-09,7.70887e-09,6.78500e-09,9.95398e-09,3.03984e-08,8.30491e-09,8.97050e-09,8.07643e-09,1.21991e-08,1659510933.618014,1659510934.0802379,1659510934.5425959,1659510935.0037806,1659510935.4661753,1659510935.9283729,1659510936.3908377,1659510936.85581,1659510937.318522,1659510937.7836392,1659510938.2469323,1659510938.7098656
51.0,50.7298,0.00320,5.12712e+01,5.13118e+01,5.27293e+01,5.27293e+01,5.27293e+01,5.27292e+01,5.27291e+01,5.27281e+01,5.27293e+01,5.27296e+01,5.27293e+01,5.27291e+01,2.43169e-05,2.36393e-05,8.94070e-09,7.99696e-09,7.60953e-09,9.16918e-09,1.22289e-08,2.80937e-08,7.90755e-09,3.88424e-09,8.27511e-09,1.17918e-08,1659510940.7347274,1659510941.1971943,1659510941.6600606,1659510942.122578,1659510942.5856733,1659510943.0483525,1659510943.511068,1659510943.973625,1659510944.4360006,1659510944.8985186,1659510945.360949,1659510945.8237004
