Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659343754.9162424, 51.0, 51.0, 0.1, 9000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7297,0.00330,5.12705e+01,5.13110e+01,5.27292e+01,5.27292e+01,5.27292e+01,5.27293e+01,5.27292e+01,5.27284e+01,5.27293e+01,5.27293e+01,5.27291e+01,5.27291e+01,2.43255e-05,2.36508e-05,7.92742e-09,7.98702e-09,8.45393e-09,6.00020e-09,8.63274e-09,2.21431e-08,6.44724e-09,6.53664e-09,1.05699e-08,1.02321e-08,1659343763.4265327,1659343763.8889122,1659343764.3520517,1659343764.814435,1659343765.276762,1659343765.7397118,1659343766.20341,1659343766.6675575,1659343767.1293333,1659343767.5920968,1659343768.0548422,1659343768.5173192
51.0,50.729,0.00330,5.12701e+01,5.13106e+01,5.27286e+01,5.27286e+01,5.27285e+01,5.27287e+01,5.27286e+01,5.27275e+01,5.27285e+01,5.27286e+01,5.27287e+01,5.27285e+01,2.43217e-05,2.36456e-05,7.46051e-09,6.82473e-09,7.94729e-09,5.51343e-09,6.21875e-09,2.53518e-08,8.18570e-09,5.91079e-09,4.62929e-09,8.93076e-09,1659343770.541916,1659343771.0042913,1659343771.4668636,1659343771.9292636,1659343772.3918598,1659343772.854347,1659343773.316767,1659343773.7796314,1659343774.2423706,1659343774.7042747,1659343775.1667926,1659343775.6294882
51.0,50.7302,0.00330,5.12712e+01,5.13118e+01,5.27297e+01,5.27297e+01,5.27298e+01,5.27300e+01,5.27299e+01,5.27287e+01,5.27297e+01,5.27299e+01,5.27298e+01,5.27296e+01,2.43225e-05,2.36460e-05,8.00689e-09,8.19564e-09,7.28170e-09,3.31799e-09,4.97699e-09,2.46465e-08,7.55986e-09,5.21541e-09,7.12276e-09,1.04606e-08,1659343777.6678386,1659343778.1325643,1659343778.5952585,1659343779.0576801,1659343779.520046,1659343779.982572,1659343780.4451249,1659343780.9079888,1659343781.3705506,1659343781.8331928,1659343782.295989,1659343782.7597117
51.0,50.7291,0.00330,5.12702e+01,5.13109e+01,5.27288e+01,5.27289e+01,5.27287e+01,5.27287e+01,5.27287e+01,5.27277e+01,5.27287e+01,5.27289e+01,5.27286e+01,5.27285e+01,2.43213e-05,2.36429e-05,4.70877e-09,3.60608e-09,6.90420e-09,6.93401e-09,5.91079e-09,2.35935e-08,7.19229e-09,4.12265e-09,7.55986e-09,1.05500e-08,1659343784.7921152,1659343785.254633,1659343785.717793,1659343786.180248,1659343786.64264,1659343787.1039522,1659343787.5666504,1659343788.029237,1659343788.492119,1659343788.9546697,1659343789.417325,1659343789.88124
51.0,50.7301,0.00330,5.12711e+01,5.13119e+01,5.27297e+01,5.27297e+01,5.27298e+01,5.27297e+01,5.27296e+01,5.27288e+01,5.27297e+01,5.27298e+01,5.27296e+01,5.27295e+01,2.43221e-05,2.36427e-05,7.45058e-09,5.91079e-09,4.80811e-09,6.53664e-09,7.97709e-09,2.24809e-08,6.60618e-09,5.41409e-09,7.99696e-09,1.06891e-08,1659343791.9150157,1659343792.3780873,1659343792.8404171,1659343793.3028042,1659343793.7660325,1659343794.2281075,1659343794.6905,1659343795.1531703,1659343795.6159968,1659343796.0812092,1659343796.5440888,1659343797.0067677
51.0,50.7304,0.00330,5.12716e+01,5.13120e+01,5.27300e+01,5.27300e+01,5.27301e+01,5.27302e+01,5.27299e+01,5.27287e+01,5.27299e+01,5.27302e+01,5.27301e+01,5.27298e+01,2.43197e-05,2.36466e-05,6.90420e-09,7.01348e-09,4.93725e-09,3.21865e-09,7.91748e-09,2.77559e-08,8.55327e-09,3.51667e-09,4.81804e-09,9.80496e-09,1659343799.0247889,1659343799.487992,1659343799.9507358,1659343800.413157,1659343800.876137,1659343801.3387213,1659343801.8014462,1659343802.2616909,1659343802.724236,1659343803.1848626,1659343803.897983,1659343804.3604777
51.0,50.7311,0.00330,5.12722e+01,5.13128e+01,5.27307e+01,5.27296e+01,5.27267e+01,5.27304e+01,5.27287e+01,5.27241e+01,5.27211e+01,5.27265e+01,5.27220e+01,5.27252e+01,2.43214e-05,2.36437e-05,6.99361e-09,2.42094e-08,7.35521e-08,1.09176e-08,4.03523e-08,1.17352e-07,1.65949e-07,7.62145e-08,1.51743e-07,9.87351e-08,1659343806.3718827,1659343806.836358,1659343807.300105,1659343807.7625644,1659343808.2253695,1659343808.6885564,1659343809.1516542,1659343809.614154,1659343810.0763266,1659343810.540498,1659343811.0028796,1659343811.4640903
51.0,50.7304,0.00330,5.12717e+01,5.13122e+01,5.27273e+01,5.27221e+01,5.27219e+01,5.27225e+01,5.27199e+01,5.27230e+01,5.27256e+01,5.27243e+01,5.27239e+01,5.27230e+01,2.43176e-05,2.36429e-05,5.17269e-08,1.38998e-07,1.41780e-07,1.32253e-07,1.75605e-07,1.23441e-07,7.97411e-08,1.01288e-07,1.07775e-07,1.23243e-07,1659343813.4763958,1659343813.9388711,1659343814.4014008,1659343814.8648424,1659343815.3281043,1659343815.7906454,1659343816.2532687,1659343816.716077,1659343817.1787171,1659343817.6413352,1659343818.1042385,1659343818.5667617
51.0,50.731,0.00330,5.12724e+01,5.13134e+01,5.27230e+01,5.27200e+01,5.27185e+01,5.27263e+01,5.27243e+01,5.27208e+01,5.27198e+01,5.27240e+01,5.27245e+01,5.27225e+01,2.43165e-05,2.36330e-05,1.33187e-07,1.83066e-07,2.08129e-07,7.76947e-08,1.10984e-07,1.70529e-07,1.87248e-07,1.17332e-07,1.08093e-07,1.41174e-07,1659343820.5858483,1659343821.0509512,1659343821.5134532,1659343821.9764934,1659343822.4389808,1659343822.9014428,1659343823.3646567,1659343823.8279119,1659343824.2903152,1659343824.752253,1659343825.2148418,1659343825.676142
51.0,50.7311,0.00330,5.12723e+01,5.13134e+01,5.27206e+01,5.27183e+01,5.27176e+01,5.27266e+01,5.27236e+01,5.27207e+01,5.27195e+01,5.27237e+01,5.27243e+01,5.27224e+01,2.43187e-05,2.36345e-05,1.75635e-07,2.13752e-07,2.25157e-07,7.53899e-08,1.24643e-07,1.72814e-07,1.93040e-07,1.23064e-07,1.13279e-07,1.45435e-07,1659343827.699046,1659343828.1616352,1659343828.6241012,1659343829.0866237,1659343829.5490458,1659343830.0120444,1659343830.4744904,1659343830.9367743,1659343831.399831,1659343831.86354,1659343832.3259506,1659343832.7881882
