Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,8.00000E-006,-531.74600E-015,7.54100E-003
1,1,2,15.00000E-006,-440.83400E-015,180.35300E-003
1,1,3,30.00000E-006,-354.57700E-015,349.74200E-003
1,1,4,22.00000E-006,-283.38700E-015,521.47000E-003
1,1,5,16.00000E-006,-207.57700E-015,730.65200E-003
1,1,6,30.00000E-006,-152.14900E-015,900.04500E-003
1,1,7,4.00000E-006,-99.01800E-015,1.07710E+000
1,1,8,4.00000E-006,-43.21000E-015,1.27755E+000
1,1,9,28.00000E-006,-5.68500E-015,1.44986E+000
1,1,10,30.00000E-006,31.44300E-015,1.61928E+000
1,1,11,24.00000E-006,72.73500E-015,1.83138E+000
1,1,12,29.00000E-006,101.90400E-015,2.00216E+000
1,1,13,17.00000E-006,124.89000E-015,2.17168E+000
1,1,14,5.00000E-006,147.38400E-015,2.35999E+000
1,1,15,15.00000E-006,167.56500E-015,2.52946E+000
1,1,16,29.00000E-006,185.48900E-015,2.69889E+000
1,1,17,5.00000E-006,203.31300E-015,2.90980E+000
1,1,18,14.00000E-006,215.29800E-015,3.07918E+000
1,1,19,24.00000E-006,235.47000E-015,3.25282E+000
1,1,20,15.00000E-006,256.37300E-015,3.46249E+000
1,1,21,25.00000E-006,269.18400E-015,3.63188E+000
1,1,22,18.00000E-006,280.75600E-015,3.80414E+000
1,1,23,26.00000E-006,284.67800E-015,4.01827E+000
1,1,24,11.00000E-006,297.63600E-015,4.18953E+000
1,1,25,10.00000E-006,302.97500E-015,4.35928E+000
1,1,26,18.00000E-006,309.12400E-015,4.57049E+000
1,1,27,9.00000E-006,313.41200E-015,4.73989E+000
1,1,28,9.00000E-006,322.43000E-015,4.90932E+000
1,1,29,11.00000E-006,340.23900E-015,5.12250E+000
1,1,30,9.00000E-006,342.54400E-015,5.29188E+000
1,1,31,13.00000E-006,332.42300E-015,5.46127E+000
1,1,32,10.00000E-006,336.61500E-015,5.67653E+000
1,1,33,21.00000E-006,336.49600E-015,5.84798E+000
1,1,34,24.00000E-006,336.43800E-015,6.01737E+000
1,1,35,18.00000E-006,334.49400E-015,6.23045E+000
1,1,36,23.00000E-006,332.70000E-015,6.39983E+000
1,1,37,10.00000E-006,336.24900E-015,6.57274E+000
1,1,38,24.00000E-006,338.74700E-015,6.78207E+000
1,1,39,16.00000E-006,337.56500E-015,6.95476E+000
1,1,40,9.00000E-006,334.12400E-015,7.12414E+000
1,1,41,23.00000E-006,335.64400E-015,7.33301E+000
1,1,42,17.00000E-006,332.59000E-015,7.50346E+000
1,1,43,9.00000E-006,332.63600E-015,7.67286E+000
1,1,44,13.00000E-006,324.31200E-015,7.89370E+000
1,1,45,19.00000E-006,332.03600E-015,8.06313E+000
1,1,46,24.00000E-006,331.52500E-015,8.23332E+000
1,1,47,9.00000E-006,332.24600E-015,8.44231E+000
1,1,48,17.00000E-006,332.89700E-015,8.61187E+000
1,1,49,25.00000E-006,330.36000E-015,8.78127E+000
1,1,50,11.00000E-006,334.55400E-015,8.99291E+000
1,1,51,19.00000E-006,331.71600E-015,9.16229E+000
1,1,52,26.00000E-006,326.23400E-015,9.33167E+000
1,1,53,17.00000E-006,317.24800E-015,9.52827E+000
1,1,54,24.00000E-006,316.72300E-015,9.69766E+000
1,1,55,10.00000E-006,317.98500E-015,9.87463E+000
1,1,56,26.00000E-006,322.86600E-015,10.08157E+000
1,1,57,24.00000E-006,325.44300E-015,10.25097E+000
1,1,58,16.00000E-006,328.41400E-015,10.42708E+000
1,1,59,9.00000E-006,319.58700E-015,10.64037E+000
1,1,60,13.00000E-006,319.33600E-015,10.80978E+000
1,1,61,23.00000E-006,318.57400E-015,10.98187E+000
1,1,62,9.00000E-006,323.66600E-015,11.18971E+000
1,1,63,11.00000E-006,325.92800E-015,11.35912E+000
1,1,64,24.00000E-006,330.22200E-015,11.53212E+000
1,1,65,12.00000E-006,327.88200E-015,11.73924E+000
1,1,66,17.00000E-006,331.09700E-015,11.91034E+000
1,1,67,23.00000E-006,341.58500E-015,12.07975E+000
1,1,68,14.00000E-006,347.71000E-015,12.29049E+000
1,1,69,18.00000E-006,352.24800E-015,12.46136E+000
1,1,70,21.00000E-006,359.61400E-015,12.63075E+000
1,1,71,18.00000E-006,355.98200E-015,12.85202E+000
1,1,72,16.00000E-006,357.67600E-015,13.02141E+000
1,1,73,16.00000E-006,356.24000E-015,13.19215E+000
1,1,74,16.00000E-006,352.46900E-015,13.40483E+000
1,1,75,17.00000E-006,349.73000E-015,13.57423E+000
1,1,76,18.00000E-006,351.86300E-015,13.74890E+000
1,1,77,17.00000E-006,357.25100E-015,13.95893E+000
1,1,78,16.00000E-006,353.14100E-015,14.12833E+000
1,1,79,16.00000E-006,353.74200E-015,14.29779E+000
1,1,80,16.00000E-006,348.91400E-015,14.50928E+000
1,1,81,14.00000E-006,346.97000E-015,14.67867E+000
1,1,82,13.00000E-006,346.69300E-015,14.84976E+000
1,1,83,14.00000E-006,348.03600E-015,15.06637E+000
1,1,84,18.00000E-006,346.02400E-015,15.23981E+000
1,1,85,18.00000E-006,346.37700E-015,15.40921E+000
1,1,86,13.00000E-006,345.28700E-015,15.59999E+000
1,1,87,16.00000E-006,347.55800E-015,15.76940E+000
1,1,88,15.00000E-006,344.25000E-015,15.94447E+000
1,1,89,19.00000E-006,342.96900E-015,16.15486E+000
1,1,90,18.00000E-006,348.59100E-015,16.32429E+000
1,1,91,16.00000E-006,348.96900E-015,16.49367E+000
1,1,92,13.00000E-006,343.92800E-015,16.71310E+000
1,1,93,11.00000E-006,344.72400E-015,16.88254E+000
1,1,94,15.00000E-006,337.89200E-015,17.05193E+000
1,1,95,19.00000E-006,338.61300E-015,17.27284E+000
1,1,96,17.00000E-006,339.35600E-015,17.44344E+000
1,1,97,12.00000E-006,336.76400E-015,17.61285E+000
1,1,98,13.00000E-006,340.74500E-015,17.83156E+000
1,1,99,13.00000E-006,339.46300E-015,18.00136E+000
1,1,100,16.00000E-006,335.61900E-015,18.17074E+000
1,1,101,14.00000E-006,337.91200E-015,18.38559E+000
1,1,102,16.00000E-006,335.91200E-015,18.55498E+000
1,1,103,16.00000E-006,338.05500E-015,18.72437E+000
1,1,104,16.00000E-006,339.63400E-015,18.94085E+000
1,1,105,16.00000E-006,347.24000E-015,19.11023E+000
