Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,20.00000E-006,-525.89000E-015,9.17000E-003
1,1,2,21.00000E-006,-442.09000E-015,178.73900E-003
1,1,3,15.00000E-006,-365.28200E-015,349.86300E-003
1,1,4,12.00000E-006,-293.06100E-015,519.24900E-003
1,1,5,17.00000E-006,-209.74100E-015,739.61500E-003
1,1,6,25.00000E-006,-152.99400E-015,909.04700E-003
1,1,7,24.00000E-006,-100.49800E-015,1.07846E+000
1,1,8,25.00000E-006,-44.88300E-015,1.29242E+000
1,1,9,25.00000E-006,-5.23500E-015,1.46180E+000
1,1,10,20.00000E-006,33.87900E-015,1.63119E+000
1,1,11,12.00000E-006,71.86500E-015,1.84964E+000
1,1,12,9.00000E-006,101.43000E-015,2.01903E+000
1,1,13,22.00000E-006,130.72100E-015,2.19032E+000
1,1,14,25.00000E-006,157.81000E-015,2.39595E+000
1,1,15,8.00000E-006,178.72800E-015,2.56669E+000
1,1,16,6.00000E-006,195.85900E-015,2.73612E+000
1,1,17,17.00000E-006,210.70300E-015,2.94826E+000
1,1,18,7.00000E-006,218.08800E-015,3.11764E+000
1,1,19,18.00000E-006,233.27700E-015,3.28909E+000
1,1,20,11.00000E-006,252.96900E-015,3.49931E+000
1,1,21,9.00000E-006,262.20300E-015,3.66975E+000
1,1,22,31.00000E-006,270.84300E-015,3.84245E+000
1,1,23,31.00000E-006,280.33200E-015,4.05923E+000
1,1,24,28.00000E-006,291.06700E-015,4.22867E+000
1,1,25,11.00000E-006,304.54300E-015,4.40452E+000
1,1,26,15.00000E-006,305.47600E-015,4.61418E+000
1,1,27,32.00000E-006,319.35700E-015,4.79381E+000
1,1,28,19.00000E-006,331.99500E-015,4.96325E+000
1,1,29,4.00000E-006,333.54700E-015,5.16757E+000
1,1,30,17.00000E-006,332.38500E-015,5.33847E+000
1,1,31,30.00000E-006,340.73700E-015,5.50785E+000
1,1,32,31.00000E-006,345.95100E-015,5.72708E+000
1,1,33,9.00000E-006,347.01000E-015,5.89839E+000
1,1,34,2.00000E-006,350.65400E-015,6.06780E+000
