Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,31.00000E-006,104.00000E-015,6.98600E-003
1,1,2,36.00000E-006,932.70000E-015,176.55800E-003
1,1,3,22.00000E-006,1.17980E-012,345.95200E-003
1,1,4,1.00000E-006,1.28180E-012,515.70100E-003
1,1,5,3.00000E-006,1.36670E-012,735.99600E-003
1,1,6,40.00000E-006,1.40200E-012,908.42600E-003
1,1,7,31.00000E-006,1.40960E-012,1.07784E+000
1,1,8,38.00000E-006,1.40830E-012,1.29023E+000
1,1,9,-1.00000E-006,1.40320E-012,1.46461E+000
1,1,10,-7.00000E-006,1.39620E-012,1.63401E+000
1,1,11,38.00000E-006,1.34440E-012,1.84016E+000
1,1,12,38.00000E-006,1.30880E-012,2.00953E+000
1,1,13,15.00000E-006,1.27110E-012,2.17894E+000
1,1,14,-5.00000E-006,1.26000E-012,2.36791E+000
1,1,15,42.00000E-006,1.23580E-012,2.54180E+000
1,1,16,15.00000E-006,1.19960E-012,2.71200E+000
1,1,17,-3.00000E-006,1.17690E-012,2.89708E+000
1,1,18,-11.00000E-006,1.13540E-012,3.06650E+000
1,1,19,13.00000E-006,1.11010E-012,3.23599E+000
1,1,20,2.00000E-006,1.07110E-012,3.42933E+000
1,1,21,-13.00000E-006,1.05520E-012,3.59875E+000
1,1,22,8.00000E-006,976.20000E-015,3.76818E+000
1,1,23,-6.00000E-006,970.70000E-015,3.97993E+000
1,1,24,-6.00000E-006,926.00000E-015,4.14973E+000
1,1,25,48.00000E-006,937.80000E-015,4.32398E+000
1,1,26,-9.00000E-006,895.10000E-015,4.53238E+000
1,1,27,27.00000E-006,906.40000E-015,4.70279E+000
1,1,28,49.00000E-006,916.30000E-015,4.87216E+000
1,1,29,21.00000E-006,915.50000E-015,5.08511E+000
1,1,30,49.00000E-006,819.30000E-015,5.25651E+000
1,1,31,22.00000E-006,774.00000E-015,5.42592E+000
1,1,32,44.00000E-006,789.70000E-015,5.63706E+000
1,1,33,45.00000E-006,801.80000E-015,5.80645E+000
1,1,34,15.00000E-006,776.80000E-015,5.97625E+000
1,1,35,42.00000E-006,788.90000E-015,6.19018E+000
1,1,36,6.00000E-006,780.40000E-015,6.36024E+000
1,1,37,-10.00000E-006,777.40000E-015,6.52964E+000
1,1,38,35.00000E-006,814.90000E-015,6.74050E+000
1,1,39,6.00000E-006,845.60000E-015,6.90990E+000
1,1,40,-11.00000E-006,875.10000E-015,7.07933E+000
1,1,41,27.00000E-006,805.40000E-015,7.29069E+000
1,1,42,-7.00000E-006,773.00000E-015,7.46387E+000
1,1,43,20.00000E-006,794.40000E-015,7.63328E+000
1,1,44,-9.00000E-006,837.20000E-015,7.84502E+000
1,1,45,3.00000E-006,824.80000E-015,8.01443E+000
1,1,46,13.00000E-006,803.00000E-015,8.19179E+000
1,1,47,-4.00000E-006,745.90000E-015,8.39637E+000
1,1,48,32.00000E-006,786.50000E-015,8.56707E+000
1,1,49,41.00000E-006,794.20000E-015,8.73771E+000
1,1,50,16.00000E-006,824.90000E-015,8.94834E+000
1,1,51,42.00000E-006,803.00000E-015,9.11880E+000
1,1,52,21.00000E-006,818.20000E-015,9.29002E+000
1,1,53,40.00000E-006,807.60000E-015,9.50358E+000
1,1,54,8.00000E-006,803.90000E-015,9.67472E+000
1,1,55,1.00000E-006,784.60000E-015,9.84604E+000
1,1,56,3.00000E-006,785.90000E-015,10.05895E+000
1,1,57,2.00000E-006,822.50000E-015,10.22835E+000
1,1,58,18.00000E-006,800.70000E-015,10.39775E+000
1,1,59,0.00000E+000,799.10000E-015,10.61085E+000
1,1,60,14.00000E-006,808.00000E-015,10.78026E+000
1,1,61,34.00000E-006,836.00000E-015,10.94965E+000
1,1,62,25.00000E-006,837.30000E-015,11.16524E+000
1,1,63,38.00000E-006,823.40000E-015,11.33503E+000
1,1,64,28.00000E-006,788.20000E-015,11.50443E+000
1,1,65,14.00000E-006,789.10000E-015,11.72346E+000
1,1,66,26.00000E-006,813.00000E-015,11.89819E+000
1,1,67,36.00000E-006,803.30000E-015,12.06759E+000
1,1,68,6.00000E-006,801.30000E-015,12.27449E+000
1,1,69,7.00000E-006,806.10000E-015,12.44466E+000
1,1,70,29.00000E-006,775.40000E-015,12.61536E+000
1,1,71,9.00000E-006,832.10000E-015,12.82830E+000
1,1,72,22.00000E-006,810.70000E-015,12.99770E+000
1,1,73,23.00000E-006,789.60000E-015,13.17073E+000
1,1,74,18.00000E-006,786.00000E-015,13.37944E+000
1,1,75,29.00000E-006,829.80000E-015,13.54886E+000
1,1,76,29.00000E-006,853.50000E-015,13.71866E+000
1,1,77,22.00000E-006,789.50000E-015,13.93076E+000
1,1,78,30.00000E-006,785.80000E-015,14.10055E+000
1,1,79,25.00000E-006,806.30000E-015,14.27005E+000
1,1,80,21.00000E-006,803.10000E-015,14.48690E+000
1,1,81,12.00000E-006,778.80000E-015,14.65916E+000
1,1,82,18.00000E-006,823.30000E-015,14.82893E+000
1,1,83,20.00000E-006,794.70000E-015,15.04672E+000
1,1,84,24.00000E-006,796.10000E-015,15.21672E+000
1,1,85,22.00000E-006,805.60000E-015,15.38610E+000
1,1,86,22.00000E-006,796.30000E-015,15.60294E+000
1,1,87,20.00000E-006,785.00000E-015,15.77267E+000
1,1,88,22.00000E-006,772.90000E-015,15.94211E+000
1,1,89,21.00000E-006,805.90000E-015,16.15730E+000
1,1,90,21.00000E-006,819.90000E-015,16.32839E+000
1,1,91,16.00000E-006,798.30000E-015,16.49778E+000
1,1,92,17.00000E-006,830.10000E-015,16.71332E+000
1,1,93,18.00000E-006,801.40000E-015,16.88766E+000
1,1,94,23.00000E-006,833.20000E-015,17.05704E+000
1,1,95,9.00000E-006,811.40000E-015,17.26832E+000
1,1,96,26.00000E-006,828.60000E-015,17.44367E+000
1,1,97,16.00000E-006,794.80000E-015,17.61310E+000
1,1,98,30.00000E-006,762.40000E-015,17.82498E+000
1,1,99,28.00000E-006,796.40000E-015,17.99437E+000
1,1,100,17.00000E-006,785.50000E-015,18.16374E+000
1,1,101,19.00000E-006,826.10000E-015,18.38849E+000
1,1,102,32.00000E-006,858.20000E-015,18.55790E+000
1,1,103,33.00000E-006,896.20000E-015,18.72729E+000
1,1,104,14.00000E-006,984.30000E-015,18.93787E+000
1,1,105,32.00000E-006,1.04570E-012,19.10762E+000
1,1,106,35.00000E-006,1.03420E-012,19.27704E+000
1,1,107,20.00000E-006,1.14770E-012,19.48857E+000
1,1,108,36.00000E-006,1.36160E-012,19.65800E+000
1,1,109,35.00000E-006,1.71110E-012,19.82778E+000
1,1,110,21.00000E-006,2.10870E-012,20.04713E+000
1,1,111,3.00000E-006,2.24170E-012,20.21679E+000
1,1,112,2.00000E-006,2.28420E-012,20.38621E+000
1,1,113,25.00000E-006,2.25560E-012,20.58964E+000
1,1,114,26.00000E-006,2.22750E-012,20.76333E+000
1,1,115,7.00000E-006,2.26150E-012,20.93274E+000
1,1,116,4.00000E-006,2.25520E-012,21.14960E+000
1,1,117,0.00000E+000,2.24280E-012,21.31904E+000
1,1,118,23.00000E-006,2.22820E-012,21.48969E+000
1,1,119,3.00000E-006,2.22530E-012,21.70414E+000
1,1,120,23.00000E-006,2.24600E-012,21.87353E+000
1,1,121,38.00000E-006,2.27120E-012,22.04293E+000
1,1,122,38.00000E-006,2.27610E-012,22.26073E+000
1,1,123,20.00000E-006,2.29970E-012,22.43147E+000
1,1,124,-1.00000E-006,2.26720E-012,22.60227E+000
1,1,125,15.00000E-006,2.27780E-012,22.81576E+000
1,1,126,2.00000E-006,2.33790E-012,22.98626E+000
1,1,127,13.00000E-006,2.33550E-012,23.15565E+000
1,1,128,23.00000E-006,2.32600E-012,23.37400E+000
1,1,129,34.00000E-006,2.32940E-012,23.54383E+000
1,1,130,27.00000E-006,2.33770E-012,23.71321E+000
1,1,131,27.00000E-006,2.32980E-012,23.92536E+000
1,1,132,30.00000E-006,2.30290E-012,24.09583E+000
1,1,133,21.00000E-006,2.31940E-012,24.26525E+000
1,1,134,22.00000E-006,2.32530E-012,24.48176E+000
1,1,135,12.00000E-006,2.29450E-012,24.65119E+000
1,1,136,11.00000E-006,2.32720E-012,24.82065E+000
1,1,137,10.00000E-006,2.34830E-012,25.03730E+000
1,1,138,18.00000E-006,2.35150E-012,25.20670E+000
1,1,139,26.00000E-006,2.36820E-012,25.37609E+000
1,1,140,21.00000E-006,2.38930E-012,25.59141E+000
1,1,141,26.00000E-006,2.37790E-012,25.76080E+000
1,1,142,23.00000E-006,2.37300E-012,25.93019E+000
1,1,143,13.00000E-006,2.33320E-012,26.15328E+000
1,1,144,20.00000E-006,2.30000E-012,26.32458E+000
1,1,145,22.00000E-006,2.23650E-012,26.49536E+000
1,1,146,16.00000E-006,2.28880E-012,26.66849E+000
1,1,147,18.00000E-006,2.30860E-012,26.84051E+000
1,1,148,21.00000E-006,2.31150E-012,27.01154E+000
1,1,149,20.00000E-006,2.28750E-012,27.19733E+000
1,1,150,17.00000E-006,2.30630E-012,27.36686E+000
1,1,151,17.00000E-006,2.28020E-012,27.53626E+000
1,1,152,21.00000E-006,2.30610E-012,27.75915E+000
1,1,153,21.00000E-006,2.30470E-012,27.92857E+000
1,1,154,19.00000E-006,2.31820E-012,28.09795E+000
1,1,155,19.00000E-006,2.29350E-012,28.31377E+000
1,1,156,19.00000E-006,2.31500E-012,28.48506E+000
1,1,157,19.00000E-006,2.30480E-012,28.65443E+000
1,1,158,19.00000E-006,2.29810E-012,28.86813E+000
1,1,159,20.00000E-006,2.28880E-012,29.03751E+000
1,1,160,19.00000E-006,2.33910E-012,29.20690E+000
1,1,161,19.00000E-006,2.28280E-012,29.42443E+000
1,1,162,17.00000E-006,2.33980E-012,29.59515E+000
1,1,163,18.00000E-006,2.33780E-012,29.76458E+000
1,1,164,17.00000E-006,2.25790E-012,29.98115E+000
1,1,165,21.00000E-006,2.25710E-012,30.15058E+000
1,1,166,22.00000E-006,2.27610E-012,30.32039E+000
1,1,167,22.00000E-006,2.25940E-012,30.53789E+000
1,1,168,19.00000E-006,2.26070E-012,30.70732E+000
1,1,169,17.00000E-006,2.31130E-012,30.87671E+000
1,1,170,18.00000E-006,2.34840E-012,31.09615E+000
1,1,171,19.00000E-006,2.94570E-012,31.26555E+000
1,1,172,22.00000E-006,4.92030E-012,31.43494E+000
1,1,173,17.00000E-006,10.57300E-012,31.64558E+000
1,1,174,19.00000E-006,17.73900E-012,31.81496E+000
1,1,175,22.00000E-006,26.15580E-012,31.98449E+000
1,1,176,17.00000E-006,36.58310E-012,32.21240E+000
1,1,177,19.00000E-006,42.86310E-012,32.38181E+000
1,1,178,21.00000E-006,47.44510E-012,32.55314E+000
1,1,179,18.00000E-006,50.69140E-012,32.75687E+000
1,1,180,18.00000E-006,52.66300E-012,32.92764E+000
1,1,181,17.00000E-006,54.09230E-012,33.09727E+000
1,1,182,21.00000E-006,54.97420E-012,33.28556E+000
1,1,183,19.00000E-006,55.81320E-012,33.45495E+000
1,1,184,17.00000E-006,56.35110E-012,33.62753E+000
1,1,185,19.00000E-006,56.79510E-012,33.82285E+000
1,1,186,16.00000E-006,56.94120E-012,33.99249E+000
1,1,187,14.00000E-006,56.90330E-012,34.16188E+000
1,1,188,20.00000E-006,56.67650E-012,34.37223E+000
1,1,189,17.00000E-006,56.48210E-012,34.54610E+000
1,1,190,18.00000E-006,56.41450E-012,34.71552E+000
1,1,191,21.00000E-006,56.08220E-012,34.93506E+000
1,1,192,21.00000E-006,55.85850E-012,35.10547E+000
1,1,193,18.00000E-006,56.17930E-012,35.27489E+000
1,1,194,22.00000E-006,56.42120E-012,35.48817E+000
1,1,195,18.00000E-006,56.33700E-012,35.65755E+000
1,1,196,15.00000E-006,56.03350E-012,35.82711E+000
1,1,197,17.00000E-006,56.03790E-012,36.04720E+000
1,1,198,23.00000E-006,56.07810E-012,36.21847E+000
1,1,199,21.00000E-006,56.49900E-012,36.38787E+000
1,1,200,20.00000E-006,55.84030E-012,36.60391E+000
1,1,201,18.00000E-006,55.88740E-012,36.77330E+000
1,1,202,16.00000E-006,55.74660E-012,36.94270E+000
1,1,203,17.00000E-006,56.25350E-012,37.14835E+000
1,1,204,17.00000E-006,56.32620E-012,37.31775E+000
1,1,205,17.00000E-006,56.09860E-012,37.48740E+000
1,1,206,17.00000E-006,56.21780E-012,37.71438E+000
1,1,207,16.00000E-006,56.19850E-012,37.88403E+000
1,1,208,18.00000E-006,56.54900E-012,38.05385E+000
1,1,209,14.00000E-006,56.16080E-012,38.27124E+000
1,1,210,20.00000E-006,56.36610E-012,38.44070E+000
1,1,211,22.00000E-006,56.09260E-012,38.61129E+000
1,1,212,21.00000E-006,56.19660E-012,38.81403E+000
1,1,213,17.00000E-006,56.46970E-012,38.98454E+000
1,1,214,26.00000E-006,56.39160E-012,39.16132E+000
1,1,215,11.00000E-006,56.01270E-012,39.38651E+000
1,1,216,17.00000E-006,56.10780E-012,39.55592E+000
1,1,217,27.00000E-006,55.92130E-012,39.72534E+000
1,1,218,23.00000E-006,55.82520E-012,39.93040E+000
1,1,219,14.00000E-006,56.03310E-012,40.10488E+000
1,1,220,30.00000E-006,55.69300E-012,40.27642E+000
1,1,221,25.00000E-006,55.93350E-012,40.49733E+000
1,1,222,8.00000E-006,56.14830E-012,40.66861E+000
1,1,223,28.00000E-006,56.08260E-012,40.84184E+000
1,1,224,12.00000E-006,55.72730E-012,41.03841E+000
1,1,225,30.00000E-006,56.01560E-012,41.20849E+000
1,1,226,34.00000E-006,56.01330E-012,41.37788E+000
1,1,227,6.00000E-006,56.31340E-012,41.60222E+000
1,1,228,8.00000E-006,56.24150E-012,41.77162E+000
1,1,229,23.00000E-006,56.18580E-012,41.94101E+000
1,1,230,34.00000E-006,56.30010E-012,42.15949E+000
1,1,231,38.00000E-006,56.23850E-012,42.32887E+000
1,1,232,24.00000E-006,56.04020E-012,42.49823E+000
1,1,233,34.00000E-006,55.86830E-012,42.71333E+000
1,1,234,18.00000E-006,55.91630E-012,42.88277E+000
