#Scanning from (x0, y0) = (0 mm, 170 mm), to (x1, y1) = (40 mm, 210 mm), linear step (ds) = 5 mm, time step (dt) = 5 s, start time (t0) = 1659496948.8606653 s
x-pos,y-pos,time
0.0,170.0,1659496968.536026
0.0,170.0,1659496973.5383673
0.0,175.0,1659496977.9745786
0.0,175.0,1659496982.98023
0.0,180.0,1659496987.4151554
0.0,180.0,1659496992.4173791
0.0,185.0,1659496996.861605
0.0,185.0,1659497001.8624349
0.0,190.0,1659497006.2944436
0.0,190.0,1659497011.2973819
0.0,195.0,1659497015.7384593
0.0,195.0,1659497020.7419524
0.0,200.0,1659497025.1860306
0.0,200.0,1659497030.1930296
0.0,205.0,1659497034.63257
0.0,205.0,1659497039.640154
0.0,210.0,1659497044.0791645
0.0,210.0,1659497049.0923636
5.0,210.0,1659497051.9299793
5.0,210.0,1659497056.937521
5.0,205.0,1659497061.380291
5.0,205.0,1659497066.3844304
5.0,200.0,1659497070.8289807
5.0,200.0,1659497075.8418853
5.0,195.0,1659497080.2818685
5.0,195.0,1659497085.2873595
5.0,190.0,1659497089.7275445
5.0,190.0,1659497094.7346385
5.0,185.0,1659497099.1820326
5.0,185.0,1659497104.18212
5.0,180.0,1659497108.6195073
5.0,180.0,1659497113.6221025
5.0,175.0,1659497118.0571182
5.0,175.0,1659497123.0637817
5.0,170.0,1659497127.5080538
5.0,170.0,1659497132.5184069
10.0,170.0,1659497135.35785
10.0,170.0,1659497140.3656
10.0,175.0,1659497144.8041894
10.0,175.0,1659497149.8050935
10.0,180.0,1659497154.2377212
10.0,180.0,1659497159.2406375
10.0,185.0,1659497163.6763318
10.0,185.0,1659497168.6824994
10.0,190.0,1659497173.1162794
10.0,190.0,1659497178.1234102
10.0,195.0,1659497182.555808
10.0,195.0,1659497187.5603333
10.0,200.0,1659497191.9914172
10.0,200.0,1659497196.9974155
10.0,205.0,1659497201.4423268
10.0,205.0,1659497206.4453363
10.0,210.0,1659497210.8917472
10.0,210.0,1659497215.896925
15.0,210.0,1659497218.7367918
15.0,210.0,1659497223.7421374
15.0,205.0,1659497228.1898053
15.0,205.0,1659497233.193423
15.0,200.0,1659497237.6312156
15.0,200.0,1659497242.635199
15.0,195.0,1659497247.0733087
15.0,195.0,1659497252.0802808
15.0,190.0,1659497256.5274553
15.0,190.0,1659497261.542094
15.0,185.0,1659497265.9893677
15.0,185.0,1659497270.991315
15.0,180.0,1659497275.4322083
15.0,180.0,1659497280.4339347
15.0,175.0,1659497284.8775232
15.0,175.0,1659497289.889157
15.0,170.0,1659497294.3257484
15.0,170.0,1659497299.3341389
20.0,170.0,1659497302.176528
20.0,170.0,1659497307.1838326
20.0,175.0,1659497311.625988
20.0,175.0,1659497316.6336846
20.0,180.0,1659497321.0827456
20.0,180.0,1659497326.0881455
20.0,185.0,1659497330.5281467
20.0,185.0,1659497335.537529
20.0,190.0,1659497339.9687836
20.0,190.0,1659497344.970575
20.0,195.0,1659497349.421115
20.0,195.0,1659497354.4230444
20.0,200.0,1659497358.869076
20.0,200.0,1659497363.8770766
20.0,205.0,1659497368.311481
20.0,205.0,1659497373.3133793
20.0,210.0,1659497377.7553647
20.0,210.0,1659497382.7566059
25.0,210.0,1659497385.5953372
25.0,210.0,1659497390.5968664
25.0,205.0,1659497395.0450115
25.0,205.0,1659497400.0490618
25.0,200.0,1659497404.4883358
25.0,200.0,1659497409.4883993
25.0,195.0,1659497413.932771
25.0,195.0,1659497418.9396439
25.0,190.0,1659497423.3750348
25.0,190.0,1659497428.3796093
25.0,185.0,1659497432.814222
25.0,185.0,1659497437.8162355
25.0,180.0,1659497442.252707
25.0,180.0,1659497447.2597797
25.0,175.0,1659497451.7089362
25.0,175.0,1659497456.7103937
25.0,170.0,1659497461.1442707
25.0,170.0,1659497466.1518335
30.0,170.0,1659497468.990869
30.0,170.0,1659497473.9948473
30.0,175.0,1659497478.4370646
30.0,175.0,1659497483.441261
30.0,180.0,1659497487.8832781
30.0,180.0,1659497492.8973489
30.0,185.0,1659497497.3317354
30.0,185.0,1659497502.3363805
30.0,190.0,1659497506.7803078
30.0,190.0,1659497511.7891254
30.0,195.0,1659497516.2335083
30.0,195.0,1659497521.2349148
30.0,200.0,1659497525.6740987
30.0,200.0,1659497530.6815977
30.0,205.0,1659497535.1289837
30.0,205.0,1659497540.1350708
30.0,210.0,1659497544.577309
30.0,210.0,1659497549.5851967
35.0,210.0,1659497552.4248686
35.0,210.0,1659497557.4298606
35.0,205.0,1659497561.8792129
35.0,205.0,1659497566.8796225
35.0,200.0,1659497571.3302925
35.0,200.0,1659497576.3358746
35.0,195.0,1659497580.776899
35.0,195.0,1659497585.7779586
35.0,190.0,1659497590.2178226
35.0,190.0,1659497595.2213547
35.0,185.0,1659497599.6571255
35.0,185.0,1659497604.6631866
35.0,180.0,1659497609.108316
35.0,180.0,1659497614.1156938
35.0,175.0,1659497618.5538998
35.0,175.0,1659497623.5618694
35.0,170.0,1659497628.0044837
35.0,170.0,1659497633.0098932
40.0,170.0,1659497635.8523934
40.0,170.0,1659497640.8593135
40.0,175.0,1659497645.300705
40.0,175.0,1659497650.311209
40.0,180.0,1659497654.7571347
40.0,180.0,1659497659.7588463
40.0,185.0,1659497664.1977296
40.0,185.0,1659497669.199164
40.0,190.0,1659497673.6378741
40.0,190.0,1659497678.6423516
40.0,195.0,1659497683.0792882
40.0,195.0,1659497688.0843809
40.0,200.0,1659497692.533876
40.0,200.0,1659497697.541336
40.0,205.0,1659497701.9817657
40.0,205.0,1659497706.9854348
40.0,210.0,1659497711.4239306
40.0,210.0,1659497716.4271197
