Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659849617.2475626, 55.0, 55.0, 5.0, 5000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_16 (V),IsCH_16 (A),TsCH_16 (s)
55.0,54.7471,0.02230,5.66374e+01,1.82908e-06,1659849786.3761818
55.0,54.7471,0.02230,5.66382e+01,1.81477e-06,1659849788.4072013
55.0,54.7468,0.02230,5.66376e+01,1.81989e-06,1659849790.4372125
55.0,54.7474,0.02230,5.66376e+01,1.83040e-06,1659849792.463239
55.0,54.7469,0.02230,5.66375e+01,1.82398e-06,1659849794.495941
55.0,54.7469,0.02230,5.66347e+01,1.86994e-06,1659849796.5168195
55.0,54.7474,0.02230,5.66350e+01,1.87415e-06,1659849798.5437944
55.0,54.7474,0.02230,5.66350e+01,1.87369e-06,1659849800.5812337
55.0,54.7479,0.02230,5.66359e+01,1.86698e-06,1659849802.6073613
55.0,54.7471,0.02230,5.66336e+01,1.89139e-06,1659849804.6463244
55.0,54.7474,0.02230,5.66351e+01,1.87254e-06,1659849806.6820748
55.0,54.7468,0.02230,5.66344e+01,1.87387e-06,1659849808.7098367
55.0,54.7465,0.02230,5.66346e+01,1.86536e-06,1659849810.7393663
55.0,54.7481,0.02230,5.66363e+01,1.86451e-06,1659849812.757994
55.0,54.7465,0.02230,5.66343e+01,1.87087e-06,1659849814.7798133
55.0,54.7476,0.02230,5.66352e+01,1.87450e-06,1659849816.8018026
55.0,54.7478,0.02230,5.66358e+01,1.86656e-06,1659849818.823005
55.0,54.7469,0.02230,5.66353e+01,1.86105e-06,1659849820.8407993
55.0,54.747,0.02230,5.66350e+01,1.86784e-06,1659849822.8516116
55.0,54.7476,0.02230,5.66357e+01,1.86610e-06,1659849824.8711736
55.0,54.747,0.02230,5.66354e+01,1.86102e-06,1659849826.8840132
55.0,54.7474,0.02230,5.66346e+01,1.88003e-06,1659849828.903052
55.0,54.7467,0.02230,5.66369e+01,1.82976e-06,1659849830.9137044
55.0,54.7466,0.02230,5.66374e+01,1.81970e-06,1659849832.926639
55.0,54.7469,0.02230,5.66376e+01,1.82217e-06,1659849834.9425728
55.0,54.7467,0.02230,5.66379e+01,1.81349e-06,1659849836.9536834
55.0,54.7475,0.02230,5.66389e+01,1.81118e-06,1659849838.9680648
55.0,54.7473,0.02230,5.66350e+01,1.87282e-06,1659849840.981381
55.0,54.7471,0.02230,5.66352e+01,1.86546e-06,1659849842.9989893
55.0,54.748,0.02230,5.66355e+01,1.87481e-06,1659849845.012894
55.0,54.7461,0.02230,5.66338e+01,1.87166e-06,1659849847.035756
55.0,54.7465,0.02230,5.66345e+01,1.86680e-06,1659849849.0528598
55.0,54.7468,0.02230,5.66345e+01,1.87222e-06,1659849851.068299
55.0,54.7467,0.02230,5.66343e+01,1.87308e-06,1659849853.0828798
55.0,54.7469,0.02230,5.66343e+01,1.87710e-06,1659849855.0959203
55.0,54.7459,0.02230,5.66333e+01,1.87726e-06,1659849857.111691
55.0,54.7475,0.02230,5.66356e+01,1.86599e-06,1659849859.1256166
55.0,54.7466,0.02230,5.66350e+01,1.86070e-06,1659849861.1429336
55.0,54.7469,0.02230,5.66344e+01,1.87484e-06,1659849863.1568382
55.0,54.747,0.02230,5.66351e+01,1.86620e-06,1659849865.175879
55.0,54.7463,0.02230,5.66337e+01,1.87757e-06,1659849867.2078595
55.0,54.7467,0.02230,5.66338e+01,1.88213e-06,1659849869.2244806
55.0,54.7476,0.02230,5.66354e+01,1.87030e-06,1659849871.2397978
55.0,54.7466,0.02230,5.66343e+01,1.87172e-06,1659849873.259994
55.0,54.7463,0.02230,5.66338e+01,1.87480e-06,1659849875.276783
55.0,54.7461,0.02230,5.66340e+01,1.86799e-06,1659849877.2896762
55.0,54.7479,0.02230,5.66353e+01,1.87633e-06,1659849879.30792
55.0,54.7466,0.02230,5.66344e+01,1.86980e-06,1659849881.3248212
55.0,54.7465,0.02230,5.66342e+01,1.87275e-06,1659849883.339989
55.0,54.7465,0.02230,5.66339e+01,1.87647e-06,1659849885.3476968
55.0,54.7469,0.02230,5.66342e+01,1.87959e-06,1659849887.3706558
55.0,54.7463,0.02230,5.66368e+01,1.82628e-06,1659849889.3775356
