Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH1 Source
1,1,1,19.56900E-003,5.70000E-012,105.20500E-003,0.00000E+000
1,1,2,-36.33500E-003,9.20000E-012,209.27400E-003,0.00000E+000
1,1,3,-24.65400E-003,13.90000E-012,313.16400E-003,0.00000E+000
1,1,4,32.33200E-003,3.50000E-012,417.06900E-003,0.00000E+000
1,1,5,30.98400E-003,1.40000E-012,520.97700E-003,0.00000E+000
1,1,6,-41.30000E-003,-4.50000E-012,661.21000E-003,0.00000E+000
1,1,7,26.57800E-003,5.90000E-012,771.30800E-003,0.00000E+000
1,1,8,-31.27700E-003,17.30000E-012,875.22800E-003,0.00000E+000
1,1,9,-32.11000E-003,5.50000E-012,979.12400E-003,0.00000E+000
1,1,10,25.05200E-003,8.60000E-012,1.08301E+000,0.00000E+000
1,1,11,20.70300E-003,18.40000E-012,1.22163E+000,0.00000E+000
1,1,12,-35.27200E-003,16.10000E-012,1.32558E+000,0.00000E+000
1,1,13,-26.97200E-003,6.70000E-012,1.42948E+000,0.00000E+000
1,1,14,41.17200E-003,22.40000E-012,1.53512E+000,0.00000E+000
1,1,15,7.94400E-003,17.70000E-012,1.63907E+000,0.00000E+000
1,1,16,-36.37900E-003,9.50000E-012,1.77566E+000,0.00000E+000
1,1,17,-23.07700E-003,10.30000E-012,1.87964E+000,0.00000E+000
1,1,18,33.54900E-003,11.40000E-012,1.98355E+000,0.00000E+000
1,1,19,29.62200E-003,-5.00000E-012,2.08744E+000,0.00000E+000
1,1,20,-28.38200E-003,13.80000E-012,2.19134E+000,0.00000E+000
1,1,21,-27.18300E-003,14.30000E-012,2.32924E+000,0.00000E+000
1,1,22,30.78800E-003,300.00000E-015,2.43315E+000,0.00000E+000
1,1,23,32.52800E-003,15.90000E-012,2.53706E+000,0.00000E+000
1,1,24,-25.19200E-003,-7.80000E-012,2.64098E+000,0.00000E+000
1,1,25,-36.68400E-003,16.00000E-012,2.74488E+000,0.00000E+000
1,1,26,40.14300E-003,-100.00000E-015,2.88451E+000,0.00000E+000
1,1,27,11.47600E-003,8.00000E-012,2.98847E+000,0.00000E+000
1,1,28,-38.19900E-003,7.80000E-012,3.09237E+000,0.00000E+000
1,1,29,-12.76600E-003,1.70000E-012,3.19665E+000,0.00000E+000
1,1,30,37.87300E-003,3.00000E-012,3.30056E+000,0.00000E+000
1,1,31,39.76600E-003,-3.50000E-012,3.43594E+000,0.00000E+000
1,1,32,-11.71800E-003,0.00000E+000,3.53989E+000,0.00000E+000
1,1,33,-41.17300E-003,-1.20000E-012,3.64383E+000,0.00000E+000
1,1,34,8.99600E-003,7.30000E-012,3.74800E+000,0.00000E+000
1,1,35,41.24800E-003,8.30000E-012,3.85211E+000,0.00000E+000
1,1,36,10.25000E-003,11.40000E-012,3.98828E+000,0.00000E+000
1,1,37,-38.79900E-003,-7.00000E-012,4.09221E+000,0.00000E+000
1,1,38,-16.93300E-003,9.10000E-012,4.19610E+000,0.00000E+000
1,1,39,36.33000E-003,23.10000E-012,4.30002E+000,0.00000E+000
1,1,40,23.78400E-003,10.60000E-012,4.40393E+000,0.00000E+000
1,1,41,-41.09100E-003,6.50000E-012,4.54364E+000,0.00000E+000
1,1,42,15.82500E-003,7.80000E-012,4.64818E+000,0.00000E+000
1,1,43,38.77100E-003,4.50000E-012,4.75244E+000,0.00000E+000
1,1,44,-13.85400E-003,8.90000E-012,4.85637E+000,0.00000E+000
1,1,45,-28.44000E-003,2.00000E-012,4.96179E+000,0.00000E+000
1,1,46,29.47100E-003,8.50000E-012,5.09904E+000,0.00000E+000
1,1,47,32.59400E-003,23.30000E-012,5.20306E+000,0.00000E+000
1,1,48,-29.31500E-003,-3.30000E-012,5.30732E+000,0.00000E+000
1,1,49,-29.49200E-003,3.40000E-012,5.41163E+000,0.00000E+000
1,1,50,28.33000E-003,-2.00000E-012,5.51554E+000,0.00000E+000
1,1,51,-38.61300E-003,16.00000E-012,5.65856E+000,0.00000E+000
1,1,52,33.65500E-003,6.80000E-012,5.78622E+000,0.00000E+000
1,1,53,-23.66600E-003,-7.30000E-012,5.89017E+000,0.00000E+000
1,1,54,-37.68000E-003,-2.90000E-012,5.99409E+000,0.00000E+000
1,1,55,17.07700E-003,1.90000E-012,6.09808E+000,0.00000E+000
1,1,56,37.49800E-003,26.90000E-012,6.25245E+000,0.00000E+000
1,1,57,-21.11400E-003,9.90000E-012,6.35667E+000,0.00000E+000
1,1,58,-38.88700E-003,16.20000E-012,6.46059E+000,0.00000E+000
1,1,59,12.25600E-003,9.20000E-012,6.56450E+000,0.00000E+000
1,1,60,25.73400E-003,-6.30000E-012,6.67027E+000,0.00000E+000
1,1,61,-30.15000E-003,10.70000E-012,6.80738E+000,0.00000E+000
1,1,62,-32.96000E-003,17.60000E-012,6.91134E+000,0.00000E+000
1,1,63,26.65400E-003,-8.80000E-012,7.01547E+000,0.00000E+000
1,1,64,34.16900E-003,200.00000E-015,7.11960E+000,0.00000E+000
