#Scanning from (x0, y0) = (40 mm, 170 mm), to (x1, y1) = (80 mm, 210 mm), linear step (ds) = 5 mm, time step (dt) = 20 s, start time (t0) = 1659343694.0325706 s
x-pos,y-pos,time
40.0,170.0,1659343739.31743
40.0,170.0,1659343759.3230987
40.0,175.0,1659343763.7615757
40.0,175.0,1659343783.7755275
40.0,180.0,1659343788.2160118
40.0,180.0,1659343808.2203155
40.0,185.0,1659343812.654398
40.0,185.0,1659343832.6599185
40.0,190.0,1659343837.0941916
40.0,190.0,1659343857.0960631
40.0,195.0,1659343861.5368116
40.0,195.0,1659343881.538267
40.0,200.0,1659343885.9844425
40.0,200.0,1659343905.9906764
40.0,205.0,1659343910.7137892
40.0,205.0,1659343930.7148237
40.0,210.0,1659343935.1520278
40.0,210.0,1659343955.1570957
45.0,210.0,1659343957.9960978
45.0,210.0,1659343977.996486
45.0,205.0,1659343982.42911
45.0,205.0,1659344002.4291763
45.0,200.0,1659344006.866715
45.0,200.0,1659344026.8683572
45.0,195.0,1659344031.3118904
45.0,195.0,1659344051.3189192
45.0,190.0,1659344055.753943
45.0,190.0,1659344075.7614963
45.0,185.0,1659344080.2033486
45.0,185.0,1659344100.2087874
45.0,180.0,1659344104.6467185
45.0,180.0,1659344124.6531186
45.0,175.0,1659344129.0963383
45.0,175.0,1659344149.0976791
45.0,170.0,1659344153.5350573
45.0,170.0,1659344173.5409408
50.0,170.0,1659344176.3876445
50.0,170.0,1659344196.3940933
50.0,175.0,1659344200.843075
50.0,175.0,1659344220.8512244
50.0,180.0,1659344225.2864804
50.0,180.0,1659344245.290689
50.0,185.0,1659344249.7311487
50.0,185.0,1659344269.7343733
50.0,190.0,1659344274.1769643
50.0,190.0,1659344294.1783116
50.0,195.0,1659344298.61758
50.0,195.0,1659344318.621058
50.0,200.0,1659344323.0675018
50.0,200.0,1659344343.069302
50.0,205.0,1659344347.514353
50.0,205.0,1659344367.5177116
50.0,210.0,1659344371.9651396
50.0,210.0,1659344391.972695
55.0,210.0,1659344394.8199084
55.0,210.0,1659344414.8263507
55.0,205.0,1659344419.2661095
55.0,205.0,1659344439.2819371
55.0,200.0,1659344443.7163277
55.0,200.0,1659344463.7229824
55.0,195.0,1659344468.1623523
55.0,195.0,1659344488.1634152
55.0,190.0,1659344492.6040943
55.0,190.0,1659344512.6045449
55.0,185.0,1659344517.0377014
55.0,185.0,1659344537.040066
55.0,180.0,1659344541.4898233
55.0,180.0,1659344561.4995615
55.0,175.0,1659344565.9360619
55.0,175.0,1659344585.9413416
55.0,170.0,1659344590.383387
55.0,170.0,1659344610.3856034
60.0,170.0,1659344613.2246652
60.0,170.0,1659344633.2337189
60.0,175.0,1659344637.6827118
60.0,175.0,1659344657.6932194
60.0,180.0,1659344662.1394246
60.0,180.0,1659344682.1490402
60.0,185.0,1659344686.5798643
60.0,185.0,1659344706.585302
60.0,190.0,1659344711.029277
60.0,190.0,1659344731.0344872
60.0,195.0,1659344735.4825702
60.0,195.0,1659344755.4888306
60.0,200.0,1659344759.9299946
60.0,200.0,1659344779.9362257
60.0,205.0,1659344784.3802972
60.0,205.0,1659344804.3865528
60.0,210.0,1659344808.8237212
60.0,210.0,1659344828.8308554
65.0,210.0,1659344831.6750011
65.0,210.0,1659344851.6767633
65.0,205.0,1659344856.1159673
65.0,205.0,1659344876.1179636
65.0,200.0,1659344880.5695844
65.0,200.0,1659344900.5753672
65.0,195.0,1659344905.0140345
65.0,195.0,1659344925.0217454
65.0,190.0,1659344929.4670477
65.0,190.0,1659344949.4678674
65.0,185.0,1659344953.9025562
65.0,185.0,1659344973.9061904
65.0,180.0,1659344978.3473501
65.0,180.0,1659344998.3617237
65.0,175.0,1659345002.801801
65.0,175.0,1659345022.8134038
65.0,170.0,1659345027.2449415
65.0,170.0,1659345047.2463953
70.0,170.0,1659345050.0839574
70.0,170.0,1659345070.0918758
70.0,175.0,1659345074.531717
70.0,175.0,1659345094.536312
70.0,180.0,1659345098.972997
70.0,180.0,1659345118.9787374
70.0,185.0,1659345123.426451
70.0,185.0,1659345143.4399896
70.0,190.0,1659345147.8761265
70.0,190.0,1659345167.8909929
70.0,195.0,1659345172.3301852
70.0,195.0,1659345192.3311727
70.0,200.0,1659345196.768964
70.0,200.0,1659345216.7833157
70.0,205.0,1659345221.2213764
70.0,205.0,1659345241.226196
70.0,210.0,1659345245.6722436
70.0,210.0,1659345265.6777275
75.0,210.0,1659345268.5233676
75.0,210.0,1659345288.5273619
75.0,205.0,1659345292.9654934
75.0,205.0,1659345312.9706242
75.0,200.0,1659345317.4118366
75.0,200.0,1659345337.4166727
75.0,195.0,1659345341.8542814
75.0,195.0,1659345361.855057
75.0,190.0,1659345366.2934754
75.0,190.0,1659345386.3038409
75.0,185.0,1659345390.7480762
75.0,185.0,1659345410.7559662
75.0,180.0,1659345415.2015214
75.0,180.0,1659345435.2075546
75.0,175.0,1659345439.6454947
75.0,175.0,1659345459.6533856
75.0,170.0,1659345464.0948195
75.0,170.0,1659345484.1019795
80.0,170.0,1659345486.9429958
80.0,170.0,1659345506.948654
80.0,175.0,1659345511.3827786
80.0,175.0,1659345531.3886805
80.0,180.0,1659345535.8307538
80.0,180.0,1659345555.8332822
80.0,185.0,1659345560.2677524
80.0,185.0,1659345580.2696886
80.0,190.0,1659345584.710614
80.0,190.0,1659345604.719093
80.0,195.0,1659345609.1706483
80.0,195.0,1659345629.1750274
80.0,200.0,1659345633.605131
80.0,200.0,1659345653.6205554
80.0,205.0,1659345658.0620434
80.0,205.0,1659345678.0642803
80.0,210.0,1659345682.5022001
80.0,210.0,1659345702.5055761
