Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,40.00000E-006,-533.10000E-015,6.66900E-003
1,1,2,19.00000E-006,-449.16700E-015,176.27200E-003
1,1,3,-4.00000E-006,-376.52100E-015,345.70800E-003
1,1,4,-5.00000E-006,-310.09700E-015,515.16400E-003
1,1,5,6.00000E-006,-229.24900E-015,733.71300E-003
1,1,6,40.00000E-006,-173.88500E-015,908.18700E-003
1,1,7,13.00000E-006,-130.18300E-015,1.07759E+000
1,1,8,47.00000E-006,-79.91500E-015,1.28853E+000
1,1,9,43.00000E-006,-39.56300E-015,1.45791E+000
1,1,10,17.00000E-006,-755.00000E-018,1.62731E+000
1,1,11,-14.00000E-006,35.46700E-015,1.84742E+000
1,1,12,-9.00000E-006,63.80800E-015,2.01680E+000
1,1,13,38.00000E-006,87.33200E-015,2.18755E+000
1,1,14,46.00000E-006,110.57600E-015,2.37506E+000
1,1,15,17.00000E-006,132.09800E-015,2.54485E+000
1,1,16,-14.00000E-006,146.47600E-015,2.71553E+000
1,1,17,42.00000E-006,165.65000E-015,2.92581E+000
1,1,18,16.00000E-006,176.72600E-015,3.09524E+000
1,1,19,-10.00000E-006,186.96000E-015,3.26466E+000
1,1,20,10.00000E-006,196.41300E-015,3.46262E+000
1,1,21,-14.00000E-006,203.93400E-015,3.63200E+000
1,1,22,11.00000E-006,215.51200E-015,3.80312E+000
1,1,23,-11.00000E-006,222.90800E-015,4.01537E+000
1,1,24,-7.00000E-006,234.81400E-015,4.18483E+000
1,1,25,19.00000E-006,240.01300E-015,4.35430E+000
1,1,26,50.00000E-006,237.98100E-015,4.57550E+000
1,1,27,31.00000E-006,241.23000E-015,4.74491E+000
1,1,28,-8.00000E-006,243.99500E-015,4.91553E+000
1,1,29,18.00000E-006,245.15500E-015,5.12133E+000
1,1,30,48.00000E-006,240.75000E-015,5.29300E+000
1,1,31,25.00000E-006,245.00200E-015,5.46238E+000
1,1,32,9.00000E-006,247.66400E-015,5.67078E+000
1,1,33,37.00000E-006,260.30700E-015,5.84016E+000
1,1,34,46.00000E-006,253.89000E-015,6.01022E+000
1,1,35,40.00000E-006,261.20900E-015,6.22460E+000
1,1,36,41.00000E-006,260.41800E-015,6.39402E+000
1,1,37,22.00000E-006,262.07000E-015,6.56348E+000
1,1,38,41.00000E-006,261.23100E-015,6.77595E+000
1,1,39,-5.00000E-006,263.35300E-015,6.95144E+000
1,1,40,4.00000E-006,261.76000E-015,7.12086E+000
1,1,41,14.00000E-006,268.21400E-015,7.33149E+000
1,1,42,-2.00000E-006,265.01300E-015,7.50088E+000
1,1,43,4.00000E-006,273.51800E-015,7.67026E+000
1,1,44,13.00000E-006,267.66000E-015,7.88857E+000
1,1,45,30.00000E-006,269.98300E-015,8.05825E+000
1,1,46,29.00000E-006,271.29300E-015,8.22933E+000
1,1,47,18.00000E-006,265.93400E-015,8.43976E+000
1,1,48,26.00000E-006,263.10100E-015,8.61083E+000
1,1,49,9.00000E-006,262.49400E-015,8.78629E+000
1,1,50,14.00000E-006,258.31300E-015,8.97016E+000
1,1,51,16.00000E-006,252.17500E-015,9.13960E+000
1,1,52,17.00000E-006,255.87700E-015,9.30903E+000
1,1,53,16.00000E-006,262.15900E-015,9.52233E+000
1,1,54,12.00000E-006,262.54300E-015,9.69384E+000
1,1,55,17.00000E-006,258.74700E-015,9.86455E+000
1,1,56,27.00000E-006,258.98200E-015,10.08449E+000
1,1,57,26.00000E-006,259.43600E-015,10.25389E+000
1,1,58,6.00000E-006,260.07000E-015,10.42583E+000
1,1,59,6.00000E-006,258.23500E-015,10.62928E+000
1,1,60,28.00000E-006,265.48500E-015,10.79941E+000
1,1,61,36.00000E-006,264.94100E-015,10.96881E+000
1,1,62,34.00000E-006,259.68600E-015,11.18360E+000
1,1,63,29.00000E-006,252.26500E-015,11.35410E+000
1,1,64,6.00000E-006,253.19400E-015,11.52353E+000
1,1,65,21.00000E-006,257.74800E-015,11.73830E+000
1,1,66,-6.00000E-006,258.84400E-015,11.90769E+000
1,1,67,-12.00000E-006,262.04700E-015,12.07708E+000
1,1,68,7.00000E-006,252.92200E-015,12.28934E+000
1,1,69,-14.00000E-006,246.15700E-015,12.45880E+000
1,1,70,1.00000E-006,247.83000E-015,12.62818E+000
1,1,71,21.00000E-006,242.60900E-015,12.84676E+000
1,1,72,44.00000E-006,239.68900E-015,13.01871E+000
1,1,73,-9.00000E-006,232.73200E-015,13.19036E+000
1,1,74,39.00000E-006,233.56000E-015,13.40236E+000
1,1,75,4.00000E-006,236.68100E-015,13.57174E+000
1,1,76,-11.00000E-006,234.62800E-015,13.74321E+000
1,1,77,46.00000E-006,241.21300E-015,13.96461E+000
1,1,78,49.00000E-006,242.38900E-015,14.13402E+000
1,1,79,19.00000E-006,241.01700E-015,14.30340E+000
1,1,80,4.00000E-006,248.19000E-015,14.52103E+000
1,1,81,-11.00000E-006,251.92500E-015,14.69215E+000
1,1,82,-5.00000E-006,251.83000E-015,14.87124E+000
1,1,83,45.00000E-006,248.27300E-015,15.08029E+000
1,1,84,46.00000E-006,254.09900E-015,15.24967E+000
1,1,85,11.00000E-006,249.20200E-015,15.41978E+000
1,1,86,-11.00000E-006,249.44800E-015,15.60785E+000
1,1,87,44.00000E-006,250.69500E-015,15.77990E+000
1,1,88,5.00000E-006,255.53100E-015,15.95328E+000
1,1,89,-4.00000E-006,248.25000E-015,16.17026E+000
1,1,90,-18.00000E-006,247.99700E-015,16.33966E+000
1,1,91,9.00000E-006,248.37600E-015,16.50907E+000
1,1,92,-15.00000E-006,251.49600E-015,16.72312E+000
1,1,93,49.00000E-006,252.24600E-015,16.89735E+000
1,1,94,16.00000E-006,254.34800E-015,17.06812E+000
