Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,1.00000E-006,22.40540E-012,7.35500E-003
1,1,2,7.00000E-006,27.34450E-012,176.91800E-003
1,1,3,24.00000E-006,29.66370E-012,346.34700E-003
1,1,4,36.00000E-006,31.27580E-012,516.92600E-003
1,1,5,26.00000E-006,32.18730E-012,735.54700E-003
1,1,6,9.00000E-006,32.48820E-012,904.94200E-003
1,1,7,0.00000E+000,32.72490E-012,1.07433E+000
1,1,8,34.00000E-006,33.39210E-012,1.28370E+000
1,1,9,20.00000E-006,33.81140E-012,1.45309E+000
1,1,10,3.00000E-006,34.34520E-012,1.62286E+000
1,1,11,11.00000E-006,35.45560E-012,1.83747E+000
1,1,12,6.00000E-006,36.19450E-012,2.00927E+000
1,1,13,30.00000E-006,36.33910E-012,2.17966E+000
1,1,14,3.00000E-006,37.14180E-012,2.39191E+000
1,1,15,31.00000E-006,37.68470E-012,2.56286E+000
1,1,16,36.00000E-006,38.04250E-012,2.73228E+000
1,1,17,8.00000E-006,37.92040E-012,2.92065E+000
1,1,18,0.00000E+000,38.24540E-012,3.09004E+000
1,1,19,28.00000E-006,38.76900E-012,3.26731E+000
1,1,20,32.00000E-006,39.26650E-012,3.47999E+000
1,1,21,26.00000E-006,39.18870E-012,3.65071E+000
1,1,22,9.00000E-006,38.57530E-012,3.82011E+000
1,1,23,31.00000E-006,37.39900E-012,4.02961E+000
1,1,24,21.00000E-006,35.86640E-012,4.20139E+000
1,1,25,4.00000E-006,34.13370E-012,4.37080E+000
1,1,26,13.00000E-006,30.75510E-012,4.57595E+000
1,1,27,32.00000E-006,24.46960E-012,4.74539E+000
1,1,28,36.00000E-006,16.38810E-012,4.91479E+000
1,1,29,21.00000E-006,8.45030E-012,5.12720E+000
1,1,30,32.00000E-006,5.10750E-012,5.29660E+000
1,1,31,28.00000E-006,3.26720E-012,5.46598E+000
1,1,32,25.00000E-006,2.14980E-012,5.67748E+000
1,1,33,31.00000E-006,1.70350E-012,5.84879E+000
1,1,34,6.00000E-006,1.49210E-012,6.02015E+000
1,1,35,31.00000E-006,1.29800E-012,6.23167E+000
1,1,36,4.00000E-006,1.25230E-012,6.40465E+000
1,1,37,7.00000E-006,1.27000E-012,6.57407E+000
1,1,38,16.00000E-006,1.25030E-012,6.78470E+000
1,1,39,4.00000E-006,1.22350E-012,6.95417E+000
1,1,40,8.00000E-006,1.21340E-012,7.12364E+000
1,1,41,17.00000E-006,1.15750E-012,7.33428E+000
1,1,42,5.00000E-006,1.12570E-012,7.50367E+000
1,1,43,17.00000E-006,1.11790E-012,7.67522E+000
1,1,44,5.00000E-006,1.09400E-012,7.88889E+000
1,1,45,21.00000E-006,1.09870E-012,8.05916E+000
1,1,46,32.00000E-006,1.15890E-012,8.22857E+000
1,1,47,14.00000E-006,1.11380E-012,8.44139E+000
1,1,48,34.00000E-006,1.11410E-012,8.61217E+000
1,1,49,17.00000E-006,1.15010E-012,8.78350E+000
1,1,50,21.00000E-006,1.13900E-012,8.99239E+000
1,1,51,31.00000E-006,1.10220E-012,9.16183E+000
1,1,52,28.00000E-006,1.04850E-012,9.33122E+000
1,1,53,33.00000E-006,1.01180E-012,9.54460E+000
1,1,54,20.00000E-006,962.60000E-015,9.71565E+000
1,1,55,5.00000E-006,954.10000E-015,9.88506E+000
1,1,56,33.00000E-006,988.00000E-015,10.07748E+000
1,1,57,32.00000E-006,1.00420E-012,10.24688E+000
1,1,58,11.00000E-006,971.00000E-015,10.41718E+000
1,1,59,10.00000E-006,928.90000E-015,10.63407E+000
1,1,60,2.00000E-006,937.00000E-015,10.80348E+000
1,1,61,21.00000E-006,951.60000E-015,10.97471E+000
1,1,62,6.00000E-006,937.20000E-015,11.18514E+000
1,1,63,6.00000E-006,849.60000E-015,11.35456E+000
1,1,64,19.00000E-006,828.40000E-015,11.52394E+000
1,1,65,13.00000E-006,799.00000E-015,11.73942E+000
1,1,66,32.00000E-006,787.60000E-015,11.91238E+000
1,1,67,7.00000E-006,790.70000E-015,12.08371E+000
1,1,68,30.00000E-006,824.60000E-015,12.29528E+000
1,1,69,12.00000E-006,811.00000E-015,12.46620E+000
1,1,70,3.00000E-006,803.90000E-015,12.63558E+000
1,1,71,29.00000E-006,767.90000E-015,12.84610E+000
1,1,72,3.00000E-006,775.20000E-015,13.01940E+000
1,1,73,20.00000E-006,818.00000E-015,13.19018E+000
1,1,74,16.00000E-006,867.50000E-015,13.39876E+000
1,1,75,6.00000E-006,880.50000E-015,13.56984E+000
1,1,76,17.00000E-006,848.60000E-015,13.73926E+000
1,1,77,11.00000E-006,815.20000E-015,13.95464E+000
1,1,78,26.00000E-006,814.60000E-015,14.12413E+000
1,1,79,31.00000E-006,830.00000E-015,14.29462E+000
1,1,80,20.00000E-006,779.30000E-015,14.51395E+000
1,1,81,12.00000E-006,820.70000E-015,14.68754E+000
1,1,82,28.00000E-006,823.70000E-015,14.85886E+000
1,1,83,9.00000E-006,828.50000E-015,15.06885E+000
1,1,84,15.00000E-006,876.80000E-015,15.23824E+000
1,1,85,27.00000E-006,890.20000E-015,15.40861E+000
1,1,86,16.00000E-006,806.90000E-015,15.62179E+000
1,1,87,26.00000E-006,838.90000E-015,15.79116E+000
1,1,88,28.00000E-006,820.10000E-015,15.96056E+000
1,1,89,26.00000E-006,810.50000E-015,16.15894E+000
1,1,90,26.00000E-006,837.40000E-015,16.32838E+000
1,1,91,14.00000E-006,846.60000E-015,16.49963E+000
1,1,92,21.00000E-006,865.60000E-015,16.71279E+000
1,1,93,16.00000E-006,870.60000E-015,16.88221E+000
1,1,94,15.00000E-006,865.50000E-015,17.05299E+000
1,1,95,17.00000E-006,836.80000E-015,17.27013E+000
1,1,96,20.00000E-006,824.60000E-015,17.43952E+000
1,1,97,23.00000E-006,860.90000E-015,17.60890E+000
1,1,98,22.00000E-006,849.00000E-015,17.82495E+000
1,1,99,21.00000E-006,819.80000E-015,17.99522E+000
1,1,100,21.00000E-006,832.90000E-015,18.16847E+000
1,1,101,20.00000E-006,846.40000E-015,18.37894E+000
1,1,102,21.00000E-006,831.30000E-015,18.54970E+000
1,1,103,20.00000E-006,832.20000E-015,18.71911E+000
1,1,104,20.00000E-006,829.70000E-015,18.93140E+000
1,1,105,21.00000E-006,815.10000E-015,19.10081E+000
1,1,106,21.00000E-006,814.70000E-015,19.27025E+000
1,1,107,22.00000E-006,848.10000E-015,19.48597E+000
1,1,108,15.00000E-006,832.00000E-015,19.65813E+000
1,1,109,12.00000E-006,823.10000E-015,19.82754E+000
1,1,110,23.00000E-006,848.40000E-015,20.03701E+000
1,1,111,16.00000E-006,831.80000E-015,20.20644E+000
1,1,112,11.00000E-006,817.60000E-015,20.37584E+000
1,1,113,12.00000E-006,772.80000E-015,20.59183E+000
1,1,114,10.00000E-006,792.50000E-015,20.76124E+000
1,1,115,18.00000E-006,862.50000E-015,20.93067E+000
1,1,116,9.00000E-006,844.20000E-015,21.14418E+000
1,1,117,19.00000E-006,854.40000E-015,21.31359E+000
1,1,118,33.00000E-006,845.10000E-015,21.48535E+000
1,1,119,9.00000E-006,872.60000E-015,21.67771E+000
1,1,120,18.00000E-006,825.80000E-015,21.84709E+000
1,1,121,31.00000E-006,797.00000E-015,22.01648E+000
1,1,122,3.00000E-006,821.30000E-015,22.24311E+000
1,1,123,19.00000E-006,783.30000E-015,22.41427E+000
1,1,124,35.00000E-006,798.50000E-015,22.58584E+000
1,1,125,5.00000E-006,842.50000E-015,22.79511E+000
1,1,126,24.00000E-006,838.60000E-015,22.96536E+000
1,1,127,38.00000E-006,851.30000E-015,23.13478E+000
1,1,128,35.00000E-006,881.00000E-015,23.35331E+000
1,1,129,21.00000E-006,851.10000E-015,23.52271E+000
1,1,130,-2.00000E-006,800.60000E-015,23.69399E+000
1,1,131,28.00000E-006,854.10000E-015,23.90521E+000
1,1,132,8.00000E-006,863.40000E-015,24.07460E+000
1,1,133,-4.00000E-006,841.80000E-015,24.24403E+000
1,1,134,-4.00000E-006,841.60000E-015,24.46132E+000
1,1,135,10.00000E-006,828.70000E-015,24.63070E+000
1,1,136,36.00000E-006,833.80000E-015,24.80132E+000
1,1,137,40.00000E-006,871.90000E-015,25.01957E+000
1,1,138,28.00000E-006,960.30000E-015,25.18899E+000
1,1,139,9.00000E-006,980.40000E-015,25.35837E+000
1,1,140,1.00000E-006,1.07590E-012,25.58013E+000
1,1,141,21.00000E-006,1.14380E-012,25.74951E+000
1,1,142,38.00000E-006,1.27400E-012,25.91894E+000
1,1,143,40.00000E-006,1.60420E-012,26.13700E+000
1,1,144,16.00000E-006,1.88880E-012,26.30776E+000
1,1,145,1.00000E-006,2.06620E-012,26.47714E+000
1,1,146,8.00000E-006,2.13730E-012,26.69260E+000
1,1,147,1.00000E-006,2.19910E-012,26.86199E+000
1,1,148,20.00000E-006,2.16480E-012,27.03335E+000
1,1,149,26.00000E-006,2.14960E-012,27.24004E+000
1,1,150,6.00000E-006,2.13030E-012,27.41077E+000
1,1,151,7.00000E-006,2.15320E-012,27.58020E+000
1,1,152,18.00000E-006,2.18410E-012,27.79131E+000
1,1,153,7.00000E-006,2.15840E-012,27.96372E+000
1,1,154,18.00000E-006,2.18220E-012,28.13310E+000
1,1,155,26.00000E-006,2.18020E-012,28.33558E+000
1,1,156,25.00000E-006,2.16080E-012,28.50499E+000
1,1,157,19.00000E-006,2.16000E-012,28.67438E+000
1,1,158,12.00000E-006,2.13810E-012,28.89582E+000
1,1,159,17.00000E-006,2.17770E-012,29.06521E+000
1,1,160,21.00000E-006,2.18420E-012,29.23464E+000
1,1,161,21.00000E-006,2.14830E-012,29.45096E+000
1,1,162,22.00000E-006,2.12360E-012,29.62036E+000
1,1,163,20.00000E-006,2.14750E-012,29.78975E+000
1,1,164,18.00000E-006,2.12530E-012,30.00540E+000
1,1,165,21.00000E-006,2.13870E-012,30.17676E+000
1,1,166,25.00000E-006,2.16300E-012,30.34616E+000
1,1,167,27.00000E-006,2.14480E-012,30.56308E+000
1,1,168,22.00000E-006,2.13050E-012,30.73248E+000
1,1,169,13.00000E-006,2.11760E-012,30.90188E+000
1,1,170,21.00000E-006,2.15180E-012,31.11582E+000
1,1,171,9.00000E-006,2.14820E-012,31.28576E+000
1,1,172,10.00000E-006,2.12210E-012,31.45517E+000
1,1,173,5.00000E-006,2.14080E-012,31.67051E+000
1,1,174,14.00000E-006,2.11960E-012,31.83991E+000
1,1,175,35.00000E-006,2.12160E-012,32.01086E+000
1,1,176,36.00000E-006,2.12580E-012,32.22809E+000
1,1,177,32.00000E-006,2.16960E-012,32.39752E+000
1,1,178,13.00000E-006,2.15800E-012,32.56694E+000
1,1,179,16.00000E-006,2.20290E-012,32.78302E+000
1,1,180,2.00000E-006,2.17890E-012,32.95243E+000
1,1,181,7.00000E-006,2.12610E-012,33.12225E+000
1,1,182,28.00000E-006,2.18460E-012,33.33085E+000
1,1,183,6.00000E-006,2.15050E-012,33.50026E+000
1,1,184,-3.00000E-006,2.13580E-012,33.66965E+000
1,1,185,31.00000E-006,2.16600E-012,33.87478E+000
1,1,186,44.00000E-006,2.15140E-012,34.04420E+000
1,1,187,16.00000E-006,2.14110E-012,34.21520E+000
1,1,188,38.00000E-006,2.10610E-012,34.42941E+000
1,1,189,-2.00000E-006,2.14850E-012,34.60034E+000
1,1,190,-4.00000E-006,2.14440E-012,34.76975E+000
1,1,191,21.00000E-006,2.14980E-012,34.98087E+000
1,1,192,-9.00000E-006,2.17900E-012,35.15193E+000
1,1,193,9.00000E-006,2.16070E-012,35.32132E+000
1,1,194,-4.00000E-006,2.14080E-012,35.53669E+000
1,1,195,25.00000E-006,2.17170E-012,35.70613E+000
1,1,196,48.00000E-006,2.14340E-012,35.87562E+000
1,1,197,33.00000E-006,2.11840E-012,36.09551E+000
1,1,198,-9.00000E-006,2.17140E-012,36.26628E+000
1,1,199,-7.00000E-006,2.14310E-012,36.43570E+000
1,1,200,-6.00000E-006,2.09730E-012,36.64864E+000
1,1,201,-12.00000E-006,2.10690E-012,36.81805E+000
1,1,202,15.00000E-006,2.11460E-012,36.98747E+000
1,1,203,25.00000E-006,2.14470E-012,37.20478E+000
1,1,204,48.00000E-006,2.11620E-012,37.37612E+000
1,1,205,21.00000E-006,2.26660E-012,37.54551E+000
1,1,206,0.00000E+000,3.74600E-012,37.76371E+000
1,1,207,-11.00000E-006,6.81340E-012,37.93373E+000
1,1,208,13.00000E-006,12.64760E-012,38.10312E+000
1,1,209,-13.00000E-006,22.69250E-012,38.31624E+000
1,1,210,9.00000E-006,30.73940E-012,38.48568E+000
1,1,211,41.00000E-006,37.88440E-012,38.65509E+000
1,1,212,33.00000E-006,44.19640E-012,38.85979E+000
1,1,213,-6.00000E-006,47.75270E-012,39.03063E+000
1,1,214,-5.00000E-006,50.21580E-012,39.20003E+000
1,1,215,9.00000E-006,52.57040E-012,39.41202E+000
1,1,216,-4.00000E-006,53.74950E-012,39.58143E+000
1,1,217,6.00000E-006,54.80310E-012,39.75080E+000
1,1,218,0.00000E+000,54.61380E-012,39.96336E+000
1,1,219,22.00000E-006,54.56490E-012,40.13578E+000
1,1,220,43.00000E-006,55.26180E-012,40.30691E+000
1,1,221,5.00000E-006,55.74530E-012,40.51650E+000
1,1,222,35.00000E-006,55.54470E-012,40.68706E+000
1,1,223,38.00000E-006,55.40490E-012,40.85644E+000
1,1,224,5.00000E-006,55.37930E-012,41.08078E+000
1,1,225,13.00000E-006,55.34870E-012,41.25022E+000
1,1,226,27.00000E-006,55.67230E-012,41.41963E+000
1,1,227,31.00000E-006,55.78140E-012,41.62255E+000
1,1,228,18.00000E-006,55.22590E-012,41.79343E+000
1,1,229,11.00000E-006,55.02770E-012,41.96289E+000
1,1,230,26.00000E-006,54.78480E-012,42.19007E+000
1,1,231,15.00000E-006,54.98240E-012,42.36140E+000
1,1,232,13.00000E-006,55.12790E-012,42.53216E+000
1,1,233,14.00000E-006,55.30060E-012,42.74522E+000
1,1,234,13.00000E-006,55.45540E-012,42.91463E+000
1,1,235,17.00000E-006,55.26790E-012,43.08402E+000
1,1,236,22.00000E-006,55.15150E-012,43.30264E+000
1,1,237,23.00000E-006,55.09390E-012,43.47205E+000
1,1,238,21.00000E-006,54.96840E-012,43.64148E+000
1,1,239,20.00000E-006,54.95090E-012,43.85771E+000
1,1,240,18.00000E-006,55.26040E-012,44.02808E+000
1,1,241,18.00000E-006,55.41870E-012,44.19749E+000
1,1,242,19.00000E-006,55.47690E-012,44.41490E+000
1,1,243,21.00000E-006,55.62590E-012,44.58814E+000
1,1,244,19.00000E-006,55.51910E-012,44.75852E+000
1,1,245,19.00000E-006,55.06140E-012,44.93262E+000
1,1,246,19.00000E-006,55.26940E-012,45.10488E+000
1,1,247,18.00000E-006,54.95390E-012,45.27468E+000
1,1,248,21.00000E-006,54.48920E-012,45.46226E+000
1,1,249,18.00000E-006,54.84290E-012,45.63410E+000
1,1,250,16.00000E-006,54.84210E-012,45.80349E+000
1,1,251,18.00000E-006,54.88580E-012,46.01797E+000
1,1,252,15.00000E-006,54.78830E-012,46.18736E+000
1,1,253,16.00000E-006,54.95410E-012,46.35674E+000
1,1,254,25.00000E-006,55.01720E-012,46.56366E+000
1,1,255,19.00000E-006,55.04200E-012,46.73416E+000
1,1,256,15.00000E-006,55.23420E-012,46.90358E+000
1,1,257,24.00000E-006,55.20700E-012,47.11548E+000
1,1,258,17.00000E-006,54.94900E-012,47.28487E+000
1,1,259,13.00000E-006,55.00160E-012,47.45429E+000
1,1,260,11.00000E-006,54.88240E-012,47.67210E+000
1,1,261,16.00000E-006,54.66170E-012,47.84149E+000
1,1,262,24.00000E-006,55.01020E-012,48.01088E+000
1,1,263,24.00000E-006,54.81440E-012,48.22755E+000
1,1,264,29.00000E-006,54.94000E-012,48.39695E+000
1,1,265,24.00000E-006,54.99540E-012,48.56635E+000
1,1,266,29.00000E-006,55.24910E-012,48.78151E+000
1,1,267,23.00000E-006,55.30430E-012,48.95090E+000
1,1,268,13.00000E-006,55.37630E-012,49.12073E+000
1,1,269,13.00000E-006,55.23320E-012,49.33652E+000
1,1,270,10.00000E-006,55.30020E-012,49.50604E+000
1,1,271,17.00000E-006,55.55550E-012,49.67543E+000
1,1,272,18.00000E-006,55.42420E-012,49.89281E+000
1,1,273,32.00000E-006,55.38190E-012,50.06347E+000
1,1,274,22.00000E-006,55.05850E-012,50.23410E+000
1,1,275,28.00000E-006,55.59350E-012,50.44897E+000
1,1,276,17.00000E-006,55.15450E-012,50.61842E+000
1,1,277,7.00000E-006,54.83820E-012,50.78812E+000
1,1,278,9.00000E-006,54.87580E-012,51.00430E+000
1,1,279,7.00000E-006,55.22240E-012,51.17379E+000
1,1,280,24.00000E-006,55.15770E-012,51.34469E+000
1,1,281,30.00000E-006,55.36210E-012,51.54561E+000
1,1,282,32.00000E-006,55.60370E-012,51.71504E+000
1,1,283,15.00000E-006,55.23160E-012,51.88633E+000
1,1,284,18.00000E-006,55.17090E-012,52.10242E+000
1,1,285,6.00000E-006,55.43370E-012,52.27287E+000
1,1,286,13.00000E-006,55.22340E-012,52.44228E+000
1,1,287,13.00000E-006,54.94530E-012,52.67575E+000
1,1,288,25.00000E-006,54.54730E-012,52.84516E+000
1,1,289,9.00000E-006,54.54010E-012,53.02297E+000
1,1,290,22.00000E-006,53.91660E-012,53.23472E+000
1,1,291,12.00000E-006,53.18560E-012,53.40412E+000
1,1,292,11.00000E-006,53.32140E-012,53.57353E+000
1,1,293,10.00000E-006,53.89140E-012,53.80565E+000
1,1,294,14.00000E-006,53.72840E-012,53.97565E+000
1,1,295,26.00000E-006,53.26020E-012,54.14714E+000
1,1,296,21.00000E-006,53.54310E-012,54.36719E+000
1,1,297,17.00000E-006,53.76760E-012,54.53661E+000
1,1,298,15.00000E-006,53.66160E-012,54.70600E+000
1,1,299,19.00000E-006,53.23970E-012,54.91221E+000
1,1,300,20.00000E-006,53.39130E-012,55.08160E+000
1,1,301,19.00000E-006,53.22360E-012,55.25095E+000
1,1,302,18.00000E-006,53.06710E-012,55.48519E+000
1,1,303,21.00000E-006,53.11120E-012,55.65618E+000
1,1,304,21.00000E-006,53.29330E-012,55.82566E+000
