Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659650910.4424322, 51.0, 51.0, 0.1, 3000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_8 (V),IsCH_8 (A),TsCH_8 (s)
51.0,50.7289,0.00290,5.26709e+01,9.67522e-07,1659650918.9467318
51.0,50.7289,0.00290,5.26792e+01,8.28425e-07,1659650920.9589825
51.0,50.7299,0.00290,5.27294e+01,8.96056e-09,1659650922.9794738
51.0,50.7287,0.00290,5.27282e+01,7.66913e-09,1659650924.9922464
51.0,50.7306,0.00290,5.27300e+01,9.70562e-09,1659650927.005125
51.0,50.7283,0.00290,5.27276e+01,1.08480e-08,1659650929.0175345
51.0,50.7286,0.00290,5.27280e+01,1.02520e-08,1659650931.0308304
51.0,50.7294,0.00290,5.27287e+01,1.13149e-08,1659650933.0468688
51.0,50.7297,0.00290,5.27292e+01,9.11951e-09,1659650935.0692909
51.0,50.7289,0.00290,5.27284e+01,8.45393e-09,1659650937.0881836
51.0,50.7293,0.00290,5.27287e+01,1.07090e-08,1659650939.1120033
51.0,50.7287,0.00290,5.27281e+01,9.96391e-09,1659650941.1363676
51.0,50.7301,0.00290,5.27296e+01,8.51353e-09,1659650943.1526566
51.0,50.7288,0.00290,5.27282e+01,1.05103e-08,1659650945.1685202
51.0,50.7284,0.00290,5.27278e+01,9.28839e-09,1659650947.1890466
51.0,50.7284,0.00290,5.27278e+01,9.47714e-09,1659650949.2074842
51.0,50.7301,0.00290,5.27294e+01,1.11163e-08,1659650951.2237527
51.0,50.7298,0.00290,5.27292e+01,9.64602e-09,1659650953.2408864
51.0,50.7289,0.00290,5.27283e+01,1.07984e-08,1659650955.2655795
51.0,50.7292,0.00290,5.27286e+01,1.03315e-08,1659650957.2775362
51.0,50.7294,0.00290,5.27289e+01,8.28505e-09,1659650959.2948895
51.0,50.7296,0.00290,5.27293e+01,5.49356e-09,1659650961.3149571
51.0,50.7289,0.00290,5.27284e+01,8.60294e-09,1659650963.333991
51.0,50.7301,0.00290,5.27294e+01,1.08977e-08,1659650965.3423088
51.0,50.73,0.00290,5.27294e+01,1.02619e-08,1659650967.3589683
51.0,50.7288,0.00290,5.27282e+01,1.04904e-08,1659650969.3717103
51.0,50.73,0.00290,5.27294e+01,9.26852e-09,1659650971.3862717
51.0,50.7308,0.00290,5.27303e+01,8.16584e-09,1659650973.4027655
51.0,50.73,0.00290,5.27294e+01,9.20892e-09,1659650975.4197378
51.0,50.73,0.00290,5.27295e+01,9.15925e-09,1659650977.4408112
51.0,50.7299,0.00290,5.27294e+01,9.09964e-09,1659650979.4565372
