Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH1 Source
1,1,83,29.00000E-006,854.79300E-015,15.11616E+000,0.00000E+000
1,1,84,9.00000E-006,854.26500E-015,15.29019E+000,0.00000E+000
1,1,85,34.00000E-006,855.97400E-015,15.46830E+000,0.00000E+000
1,1,86,19.00000E-006,855.91800E-015,15.68029E+000,0.00000E+000
1,1,87,22.00000E-006,858.64200E-015,15.85431E+000,0.00000E+000
1,1,88,8.00000E-006,863.90400E-015,16.02830E+000,0.00000E+000
1,1,89,7.00000E-006,868.95600E-015,16.22459E+000,0.00000E+000
1,1,90,20.00000E-006,872.61700E-015,16.40478E+000,0.00000E+000
1,1,91,16.00000E-006,869.88000E-015,16.57922E+000,0.00000E+000
1,1,92,18.00000E-006,869.04500E-015,16.77930E+000,0.00000E+000
1,1,93,22.00000E-006,859.38800E-015,16.95371E+000,0.00000E+000
1,1,94,10.00000E-006,859.81200E-015,17.12773E+000,0.00000E+000
1,1,95,8.00000E-006,851.41600E-015,17.34147E+000,0.00000E+000
1,1,96,29.00000E-006,851.08300E-015,17.51562E+000,0.00000E+000
1,1,97,13.00000E-006,860.32300E-015,17.68965E+000,0.00000E+000
1,1,98,21.00000E-006,843.73100E-015,17.89700E+000,0.00000E+000
1,1,99,17.00000E-006,846.89000E-015,18.07154E+000,0.00000E+000
1,1,100,16.00000E-006,843.47100E-015,18.24555E+000,0.00000E+000
1,1,101,18.00000E-006,839.71400E-015,18.44555E+000,0.00000E+000
1,1,102,15.00000E-006,841.72900E-015,18.62226E+000,0.00000E+000
1,1,103,26.00000E-006,846.97300E-015,18.79793E+000,0.00000E+000
1,1,104,26.00000E-006,841.40900E-015,19.00177E+000,0.00000E+000
1,1,105,14.00000E-006,845.45300E-015,19.17655E+000,0.00000E+000
1,1,106,13.00000E-006,844.20700E-015,19.35686E+000,0.00000E+000
1,1,107,12.00000E-006,839.21900E-015,19.55752E+000,0.00000E+000
1,1,108,24.00000E-006,845.22100E-015,19.73157E+000,0.00000E+000
1,1,109,16.00000E-006,847.67700E-015,19.90556E+000,0.00000E+000
1,1,110,24.00000E-006,847.69800E-015,20.11492E+000,0.00000E+000
1,1,111,16.00000E-006,852.26600E-015,20.28899E+000,0.00000E+000
1,1,112,19.00000E-006,856.95100E-015,20.46301E+000,0.00000E+000
1,1,113,16.00000E-006,858.58700E-015,20.67327E+000,0.00000E+000
1,1,114,19.00000E-006,854.68800E-015,20.84731E+000,0.00000E+000
1,1,115,20.00000E-006,856.59800E-015,21.02145E+000,0.00000E+000
1,1,116,21.00000E-006,855.07000E-015,21.21009E+000,0.00000E+000
1,1,117,15.00000E-006,854.20000E-015,21.38411E+000,0.00000E+000
1,1,118,20.00000E-006,858.17700E-015,21.55813E+000,0.00000E+000
1,1,119,21.00000E-006,858.96500E-015,21.77608E+000,0.00000E+000
1,1,120,13.00000E-006,848.10600E-015,21.95015E+000,0.00000E+000
1,1,121,24.00000E-006,844.49500E-015,22.12423E+000,0.00000E+000
1,1,122,20.00000E-006,842.11100E-015,22.32785E+000,0.00000E+000
1,1,123,12.00000E-006,840.39200E-015,22.50225E+000,0.00000E+000
1,1,124,24.00000E-006,842.85700E-015,22.67639E+000,0.00000E+000
1,1,125,8.00000E-006,837.50200E-015,22.88321E+000,0.00000E+000
1,1,126,30.00000E-006,828.10000E-015,23.05722E+000,0.00000E+000
1,1,127,28.00000E-006,825.44700E-015,23.23994E+000,0.00000E+000
1,1,128,23.00000E-006,825.09600E-015,23.44462E+000,0.00000E+000
1,1,129,8.00000E-006,823.11200E-015,23.61865E+000,0.00000E+000
1,1,130,31.00000E-006,820.17300E-015,23.79267E+000,0.00000E+000
1,1,131,33.00000E-006,816.67300E-015,24.00933E+000,0.00000E+000
1,1,132,10.00000E-006,812.16400E-015,24.18635E+000,0.00000E+000
1,1,133,32.00000E-006,810.55700E-015,24.36038E+000,0.00000E+000
1,1,134,20.00000E-006,812.93900E-015,24.57161E+000,0.00000E+000
1,1,135,23.00000E-006,808.93200E-015,24.74565E+000,0.00000E+000
1,1,136,38.00000E-006,808.27000E-015,24.92682E+000,0.00000E+000
1,1,137,-5.00000E-006,811.93400E-015,25.13373E+000,0.00000E+000
1,1,138,37.00000E-006,812.82500E-015,25.30776E+000,0.00000E+000
1,1,139,-3.00000E-006,811.32500E-015,25.48619E+000,0.00000E+000
1,1,140,26.00000E-006,810.53000E-015,25.68955E+000,0.00000E+000
1,1,141,19.00000E-006,805.93900E-015,25.86358E+000,0.00000E+000
1,1,142,7.00000E-006,806.20200E-015,26.03762E+000,0.00000E+000
1,1,143,31.00000E-006,800.66900E-015,26.25687E+000,0.00000E+000
1,1,144,16.00000E-006,800.50000E-015,26.43089E+000,0.00000E+000
1,1,145,19.00000E-006,798.00300E-015,26.61406E+000,0.00000E+000
1,1,146,21.00000E-006,793.18900E-015,26.78965E+000,0.00000E+000
1,1,147,27.00000E-006,797.81300E-015,26.96367E+000,0.00000E+000
1,1,148,-3.00000E-006,797.58100E-015,27.13771E+000,0.00000E+000
1,1,149,13.00000E-006,796.33900E-015,27.34869E+000,0.00000E+000
1,1,150,13.00000E-006,789.73000E-015,27.52272E+000,0.00000E+000
1,1,151,19.00000E-006,783.00600E-015,27.69838E+000,0.00000E+000
1,1,152,-8.00000E-006,791.28700E-015,27.90077E+000,0.00000E+000
1,1,153,50.00000E-006,792.35300E-015,28.07697E+000,0.00000E+000
1,1,154,-17.00000E-006,792.76900E-015,28.25335E+000,0.00000E+000
1,1,155,39.00000E-006,797.22500E-015,28.46408E+000,0.00000E+000
1,1,156,21.00000E-006,800.27400E-015,28.64102E+000,0.00000E+000
1,1,157,28.00000E-006,798.62900E-015,28.81506E+000,0.00000E+000
1,1,158,-15.00000E-006,794.82100E-015,29.01928E+000,0.00000E+000
1,1,159,47.00000E-006,793.12600E-015,29.19336E+000,0.00000E+000
1,1,160,-8.00000E-006,791.70700E-015,29.36839E+000,0.00000E+000
1,1,161,-15.00000E-006,797.94300E-015,29.57131E+000,0.00000E+000
1,1,162,55.00000E-006,800.71100E-015,29.74532E+000,0.00000E+000
1,1,163,-10.00000E-006,801.45700E-015,29.91947E+000,0.00000E+000
1,1,164,48.00000E-006,805.88600E-015,30.12809E+000,0.00000E+000
1,1,165,-2.00000E-006,800.96200E-015,30.30212E+000,0.00000E+000
